config_id,repeat_seed,split,sample,condition,wrongref_mode,encoding_mode,psnr_db,mse
1,5,train,diag,ordinary,edge_echo_decoy,baseline,13.615321,0.04349786
1,5,train,box,ordinary,edge_echo_decoy,baseline,12.254759,0.05950098
1,5,train,bars,ordinary,edge_echo_decoy,baseline,13.266765,0.04713283
1,5,train,ring,ordinary,edge_echo_decoy,baseline,13.662424,0.04302864
1,5,train,chevron,ordinary,edge_echo_decoy,baseline,13.514323,0.04452129
1,5,train,cross,common_path,edge_echo_decoy,baseline,12.927054,0.05096765
1,5,train,diag,common_path,edge_echo_decoy,baseline,10.590149,0.08729415
1,5,train,box,common_path,edge_echo_decoy,baseline,11.610924,0.0690093
1,5,train,bars,common_path,edge_echo_decoy,baseline,12.151143,0.06093766
1,5,train,ring,common_path,edge_echo_decoy,baseline,11.949398,0.0638352
1,5,train,chevron,common_path,edge_echo_decoy,baseline,10.713042,0.08485859
1,5,train,cross,noncommon_path,edge_echo_decoy,baseline,12.900577,0.05127933
1,5,train,diag,noncommon_path,edge_echo_decoy,baseline,10.630681,0.08648323
1,5,train,box,noncommon_path,edge_echo_decoy,baseline,11.834667,0.06554406
1,5,train,bars,noncommon_path,edge_echo_decoy,baseline,12.388784,0.0576928
1,5,train,ring,noncommon_path,edge_echo_decoy,baseline,12.381656,0.05778757
1,5,train,chevron,noncommon_path,edge_echo_decoy,baseline,10.804405,0.08309205
1,5,train,cross,wrong_reference,edge_echo_decoy,baseline,13.718427,0.04247734
1,5,train,diag,wrong_reference,edge_echo_decoy,baseline,12.773381,0.0528034
1,5,train,box,wrong_reference,edge_echo_decoy,baseline,13.070783,0.04930849
1,5,train,bars,wrong_reference,edge_echo_decoy,baseline,13.859422,0.04112045
1,5,train,ring,wrong_reference,edge_echo_decoy,baseline,13.781417,0.04186569
1,5,train,chevron,wrong_reference,edge_echo_decoy,baseline,12.502028,0.05620788
1,5,ood,disk,ordinary,edge_echo_decoy,baseline,13.744031,0.04222765
1,5,ood,two_spots,ordinary,edge_echo_decoy,baseline,13.363545,0.04609411
1,5,ood,frame,ordinary,edge_echo_decoy,baseline,9.27766,0.11809568
1,5,ood,disk,common_path,edge_echo_decoy,baseline,14.029253,0.03954346
1,5,ood,two_spots,common_path,edge_echo_decoy,baseline,14.150638,0.03845353
1,5,ood,frame,common_path,edge_echo_decoy,baseline,9.448881,0.11353034
1,5,ood,disk,noncommon_path,edge_echo_decoy,baseline,13.771324,0.04196311
1,5,ood,two_spots,noncommon_path,edge_echo_decoy,baseline,13.831657,0.04138417
1,5,ood,frame,noncommon_path,edge_echo_decoy,baseline,9.330969,0.11665494
1,5,ood,disk,wrong_reference,edge_echo_decoy,baseline,14.104665,0.03886275
1,5,ood,two_spots,wrong_reference,edge_echo_decoy,baseline,14.681145,0.03403184
1,5,ood,frame,wrong_reference,edge_echo_decoy,baseline,10.124554,0.09717278
2,0,train,cross,ordinary,edge_echo_decoy,edge_guarded,13.063881,0.04938691
2,0,train,diag,ordinary,edge_echo_decoy,edge_guarded,13.373165,0.04599213
2,0,train,box,ordinary,edge_echo_decoy,edge_guarded,11.964265,0.06361704
2,0,train,bars,ordinary,edge_echo_decoy,edge_guarded,13.10469,0.04892502
2,0,train,ring,ordinary,edge_echo_decoy,edge_guarded,13.665065,0.04300248
2,0,train,chevron,ordinary,edge_echo_decoy,edge_guarded,13.58695,0.04378295
2,0,train,cross,common_path,edge_echo_decoy,edge_guarded,12.336074,0.05839727
2,0,train,diag,common_path,edge_echo_decoy,edge_guarded,10.361331,0.09201675
2,0,train,box,common_path,edge_echo_decoy,edge_guarded,11.11418,0.07737168
2,0,train,bars,common_path,edge_echo_decoy,edge_guarded,11.563185,0.06977205
2,0,train,ring,common_path,edge_echo_decoy,edge_guarded,11.418928,0.07212855
2,0,train,chevron,common_path,edge_echo_decoy,edge_guarded,10.773814,0.08367942
2,0,train,cross,noncommon_path,edge_echo_decoy,edge_guarded,12.348139,0.05823527
2,0,train,diag,noncommon_path,edge_echo_decoy,edge_guarded,10.186923,0.09578725
2,0,train,box,noncommon_path,edge_echo_decoy,edge_guarded,11.286422,0.07436315
2,0,train,bars,noncommon_path,edge_echo_decoy,edge_guarded,11.830934,0.06560042
2,0,train,ring,noncommon_path,edge_echo_decoy,edge_guarded,10.931597,0.08069383
2,0,train,chevron,noncommon_path,edge_echo_decoy,edge_guarded,10.520155,0.08871243
2,0,train,cross,wrong_reference,edge_echo_decoy,edge_guarded,12.938864,0.05082924
2,0,train,diag,wrong_reference,edge_echo_decoy,edge_guarded,12.265161,0.05935863
2,0,train,box,wrong_reference,edge_echo_decoy,edge_guarded,12.056678,0.06227765
2,0,train,bars,wrong_reference,edge_echo_decoy,edge_guarded,13.092398,0.04906369
2,0,train,ring,wrong_reference,edge_echo_decoy,edge_guarded,12.074828,0.06201793
2,0,train,chevron,wrong_reference,edge_echo_decoy,edge_guarded,11.237151,0.07521161
2,0,ood,disk,ordinary,edge_echo_decoy,edge_guarded,13.949066,0.04028036
2,0,ood,two_spots,ordinary,edge_echo_decoy,edge_guarded,13.402775,0.04567963
2,0,ood,frame,ordinary,edge_echo_decoy,edge_guarded,9.297409,0.11755986
2,0,ood,disk,common_path,edge_echo_decoy,edge_guarded,13.854095,0.04117091
2,0,ood,two_spots,common_path,edge_echo_decoy,edge_guarded,13.373023,0.04599363
2,0,ood,frame,common_path,edge_echo_decoy,edge_guarded,9.117514,0.12253175
2,0,ood,disk,noncommon_path,edge_echo_decoy,edge_guarded,13.482745,0.04484618
2,0,ood,two_spots,noncommon_path,edge_echo_decoy,edge_guarded,13.698507,0.04267262
2,0,ood,frame,noncommon_path,edge_echo_decoy,edge_guarded,9.010405,0.12559128
2,0,ood,disk,wrong_reference,edge_echo_decoy,edge_guarded,14.039689,0.03944855
2,0,ood,two_spots,wrong_reference,edge_echo_decoy,edge_guarded,14.228994,0.03776596
2,0,ood,frame,wrong_reference,edge_echo_decoy,edge_guarded,9.537085,0.11124782
2,1,train,cross,ordinary,edge_echo_decoy,edge_guarded,12.871493,0.05162389
2,1,train,diag,ordinary,edge_echo_decoy,edge_guarded,12.657016,0.05423734
2,1,train,box,ordinary,edge_echo_decoy,edge_guarded,12.113442,0.06146895
2,1,train,bars,ordinary,edge_echo_decoy,edge_guarded,13.202667,0.04783363
2,1,train,ring,ordinary,edge_echo_decoy,edge_guarded,13.424221,0.0454546
2,1,train,chevron,ordinary,edge_echo_decoy,edge_guarded,13.65943,0.04305831
2,1,train,cross,common_path,edge_echo_decoy,edge_guarded,12.338864,0.05835977
2,1,train,diag,common_path,edge_echo_decoy,edge_guarded,9.955571,0.10102828
