config_id,repeat_seed,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db,risk_pair_q10_db_repeat,risk_pair_min_db_repeat,risk_pair_positive_fraction_repeat
13,4,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.061212,12.525761,12.534439,12.34779,0.464548,-0.008678,0.17797,-0.108584,-0.121951,0.5
13,5,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.110268,12.380665,12.679042,12.529673,0.270397,-0.298377,-0.149008,-0.291636,-0.292703,0.0
13,6,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.177605,12.414958,12.261465,12.350485,0.237353,0.153493,0.064473,-0.162461,-0.165902,0.0
13,7,1,0.14,0.17,0.9,anti_phase_plus_decoy,12.033562,12.545449,12.318776,12.371195,0.511887,0.226673,0.174253,0.008291,0.001825,1.0
14,0,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.158371,12.597066,12.537139,12.433207,0.438694,0.059927,0.163858,-0.328245,-0.362725,0.0
14,1,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.208635,12.657062,12.288413,12.458224,0.448427,0.368649,0.198838,-0.126228,-0.146675,0.5
14,2,1,0.14,0.17,1.0,anti_phase_plus_decoy,11.94043,12.433751,12.62864,12.359649,0.49332,-0.194889,0.074102,-0.173361,-0.191157,0.0
14,3,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.146051,12.277238,12.378531,12.617131,0.131186,-0.101293,-0.339893,-0.120558,-0.135835,0.5
14,4,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.251801,12.371748,12.728631,12.418766,0.119948,-0.356882,-0.047018,-0.181141,-0.208301,0.5
14,5,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.150371,12.468245,12.705114,12.477872,0.317874,-0.236869,-0.009627,0.058305,0.046777,1.0
14,6,1,0.14,0.17,1.0,anti_phase_plus_decoy,11.910642,12.466803,12.490153,12.410305,0.556161,-0.023349,0.056498,-0.102784,-0.131211,0.5
14,7,1,0.14,0.17,1.0,anti_phase_plus_decoy,12.16535,12.466228,12.569341,12.513838,0.300878,-0.103113,-0.04761,-0.072249,-0.084777,0.5
15,0,1,0.14,0.17,1.1,anti_phase_plus_decoy,12.262574,12.525264,12.631541,12.458339,0.26269,-0.106277,0.066925,-0.169172,-0.181869,0.0
15,1,1,0.14,0.17,1.1,anti_phase_plus_decoy,11.814222,12.357555,12.634671,12.682343,0.543333,-0.277116,-0.324788,-0.218685,-0.238824,0.0
15,2,1,0.14,0.17,1.1,anti_phase_plus_decoy,12.23677,12.425522,12.645038,12.428321,0.188752,-0.219516,-0.002799,0.001403,-0.006241,0.5
15,3,1,0.14,0.17,1.1,anti_phase_plus_decoy,12.054055,12.43421,12.395673,12.23587,0.380156,0.038537,0.198341,0.021828,0.009515,1.0
15,4,1,0.14,0.17,1.1,anti_phase_plus_decoy,11.991258,12.542339,12.406452,12.644351,0.551081,0.135887,-0.102012,0.077566,0.063238,1.0
15,5,1,0.14,0.17,1.1,anti_phase_plus_decoy,12.155399,12.545232,12.314124,12.470027,0.389833,0.231109,0.075205,-0.182334,-0.188161,0.0
15,6,1,0.14,0.17,1.1,anti_phase_plus_decoy,12.030102,12.4332,12.509929,12.548038,0.403098,-0.076729,-0.114838,-0.230719,-0.250723,0.0
15,7,1,0.14,0.17,1.1,anti_phase_plus_decoy,11.974377,12.619539,12.484017,12.708903,0.645162,0.135523,-0.089363,-0.248778,-0.290339,0.5
16,0,1,0.16,0.17,0.9,anti_phase_plus_decoy,11.995376,12.38615,12.456562,12.418525,0.390774,-0.070412,-0.032375,-0.235994,-0.266851,0.5
16,1,1,0.16,0.17,0.9,anti_phase_plus_decoy,12.026683,12.573263,12.428116,12.576275,0.54658,0.145148,-0.003012,0.013583,-0.003222,0.5
16,2,1,0.16,0.17,0.9,anti_phase_plus_decoy,12.018054,12.486778,12.536716,12.375214,0.468724,-0.049938,0.111564,-0.008571,-0.037745,0.5
