config_id,repeat_seed,phase_mix,wrongref_mode,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
24,2,0.175,orthogonal_phase,12.066529,12.606441,12.565238,12.526748,0.539912,0.041204,0.079693
24,3,0.175,orthogonal_phase,12.133565,12.448262,12.510728,12.366348,0.314696,-0.062466,0.081913
25,0,0.2,orthogonal_phase,12.334197,12.538726,12.302536,12.443793,0.204529,0.23619,0.094934
25,1,0.2,orthogonal_phase,11.975445,12.581795,12.404345,12.649971,0.606351,0.17745,-0.068176
25,2,0.2,orthogonal_phase,11.984714,12.485908,12.34653,12.473226,0.501195,0.139378,0.012683
25,3,0.2,orthogonal_phase,12.060812,12.560865,12.31648,12.412046,0.500053,0.244385,0.148819
26,0,0.1,strong_mismatch,12.325211,12.594465,12.650693,12.604692,0.269255,-0.056228,-0.010226
26,1,0.1,strong_mismatch,11.954002,12.66278,12.359677,12.682452,0.708778,0.303103,-0.019672
26,2,0.1,strong_mismatch,12.111528,12.401528,12.310276,12.65277,0.29,0.091252,-0.251242
26,3,0.1,strong_mismatch,12.106682,12.435141,12.367885,12.505023,0.32846,0.067256,-0.069882
27,0,0.125,strong_mismatch,11.841574,12.427707,12.527187,12.596684,0.586132,-0.09948,-0.168977
27,1,0.125,strong_mismatch,12.010604,12.522147,12.499653,12.433594,0.511543,0.022494,0.088553
27,2,0.125,strong_mismatch,12.253353,12.306119,12.628635,12.770632,0.052766,-0.322515,-0.464513
27,3,0.125,strong_mismatch,12.112395,12.517295,12.401182,12.611759,0.4049,0.116113,-0.094464
28,0,0.15,strong_mismatch,12.045312,12.494421,12.40502,12.636364,0.449109,0.089401,-0.141943
28,1,0.15,strong_mismatch,11.880746,12.695684,12.411535,12.487417,0.814938,0.28415,0.208267
28,2,0.15,strong_mismatch,12.087346,12.523222,12.471693,12.557872,0.435876,0.051529,-0.03465
28,3,0.15,strong_mismatch,12.13638,12.514651,12.702259,12.667954,0.378271,-0.187609,-0.153303
29,0,0.175,strong_mismatch,12.054991,12.426344,12.532435,12.628442,0.371353,-0.106091,-0.202098
29,1,0.175,strong_mismatch,12.042908,12.517813,12.378077,12.741557,0.474905,0.139736,-0.223744
29,2,0.175,strong_mismatch,11.910351,12.749951,12.450855,12.554997,0.839599,0.299095,0.194954
29,3,0.175,strong_mismatch,12.229562,12.427675,12.575942,12.6935,0.198112,-0.148267,-0.265826
30,0,0.2,strong_mismatch,11.999971,12.443101,12.618499,12.523027,0.44313,-0.175397,-0.079926
30,1,0.2,strong_mismatch,11.961043,12.382391,12.360096,12.629342,0.421348,0.022295,-0.246951
30,2,0.2,strong_mismatch,12.116599,12.267777,12.413528,12.56133,0.151178,-0.145751,-0.293553
30,3,0.2,strong_mismatch,12.113663,12.623617,12.526842,12.491486,0.509954,0.096774,0.13213
