config_id,repeat_seed,split,sample,condition,phase_mix,wrongref_mode,psnr_db,mse
2,0,train,box,wrong_reference,0.125,existing_amp_only,12.100758,0.06164873
2,0,train,bars,wrong_reference,0.125,existing_amp_only,12.690479,0.05382105
2,0,train,ring,wrong_reference,0.125,existing_amp_only,12.831506,0.0521014
2,0,train,chevron,wrong_reference,0.125,existing_amp_only,11.173605,0.07632019
2,0,ood,disk,ordinary,0.125,existing_amp_only,13.317336,0.04658718
2,0,ood,two_spots,ordinary,0.125,existing_amp_only,13.505974,0.04460696
2,0,ood,frame,ordinary,0.125,existing_amp_only,9.335414,0.11653561
2,0,ood,disk,common_path,0.125,existing_amp_only,13.902411,0.04071542
2,0,ood,two_spots,common_path,0.125,existing_amp_only,14.326399,0.03692836
2,0,ood,frame,common_path,0.125,existing_amp_only,9.541742,0.11112859
2,0,ood,disk,noncommon_path,0.125,existing_amp_only,13.652743,0.04312466
2,0,ood,two_spots,noncommon_path,0.125,existing_amp_only,14.297521,0.03717473
2,0,ood,frame,noncommon_path,0.125,existing_amp_only,9.44101,0.11373628
2,0,ood,disk,wrong_reference,0.125,existing_amp_only,13.474881,0.04492747
2,0,ood,two_spots,wrong_reference,0.125,existing_amp_only,14.286059,0.03727297
2,0,ood,frame,wrong_reference,0.125,existing_amp_only,9.411093,0.11452248
2,1,train,cross,ordinary,0.125,existing_amp_only,13.020947,0.04987757
2,1,train,diag,ordinary,0.125,existing_amp_only,13.586592,0.04378656
2,1,train,box,ordinary,0.125,existing_amp_only,12.131088,0.0612197
2,1,train,bars,ordinary,0.125,existing_amp_only,13.176507,0.04812262
2,1,train,ring,ordinary,0.125,existing_amp_only,13.794078,0.04174382
2,1,train,chevron,ordinary,0.125,existing_amp_only,13.581599,0.04383692
2,1,train,cross,common_path,0.125,existing_amp_only,12.868741,0.05165661
2,1,train,diag,common_path,0.125,existing_amp_only,9.494391,0.11234684
2,1,train,box,common_path,0.125,existing_amp_only,11.745361,0.06690581
2,1,train,bars,common_path,0.125,existing_amp_only,12.109544,0.06152415
2,1,train,ring,common_path,0.125,existing_amp_only,12.079912,0.06194537
2,1,train,chevron,common_path,0.125,existing_amp_only,10.814422,0.08290062
2,1,train,cross,noncommon_path,0.125,existing_amp_only,12.880051,0.05152226
2,1,train,diag,noncommon_path,0.125,existing_amp_only,10.770911,0.08373537
2,1,train,box,noncommon_path,0.125,existing_amp_only,11.599029,0.06919856
2,1,train,bars,noncommon_path,0.125,existing_amp_only,12.314449,0.05868879
2,1,train,ring,noncommon_path,0.125,existing_amp_only,11.827914,0.06564605
2,1,train,chevron,noncommon_path,0.125,existing_amp_only,10.340957,0.09244944
2,1,train,cross,wrong_reference,0.125,existing_amp_only,12.858724,0.0517759
2,1,train,diag,wrong_reference,0.125,existing_amp_only,11.942218,0.06394082
2,1,train,box,wrong_reference,0.125,existing_amp_only,12.248758,0.05958325
2,1,train,bars,wrong_reference,0.125,existing_amp_only,12.882047,0.05149858
2,1,train,ring,wrong_reference,0.125,existing_amp_only,12.623893,0.05465259
2,1,train,chevron,wrong_reference,0.125,existing_amp_only,11.609014,0.06903966
2,1,ood,disk,ordinary,0.125,existing_amp_only,13.718308,0.0424785
2,1,ood,two_spots,ordinary,0.125,existing_amp_only,13.233188,0.04749864
2,1,ood,frame,ordinary,0.125,existing_amp_only,9.35008,0.11614272
2,1,ood,disk,common_path,0.125,existing_amp_only,14.131314,0.03862501
2,1,ood,two_spots,common_path,0.125,existing_amp_only,13.885258,0.04087654
2,1,ood,frame,common_path,0.125,existing_amp_only,9.304879,0.11735785
2,1,ood,disk,noncommon_path,0.125,existing_amp_only,14.119532,0.03872994
2,1,ood,two_spots,noncommon_path,0.125,existing_amp_only,13.978081,0.04001215
2,1,ood,frame,noncommon_path,0.125,existing_amp_only,9.56211,0.11060863
2,1,ood,disk,wrong_reference,0.125,existing_amp_only,14.306157,0.03710089
2,1,ood,two_spots,wrong_reference,0.125,existing_amp_only,13.97069,0.0400803
2,1,ood,frame,wrong_reference,0.125,existing_amp_only,9.698405,0.1071913
2,2,train,cross,ordinary,0.125,existing_amp_only,12.972945,0.05043192
2,2,train,diag,ordinary,0.125,existing_amp_only,12.232088,0.0598124
2,2,train,box,ordinary,0.125,existing_amp_only,12.08791,0.06183138
2,2,train,bars,ordinary,0.125,existing_amp_only,13.197438,0.04789126
2,2,train,ring,ordinary,0.125,existing_amp_only,13.795501,0.04173015
2,2,train,chevron,ordinary,0.125,existing_amp_only,13.677179,0.0428827
2,2,train,cross,common_path,0.125,existing_amp_only,12.861287,0.05174535
2,2,train,diag,common_path,0.125,existing_amp_only,10.025554,0.09941332
2,2,train,box,common_path,0.125,existing_amp_only,11.741953,0.06695835
2,2,train,bars,common_path,0.125,existing_amp_only,12.625626,0.05463078
2,2,train,ring,common_path,0.125,existing_amp_only,12.17224,0.06064235
2,2,train,chevron,common_path,0.125,existing_amp_only,11.399516,0.07245166
