config_id,repeat_seed,num_layers,reference_weight,phase_mix,ordinary_ood_mean_psnr_db,common_ood_mean_psnr_db,noncommon_ood_mean_psnr_db,wrongref_ood_mean_psnr_db,common_minus_ordinary_db,common_minus_noncommon_db,common_minus_wrongref_db
25,1,1,0.28,0.25,12.104411,12.361283,12.160748,12.578764,0.256872,0.200535,-0.217481
25,2,1,0.28,0.25,12.036805,12.32833,12.330878,12.489816,0.291524,-0.002548,-0.161487
25,3,1,0.28,0.25,12.220398,12.059534,12.409948,12.55673,-0.160864,-0.350414,-0.497196
26,0,1,0.32,0.05,12.021434,12.1478,12.079734,12.292566,0.126365,0.068066,-0.144766
26,1,1,0.32,0.05,12.163731,12.098782,12.259244,12.230388,-0.064949,-0.160462,-0.131606
26,2,1,0.32,0.05,12.152939,12.186376,12.148288,12.200746,0.033437,0.038088,-0.01437
26,3,1,0.32,0.05,12.064858,12.245271,12.001546,12.176537,0.180413,0.243725,0.068735
27,0,1,0.32,0.1,11.88676,12.150638,12.135757,12.240044,0.263878,0.014881,-0.089406
27,1,1,0.32,0.1,12.0193,12.186958,12.138442,12.413615,0.167658,0.048517,-0.226657
27,2,1,0.32,0.1,12.160678,12.169965,12.253317,12.248287,0.009286,-0.083352,-0.078322
27,3,1,0.32,0.1,12.024872,12.055847,12.160491,12.099312,0.030975,-0.104644,-0.043465
28,0,1,0.32,0.15,11.952459,12.098697,12.137405,12.447992,0.146238,-0.038708,-0.349295
28,1,1,0.32,0.15,12.225512,12.189458,12.154829,12.365575,-0.036054,0.034629,-0.176117
28,2,1,0.32,0.15,12.114852,12.091779,12.079654,12.133467,-0.023072,0.012126,-0.041687
28,3,1,0.32,0.15,11.974791,12.054186,12.280203,12.373889,0.079395,-0.226017,-0.319702
29,0,1,0.32,0.2,12.05747,12.204199,12.203199,12.3684,0.146729,0.001,-0.164201
29,1,1,0.32,0.2,12.092854,12.163213,11.986555,12.269026,0.070359,0.176658,-0.105813
29,2,1,0.32,0.2,12.042451,12.073381,12.242633,12.537563,0.03093,-0.169253,-0.464183
29,3,1,0.32,0.2,12.107852,12.089337,12.274745,12.25706,-0.018515,-0.185408,-0.167723
30,0,1,0.32,0.25,12.259819,12.133486,12.07789,12.219027,-0.126333,0.055596,-0.085541
30,1,1,0.32,0.25,11.99114,12.040891,12.190773,12.440278,0.049751,-0.149882,-0.399387
30,2,1,0.32,0.25,12.021631,12.24198,12.154191,12.314109,0.220349,0.087789,-0.072129
30,3,1,0.32,0.25,12.032048,12.118667,12.298754,12.27828,0.086619,-0.180087,-0.159613
31,0,2,0.12,0.05,12.134336,12.585453,12.65739,12.472146,0.451117,-0.071936,0.113307
31,1,2,0.12,0.05,12.152423,12.591982,12.558957,12.539023,0.439559,0.033025,0.05296
31,2,2,0.12,0.05,12.03417,12.240302,12.476601,12.4972,0.206132,-0.236299,-0.256898
31,3,2,0.12,0.05,12.03386,12.567951,12.41984,12.789342,0.534092,0.148111,-0.221391
32,0,2,0.12,0.1,11.933324,12.104049,12.627746,12.657036,0.170726,-0.523697,-0.552986
32,1,2,0.12,0.1,11.840038,12.563579,12.74011,12.473362,0.723541,-0.176531,0.090216
32,2,2,0.12,0.1,12.017489,12.568918,12.58299,12.579422,0.551428,-0.014072,-0.010504
32,3,2,0.12,0.1,12.042922,12.3468,12.353634,12.327272,0.303877,-0.006835,0.019527
33,0,2,0.12,0.15,12.047109,12.433751,12.393808,12.795952,0.386642,0.039942,-0.362202
33,1,2,0.12,0.15,12.144377,12.540755,12.292551,12.712483,0.396379,0.248204,-0.171727
33,2,2,0.12,0.15,12.084559,12.563851,12.474536,12.63259,0.479292,0.089315,-0.068739
33,3,2,0.12,0.15,12.003689,12.432383,12.528048,12.55472,0.428694,-0.095665,-0.122337
34,0,2,0.12,0.2,12.213752,12.65511,12.560936,12.687442,0.441358,0.094174,-0.032333
34,1,2,0.12,0.2,12.244854,12.515421,12.596341,12.521432,0.270567,-0.080919,-0.006011
34,2,2,0.12,0.2,12.161738,12.261379,12.380948,12.547017,0.099641,-0.119568,-0.285638
34,3,2,0.12,0.2,12.069968,12.470235,12.408012,12.197526,0.400266,0.062222,0.272709
35,0,2,0.12,0.25,12.132382,12.467348,12.612079,12.566894,0.334966,-0.144731,-0.099546
35,1,2,0.12,0.25,11.932449,12.571089,12.69596,12.538424,0.63864,-0.124871,0.032665
35,2,2,0.12,0.25,12.08846,12.499851,12.453561,12.595666,0.411391,0.04629,-0.095816
35,3,2,0.12,0.25,11.989999,12.371267,12.557125,12.791987,0.381267,-0.185859,-0.420721
