repeat_seed,sample,condition,psnr_db,mse
6,diamond,common_path,14.695746,0.03391763
6,corner_dots,common_path,14.502869,0.03545791
6,half_ring,common_path,15.9627,0.02533553
6,triple_bars,common_path,13.128368,0.04865901
6,offcenter_disk,common_path,13.426922,0.04542634
6,zigzag,common_path,10.673207,0.08564052
6,disk,noncommon_path,14.552147,0.03505785
6,two_spots,noncommon_path,14.138825,0.03855827
6,frame,noncommon_path,9.837763,0.10380629
6,diamond,noncommon_path,14.172535,0.03826014
6,corner_dots,noncommon_path,14.63932,0.03436118
6,half_ring,noncommon_path,16.332284,0.02326867
6,triple_bars,noncommon_path,13.092798,0.04905917
6,offcenter_disk,noncommon_path,13.08702,0.04912448
6,zigzag,noncommon_path,10.972048,0.07994573
6,disk,wrong_reference,14.308824,0.03707811
6,two_spots,wrong_reference,13.639878,0.0432526
6,frame,wrong_reference,9.62453,0.10903024
6,diamond,wrong_reference,13.996065,0.0398468
6,corner_dots,wrong_reference,14.325355,0.03693725
6,half_ring,wrong_reference,16.004116,0.02509507
6,triple_bars,wrong_reference,13.050512,0.04953918
6,offcenter_disk,wrong_reference,13.346259,0.04627795
6,zigzag,wrong_reference,11.877536,0.06490025
7,disk,ordinary,13.30259,0.04674563
7,two_spots,ordinary,13.545094,0.04420696
7,frame,ordinary,9.282062,0.11797605
7,diamond,ordinary,13.756949,0.04210223
7,corner_dots,ordinary,14.030009,0.03953658
7,half_ring,ordinary,16.02399,0.02498049
7,triple_bars,ordinary,13.135252,0.04858193
7,offcenter_disk,ordinary,12.703354,0.05366172
7,zigzag,ordinary,11.434046,0.0718779
7,disk,common_path,14.497652,0.03550052
7,two_spots,common_path,14.107615,0.03883635
7,frame,common_path,9.846305,0.10360232
7,diamond,common_path,14.170517,0.03827792
7,corner_dots,common_path,14.459603,0.03581291
7,half_ring,common_path,16.117338,0.02444929
7,triple_bars,common_path,12.92575,0.05098296
7,offcenter_disk,common_path,12.738394,0.05323051
7,zigzag,common_path,11.521681,0.07044203
7,disk,noncommon_path,14.575973,0.03486604
7,two_spots,noncommon_path,14.052925,0.03932851
7,frame,noncommon_path,9.778664,0.10522854
7,diamond,noncommon_path,14.811314,0.03302696
7,corner_dots,noncommon_path,14.473445,0.03569896
7,half_ring,noncommon_path,16.156547,0.02422955
7,triple_bars,noncommon_path,12.98538,0.05028773
7,offcenter_disk,noncommon_path,13.40503,0.04565591
7,zigzag,noncommon_path,11.295198,0.07421303
7,disk,wrong_reference,13.791964,0.04176415
7,two_spots,wrong_reference,13.592995,0.04372205
7,frame,wrong_reference,9.587353,0.10996758
7,diamond,wrong_reference,14.416223,0.03617243
7,corner_dots,wrong_reference,14.502586,0.03546022
7,half_ring,wrong_reference,16.490064,0.02243849
7,triple_bars,wrong_reference,13.196809,0.04789819
7,offcenter_disk,wrong_reference,13.729902,0.04236525
7,zigzag,wrong_reference,11.377488,0.07282008
8,disk,ordinary,13.681527,0.04283978
8,two_spots,ordinary,13.444268,0.04524527
8,frame,ordinary,9.331932,0.11662907
8,diamond,ordinary,13.493792,0.04473226
8,corner_dots,ordinary,14.234338,0.03771953
8,half_ring,ordinary,15.972498,0.02527844
8,triple_bars,ordinary,13.154812,0.04836362
8,offcenter_disk,ordinary,12.719281,0.05346528
8,zigzag,ordinary,10.969586,0.07999106
8,disk,common_path,14.345391,0.03676723
8,two_spots,common_path,14.065211,0.03921741
8,frame,common_path,9.734304,0.10630889
8,diamond,common_path,14.302562,0.03713161
8,corner_dots,common_path,14.574457,0.03487822
8,half_ring,common_path,16.43368,0.0227317
8,triple_bars,common_path,13.244404,0.04737613
8,offcenter_disk,common_path,13.789744,0.0417855
8,zigzag,common_path,11.503529,0.07073708
8,disk,noncommon_path,14.18094,0.03818616
8,two_spots,noncommon_path,13.719345,0.04246836
8,frame,noncommon_path,9.725653,0.10652087
8,diamond,noncommon_path,14.286428,0.03726981
8,corner_dots,noncommon_path,14.15274,0.03843492
8,half_ring,noncommon_path,16.246182,0.02373459
8,triple_bars,noncommon_path,12.94555,0.05075104
8,offcenter_disk,noncommon_path,12.854578,0.05182534
8,zigzag,noncommon_path,11.096021,0.07769587
8,disk,wrong_reference,13.755123,0.04211993
8,two_spots,wrong_reference,13.433081,0.04536197
8,frame,wrong_reference,9.562599,0.11059618
8,diamond,wrong_reference,13.720675,0.04245535
8,corner_dots,wrong_reference,14.296877,0.03718025
8,half_ring,wrong_reference,15.769757,0.02648648
8,triple_bars,wrong_reference,13.307834,0.04668922
8,offcenter_disk,wrong_reference,13.063557,0.0493906
8,zigzag,wrong_reference,10.984149,0.07972327
9,disk,ordinary,13.433905,0.04535337
9,two_spots,ordinary,13.350047,0.0462376
9,frame,ordinary,9.387709,0.11514077
9,diamond,ordinary,13.494423,0.04472576
9,corner_dots,ordinary,14.266167,0.03744409
9,half_ring,ordinary,15.983372,0.02521522
9,triple_bars,ordinary,13.200937,0.04785269
9,offcenter_disk,ordinary,13.096609,0.04901613
9,zigzag,ordinary,11.299078,0.07414676
9,disk,common_path,14.985034,0.03173194
9,two_spots,common_path,13.890997,0.04082257
9,frame,common_path,9.880916,0.10277995
9,diamond,common_path,14.590463,0.03474991
9,corner_dots,common_path,14.707438,0.03382643
9,half_ring,common_path,16.0101,0.02506052
9,triple_bars,common_path,13.10691,0.04890001
9,offcenter_disk,common_path,13.55227,0.04413397
9,zigzag,common_path,11.50752,0.0706721
9,disk,noncommon_path,14.064411,0.03922464
9,two_spots,noncommon_path,13.904113,0.04069947
9,frame,noncommon_path,9.739293,0.10618685
9,diamond,noncommon_path,14.17637,0.03822636
9,corner_dots,noncommon_path,14.488804,0.03557292
9,half_ring,noncommon_path,16.222603,0.02386381
9,triple_bars,noncommon_path,13.064807,0.04937638
9,offcenter_disk,noncommon_path,13.710796,0.04255205
9,zigzag,noncommon_path,11.148918,0.07675528
9,disk,wrong_reference,14.223413,0.03781453
9,two_spots,wrong_reference,13.915769,0.04059038
9,frame,wrong_reference,9.517946,0.11173916
9,diamond,wrong_reference,14.353523,0.03669844
9,corner_dots,wrong_reference,14.169459,0.03828725
9,half_ring,wrong_reference,16.226293,0.02384354
9,triple_bars,wrong_reference,13.114915,0.04880997
9,offcenter_disk,wrong_reference,13.600701,0.04364454
9,zigzag,wrong_reference,11.600456,0.06917584
10,disk,ordinary,13.81754,0.04151891
10,two_spots,ordinary,13.458412,0.04509816
10,frame,ordinary,9.383252,0.11525899
10,diamond,ordinary,14.176502,0.0382252
10,corner_dots,ordinary,14.293597,0.03720834
10,half_ring,ordinary,15.836071,0.02608513
10,triple_bars,ordinary,13.186838,0.04800828
10,offcenter_disk,ordinary,12.680689,0.0539425
10,zigzag,ordinary,11.195308,0.07593976
10,disk,common_path,14.41886,0.03615047
10,two_spots,common_path,14.26062,0.03749195
10,frame,common_path,9.752901,0.10585463
10,diamond,common_path,14.303953,0.03711972
10,corner_dots,common_path,14.768999,0.03335033
10,half_ring,common_path,16.348821,0.02318024
10,triple_bars,common_path,13.313875,0.04662432
10,offcenter_disk,common_path,13.940281,0.04036193
10,zigzag,common_path,11.359046,0.07312997
10,disk,noncommon_path,14.099252,0.03891122
10,two_spots,noncommon_path,13.868024,0.04103908
10,frame,noncommon_path,9.788445,0.10499183
10,diamond,noncommon_path,14.180471,0.03819029
10,corner_dots,noncommon_path,14.791886,0.03317504
10,half_ring,noncommon_path,16.340668,0.0232238
10,triple_bars,noncommon_path,12.837943,0.05202423
10,offcenter_disk,noncommon_path,13.43461,0.04534601
10,zigzag,noncommon_path,11.141383,0.07688855
10,disk,wrong_reference,14.484772,0.03560597
10,two_spots,wrong_reference,13.666168,0.04299156
10,frame,wrong_reference,9.602155,0.10959343
10,diamond,wrong_reference,14.27803,0.03734195
10,corner_dots,wrong_reference,14.494854,0.03552341
10,half_ring,wrong_reference,16.100617,0.0245436
10,triple_bars,wrong_reference,13.154258,0.04836979
