config_id,repeat_seed,sample,reference_weight,phase_mix,input_phase_coupling,common_minus_wrongref_db,common_minus_ordinary_db
11,0,two_spots,0.2,0.16,1.0,0.272912,0.661717
11,1,frame,0.2,0.16,1.0,-0.070364,0.127079
11,1,two_spots,0.2,0.16,1.0,0.319631,0.769559
11,2,frame,0.2,0.16,1.0,0.022893,0.126643
11,2,two_spots,0.2,0.16,1.0,0.179413,1.022288
11,3,frame,0.2,0.16,1.0,-0.040286,-0.010251
11,3,two_spots,0.2,0.16,1.0,-0.003474,0.694557
11,4,frame,0.2,0.16,1.0,-0.041447,-0.049123
11,4,two_spots,0.2,0.16,1.0,0.061852,0.735999
11,5,frame,0.2,0.16,1.0,-0.304231,-0.074787
11,5,two_spots,0.2,0.16,1.0,0.005414,0.689276
11,6,frame,0.2,0.16,1.0,0.104847,-0.075008
11,6,two_spots,0.2,0.16,1.0,-0.004365,0.779599
11,7,frame,0.2,0.16,1.0,-0.183148,-0.047891
11,7,two_spots,0.2,0.16,1.0,0.058909,0.660713
12,0,frame,0.2,0.16,1.1,-0.327273,-0.190989
12,0,two_spots,0.2,0.16,1.1,0.039105,0.674664
12,1,frame,0.2,0.16,1.1,-0.118548,0.041303
12,1,two_spots,0.2,0.16,1.1,-0.083822,0.658375
12,2,frame,0.2,0.16,1.1,-0.149924,0.024492
12,2,two_spots,0.2,0.16,1.1,-0.152092,0.613987
12,3,frame,0.2,0.16,1.1,-0.225453,0.01552
12,3,two_spots,0.2,0.16,1.1,0.017958,0.695951
12,4,frame,0.2,0.16,1.1,-0.194625,0.034188
12,4,two_spots,0.2,0.16,1.1,0.069944,0.754502
12,5,frame,0.2,0.16,1.1,-0.180459,0.029513
12,5,two_spots,0.2,0.16,1.1,-0.080949,0.845516
12,6,frame,0.2,0.16,1.1,0.188308,0.126898
12,6,two_spots,0.2,0.16,1.1,-0.12028,0.680584
12,7,frame,0.2,0.16,1.1,-0.210532,-0.033276
12,7,two_spots,0.2,0.16,1.1,-0.040511,0.638362
13,0,frame,0.14,0.17,0.9,-0.128394,0.115225
13,0,two_spots,0.14,0.17,0.9,-0.098124,1.153459
13,1,frame,0.14,0.17,0.9,-0.208138,0.127447
13,1,two_spots,0.14,0.17,0.9,0.200685,0.260483
13,2,frame,0.14,0.17,0.9,0.090336,0.302696
13,2,two_spots,0.14,0.17,0.9,-0.005831,0.90037
13,3,frame,0.14,0.17,0.9,0.176838,0.307009
13,3,two_spots,0.14,0.17,0.9,0.033808,0.857876
13,4,frame,0.14,0.17,0.9,0.011724,0.135014
13,4,two_spots,0.14,0.17,0.9,-0.121951,0.25957
13,5,frame,0.14,0.17,0.9,-0.292703,0.007749
13,5,two_spots,0.14,0.17,0.9,-0.282031,0.301157
13,6,frame,0.14,0.17,0.9,-0.131491,0.063502
13,6,two_spots,0.14,0.17,0.9,-0.165902,0.434225
13,7,frame,0.14,0.17,0.9,0.066481,0.308983
13,7,two_spots,0.14,0.17,0.9,0.001825,0.596557
14,0,frame,0.14,0.17,1.0,-0.017928,-0.071313
14,0,two_spots,0.14,0.17,1.0,-0.362725,0.686493
14,1,frame,0.14,0.17,1.0,0.057796,0.171892
14,1,two_spots,0.14,0.17,1.0,-0.146675,0.612816
14,2,frame,0.14,0.17,1.0,-0.013202,0.160881
14,2,two_spots,0.14,0.17,1.0,-0.191157,0.367854
14,3,frame,0.14,0.17,1.0,0.016933,0.041376
14,3,two_spots,0.14,0.17,1.0,-0.135835,0.385034
14,4,frame,0.14,0.17,1.0,0.063299,0.11638
14,4,two_spots,0.14,0.17,1.0,-0.208301,0.296588
14,5,frame,0.14,0.17,1.0,0.162063,0.113162
14,5,two_spots,0.14,0.17,1.0,0.046777,0.755087
14,6,frame,0.14,0.17,1.0,0.153061,0.243403
14,6,two_spots,0.14,0.17,1.0,-0.131211,0.711717
14,7,frame,0.14,0.17,1.0,-0.084777,0.100485
14,7,two_spots,0.14,0.17,1.0,0.0405,0.241348
15,0,frame,0.14,0.17,1.1,-0.181869,0.028736
15,0,two_spots,0.14,0.17,1.1,-0.054895,0.515535
15,1,frame,0.14,0.17,1.1,-0.238824,0.118711
15,1,two_spots,0.14,0.17,1.1,-0.037436,0.70254
15,2,frame,0.14,0.17,1.1,-0.006241,0.115354
15,2,two_spots,0.14,0.17,1.1,0.070198,0.508745
15,3,frame,0.14,0.17,1.1,0.009515,-0.031683
15,3,two_spots,0.14,0.17,1.1,0.132646,0.853249
15,4,frame,0.14,0.17,1.1,0.063238,0.139119
15,4,two_spots,0.14,0.17,1.1,0.206518,0.604054
15,5,frame,0.14,0.17,1.1,-0.129892,0.10651
15,5,two_spots,0.14,0.17,1.1,-0.188161,0.441528
15,6,frame,0.14,0.17,1.1,-0.050692,0.153491
15,6,two_spots,0.14,0.17,1.1,-0.250723,0.515458
15,7,frame,0.14,0.17,1.1,-0.290339,0.044226
15,7,two_spots,0.14,0.17,1.1,0.125274,0.92598
16,0,frame,0.16,0.17,0.9,0.041716,0.114645
16,0,two_spots,0.16,0.17,0.9,-0.266851,0.573517
16,1,frame,0.16,0.17,0.9,0.164827,0.14771
16,1,two_spots,0.16,0.17,0.9,-0.003222,0.518211
16,2,frame,0.16,0.17,0.9,0.253992,0.147175
16,2,two_spots,0.16,0.17,0.9,-0.037745,0.857819
16,3,frame,0.16,0.17,0.9,-0.041696,0.093011
16,3,two_spots,0.16,0.17,0.9,-0.391895,0.822521
16,4,frame,0.16,0.17,0.9,-0.324431,-0.052225
16,4,two_spots,0.16,0.17,0.9,0.098506,0.9498
16,5,frame,0.16,0.17,0.9,0.072893,0.082011
16,5,two_spots,0.16,0.17,0.9,-0.134418,0.868235
16,6,frame,0.16,0.17,0.9,-0.278429,0.064844
16,6,two_spots,0.16,0.17,0.9,-0.296101,0.491938
16,7,frame,0.16,0.17,0.9,-0.050838,-0.028171
16,7,two_spots,0.16,0.17,0.9,-0.080266,0.75873
17,0,frame,0.16,0.17,1.0,-0.217306,0.122818
17,0,two_spots,0.16,0.17,1.0,-0.155153,0.727752
17,1,frame,0.16,0.17,1.0,-0.005214,0.116048
17,1,two_spots,0.16,0.17,1.0,-0.173466,0.880762
17,2,frame,0.16,0.17,1.0,-0.171519,0.079523
17,2,two_spots,0.16,0.17,1.0,0.181103,0.675625
17,3,frame,0.16,0.17,1.0,0.020078,0.105156
17,3,two_spots,0.16,0.17,1.0,0.14839,0.760119
17,4,frame,0.16,0.17,1.0,-0.217052,0.076442
17,4,two_spots,0.16,0.17,1.0,-0.049999,0.938672
17,5,frame,0.16,0.17,1.0,0.351369,0.209445
17,5,two_spots,0.16,0.17,1.0,-0.135322,0.615432
17,6,frame,0.16,0.17,1.0,-0.083369,0.131958
17,6,two_spots,0.16,0.17,1.0,-0.121473,0.456391
17,7,frame,0.16,0.17,1.0,-0.080841,-0.054046
17,7,two_spots,0.16,0.17,1.0,-0.144729,0.441511
18,0,frame,0.16,0.17,1.1,0.036921,0.285792
18,0,two_spots,0.16,0.17,1.1,0.233545,1.033657
18,1,frame,0.16,0.17,1.1,-0.111225,-0.005732
18,1,two_spots,0.16,0.17,1.1,-0.079851,0.462638
18,2,frame,0.16,0.17,1.1,-0.255155,-0.078887
18,2,two_spots,0.16,0.17,1.1,-0.569887,0.275734
18,3,frame,0.16,0.17,1.1,-0.081267,0.182254
18,3,two_spots,0.16,0.17,1.1,0.047993,0.800051
18,4,frame,0.16,0.17,1.1,0.002475,-0.035903
18,4,two_spots,0.16,0.17,1.1,-0.16087,0.471796
18,5,frame,0.16,0.17,1.1,0.033245,0.114721
18,5,two_spots,0.16,0.17,1.1,0.005592,0.655177
18,6,frame,0.16,0.17,1.1,0.042732,-0.067235
18,6,two_spots,0.16,0.17,1.1,0.197242,0.550175
18,7,frame,0.16,0.17,1.1,0.07467,0.103035
18,7,two_spots,0.16,0.17,1.1,-0.134547,0.741358
19,0,frame,0.18,0.17,0.9,-0.123839,0.068845
19,0,two_spots,0.18,0.17,0.9,-0.408887,0.418144
19,1,frame,0.18,0.17,0.9,0.107528,0.264461
19,1,two_spots,0.18,0.17,0.9,-0.253468,0.363509
19,2,frame,0.18,0.17,0.9,-0.283122,-0.10784
19,2,two_spots,0.18,0.17,0.9,-0.070504,0.740767
19,3,frame,0.18,0.17,0.9,0.018783,0.182247
