config_id,split,sample,condition,num_layers,reference_weight,phase_mix,psnr_db,mse
6,train,ring,ordinary,1,0.4,0.55,13.480997,0.04486423
6,train,chevron,ordinary,1,0.4,0.55,13.524601,0.04441604
6,train,cross,common_path,1,0.4,0.55,11.57708,0.06954917
6,train,diag,common_path,1,0.4,0.55,9.449038,0.11352623
6,train,box,common_path,1,0.4,0.55,10.178222,0.09597934
6,train,bars,common_path,1,0.4,0.55,10.795396,0.08326459
6,train,ring,common_path,1,0.4,0.55,9.968418,0.10072985
6,train,chevron,common_path,1,0.4,0.55,7.863836,0.16353716
6,train,cross,noncommon_path,1,0.4,0.55,11.33301,0.0735697
6,train,diag,noncommon_path,1,0.4,0.55,8.227489,0.15040112
6,train,box,noncommon_path,1,0.4,0.55,10.444043,0.09028087
6,train,bars,noncommon_path,1,0.4,0.55,10.151127,0.09658001
6,train,ring,noncommon_path,1,0.4,0.55,10.080716,0.0981586
6,train,chevron,noncommon_path,1,0.4,0.55,8.448052,0.1429535
6,train,cross,wrong_reference,1,0.4,0.55,11.351969,0.07324923
6,train,diag,wrong_reference,1,0.4,0.55,9.649006,0.1084175
6,train,box,wrong_reference,1,0.4,0.55,11.161508,0.07653308
6,train,bars,wrong_reference,1,0.4,0.55,11.530696,0.07029596
6,train,ring,wrong_reference,1,0.4,0.55,10.806309,0.08305563
6,train,chevron,wrong_reference,1,0.4,0.55,9.999973,0.10000061
6,ood,disk,ordinary,1,0.4,0.55,13.700074,0.04265723
6,ood,two_spots,ordinary,1,0.4,0.55,13.43232,0.04536992
6,ood,frame,ordinary,1,0.4,0.55,9.396842,0.11489888
6,ood,disk,common_path,1,0.4,0.55,12.78569,0.05265395
6,ood,two_spots,common_path,1,0.4,0.55,13.74848,0.04218441
6,ood,frame,common_path,1,0.4,0.55,8.614058,0.13759231
6,ood,disk,noncommon_path,1,0.4,0.55,13.108125,0.04888634
6,ood,two_spots,noncommon_path,1,0.4,0.55,13.661461,0.04303818
6,ood,frame,noncommon_path,1,0.4,0.55,8.762323,0.1329743
6,ood,disk,wrong_reference,1,0.4,0.55,13.122327,0.04872673
