point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
196,14.21368002880584,-36.46656187188893,-49.36064550875664,2.72317005397566,-20.357664760585003,-53.8539129569662
197,14.22150024157357,-36.48634889254878,-49.348907737487,2.815457014972342,-20.453807200380663,-53.85904243770312
198,14.22621347788311,-36.49860441833076,-49.34151209864534,2.9091187339290974,-20.54043056709168,-53.87610625030861
199,14.22779019369044,-36.50280454014818,-49.33894030036957,3.003920561131729,-20.617719154436198,-53.904682136284144
200,14.22779019369044,-36.50280454014818,-49.33894030036957,3.0995922268347083,-20.68591619229311,-53.9442484616259
201,14.22619039876601,-36.49839089108794,-49.34169802211166,3.195831200846856,-20.74531969534718,-53.99419169724972
202,14.22137973442918,-36.48481717552979,-49.35028492778327,3.292306309151868,-20.79627733668848,-54.05381515334132
203,14.21334585230362,-36.46160369598757,-49.36515716217517,3.3886615653207732,-20.83918053798838,-54.122348733835494
204,14.20208260570028,-36.42830237869182,-49.38674601016404,3.4845201757134783,-20.874457987792894,-54.19895945845893
205,14.18759016432582,-36.38450362103874,-49.41545116898382,3.5794886787479747,-20.90256880711292,-54.282762493324675
206,14.16987510610083,-36.32984261598762,-49.45163451996704,3.6731611797997763,-20.92399557757688,-54.3728324361723
207,14.14895048622023,-36.26400491247242,-49.49561464082225,3.7651236445580616,-20.939237433452895,-54.468214617482545
208,14.12483588366223,-36.18673099800883,-49.5476622724719,3.8549582149020196,-20.94880339689137,-54.56793620180015
209,14.09755742542056,-36.09781973389059,-49.60799691033414,3.9422475125763263,-20.953206108108592,-54.67101690235653
210,14.06714778879544,-35.99713053120934,-49.67678463214961,4.026578897142111,-20.952956071277182,-54.7764791541545
211,14.0336461821344,-35.88458422214581,-49.75413720830016,4.1075486458734725,-20.948556504780527,-54.88335762389302
212,13.9970983044618,-35.76016264923507,-49.84011247235848,4.184766024461716,-20.940498853073635,-54.990707967641676
213,13.95755628448071,-35.62390705916315,-49.93471586579816,4.25785721858681,-20.929258988113798,-55.09761477756982
214,13.91507859946579,-35.4759154414738,-50.03790301700955,4.326469097614983,-20.915294102188053,-55.203198686300894
