point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
101,4.193317860043027,-26.32020702011688,-51.77585665167943,4.018354417332164,-19.224170050556815,-57.000674475063164
102,4.423268398122826,-26.40870406362388,-51.84793599079029,4.103186191045606,-19.10843780240521,-57.15920819394093
103,4.649568301409468,-26.50135503220086,-51.91323165079321,4.180018240263066,-18.989689544715425,-57.31467555045381
104,4.87218713207362,-26.59805883041358,-51.97183125016805,4.2488034109546255,-18.86787853269518,-57.467047418594476
105,5.091099402487183,-26.69870762999728,-52.02383314624163,4.3094966539981785,-18.742972317626165,-57.616280445924396
106,5.306284580007815,-26.80318699676874,-52.06934630897628,4.3620550409478325,-18.61495279928639,-57.76231709768506
107,5.517727083293268,-26.91137602888814,-52.10849017578023,4.406437805023956,-18.48381617889802,-57.90508582793424
108,5.725416270012063,-27.023147507565,-52.14139448611029,4.442606408705012,-18.349572816033525,-58.04450137549838
109,5.929346415808905,-27.13836806134952,-52.16819909458336,4.470524639333232,-18.21224699407555,-58.1804651813992
110,6.129516684373715,-27.25689834520081,-52.18905376125143,4.490158734183465,-18.07187659990373,-58.312865923368065
111,6.325931088456198,-27.37859323557326,-52.20411791763708,4.501477536482491,-17.92851272446327,-58.441580162117006
112,6.518598441660162,-27.50330204281386,-52.21356040706814,4.504452683911963,-17.782219191742946,-58.566473093205616
113,6.707532300846595,-27.63086874221063,-52.21755919779427,4.499058831179383,-17.6330720244445,-58.687399397638416
114,6.892750898969264,-27.76113222507751,-52.21630106731993,4.485273908301271,-17.48115885526166,-58.804204183748936
115,7.074277068164382,-27.8939265712983,-52.2099812563452,4.463079416312905,-17.326578293199024,-58.91672401248393
116,7.252138152914807,-28.02908134478067,-52.19880309067786,4.432460762202541,-17.169439254761194,-59.02478799788493
117,7.42636591311004,-28.16642191328699,-52.18297756946303,4.393407634969427,-17.00986027012975,-59.12821897437466
118,7.596996416827952,-28.30576979410719,-52.16272291808309,4.345914424825173,-16.8479687746389,-59.226834722387196
119,7.764069922669908,-28.44694302701623,-52.13826410410765,4.2899806877062385,-16.683900395967484,-59.320449243917736
120,7.92763075149155,-28.58975657591058,-52.10983231473163,4.225611657444663,-16.517798247507972,-59.40887407970747
121,8.087727147384355,-28.73402276043712,-52.07766439423257,4.152818808161935,-16.349812238367154,-59.49191966000228
122,8.244411127780332,-28.87955171881061,-52.04200224011239,4.071620469717141,-16.18009841042185,-59.56939668112259
123,8.3977383225737,-29.02615190285401,-52.00309215677126,3.982042499363155,-16.008818312818835,-59.64111750043948
124,8.547767802179113,-29.17363060608342,-51.96118416579843,3.884119013156513,-15.836138424296841,-59.70689754275815
125,8.694561894476756,-29.32179452539129,-51.9165312722637,3.7778931811413377,-15.662229633744422,-59.76655671154823
126,8.838185990629924,-29.4704503565488,-51.86938868676161,3.6634180909004246,-15.487266789522952,-59.81992079892171
127,8.978708339802656,-29.61940542334668,-51.82001300339963,3.5407576847561075,-15.311428328304057,-59.86682288873081
128,9.116199832850876,-29.76846833971893,-51.76866133444683,3.409987776733181,-15.134895994532357,-59.90710474762717
129,9.250733775113142,-29.91744970363996,-51.71559040296175,3.271197156386125,-14.957854662158631,-59.94061819938507
130,9.382385648485842,-30.06616282095308,-51.66105559541042,3.1244887877771017,-14.780492271033413,-59.967226478231794
131,9.511232863031335,-30.21442445657541,-51.60530997706118,2.9699811132964182,-14.602999891345565,-59.986805557342876
132,9.637354498437997,-30.36205560973748,-51.54860327379978,2.8078094736804013,-14.42557193077694,-59.999245449041354
133,9.760831035727008,-30.50888230905732,-51.49118082494211,2.6381276575412764,-14.248406500664958,-60.00445147358148
134,9.881744079682033,-30.65473642233567,-51.43328251261536,2.461109596015988,-14.07170595946441,-60.002345493695415
135,10.00017607256483,-30.79945647500042,-51.37514167432451,2.276951220805266,-13.895677654220885,-59.99286711232892
136,10.11620999977065,-30.94288847014927,-51.31698400638912,2.0858725069396216,-13.720534883641944,-59.97597483118827
137,10.22992908817374,-31.08488670216254,-51.25902646700914,1.8881197250924073,-13.54649810970373,-59.95164716785694
138,10.3414164980109,-31.22531455491323,-51.20147618876123,1.6839679321503294,-13.373796448548022,-59.91988372931963
139,10.45075500925371,-31.36404527472351,-51.14452941130585,1.4737237329900388,-13.20266947565562,-59.880706239742594
140,10.55802670352191,-31.50096270744156,-51.08837044596263,1.2577283508617267,-13.033369384794637,-59.8341595203048
141,10.66331264269422,-31.63596198838197,-51.03317068454713,1.0363610481831087,-12.866163544777768,-59.78031241874751
142,10.76669254547493,-31.76895017342337,-50.97908766541033,0.8100429434504125,-12.701337502173885,-59.71925868610691
143,10.86824446327419,-31.89984679933071,-50.926264209951,0.5792412726227862,-12.539198481056998,-59.65111779781189
144,10.9680444568559,-32.0285843613985,-50.8748276429357,0.344474143544617,-12.38007943145821,-59.576035715962696
145,11.06616627529733,-32.15510869682558,-50.82488910973731,0.10631582789909089,-12.224343674573946,-59.49418558915097
146,11.16268103888705,-32.279379262852,-50.77654300306618,-0.13459737593062046,-12.072390182223087,-59.40576838563362
147,11.25765692766164,-32.40136929962325,-50.72986651090578,-0.3775606979258059,-11.924659506485694,-59.311013455028785
148,11.35115887734487,-32.52106586899354,-50.68491929618122,-0.6217938973359808,-11.781640337126685,-59.21017901295779
149,11.44324828450197,-32.63846976202323,-50.64174331719647,-0.8664338012431818,-11.643876601353872,-59.103552542209876
150,11.53398272275912,-32.75359526973187,-50.60036279610351,-1.1105265718357271,-11.511974922187123,-58.99145110305834
151,11.62341567195651,-32.86646981369691,-50.56078434065977,-0.9973472096996047,-11.512322467713952,-59.104258753443304
152,11.71159626210732,-32.97713343527905,-50.52299722234108,-0.8841585201973235,-11.513136235256074,-59.216558935065606
153,11.79856903401812,-33.08563814454213,-50.48697381157356,-0.7710288517517607,-11.514386778272819,-59.3283094429256
154,11.88437371839075,-33.19204713224413,-50.45267016850472,-0.6580258168960916,-11.516046447424271,-59.439467116662854
155,11.96904503517055,-33.29643385052874,-50.42002678542518,-0.5452162853867695,-11.51808936938379,-59.54998786933252
156,12.05261251482824,-33.39888097006407,-50.38896947475762,-0.4326663781136253,-11.520491422656333,-59.65982671832066
157,12.13510034316645,-33.49947922328726,-50.35941039452219,-0.32044146138277146,-11.523230210899172,-59.76893781832753
158,12.21652723112338,-33.59832614505272,-50.33124920142848,-0.20860614120440849,-11.526285034187959,-59.87727449634386
159,12.29690631090865,-33.69552472329801,-50.30437432029122,-0.09722425726798073,-11.52963685862184,-59.984789288542984
160,12.37624505965045,-33.79118197329486,-50.2786643173594,0.013641123664417689,-11.533268284616026,-60.0914339790101
161,12.4545452515583,-33.88540744962207,-50.25398936440011,0.12392771517256199,-11.53716351418791,-60.19715964022916
162,12.53180293941733,-33.97831171017783,-50.23021278001533,0.2335740195884322,-11.541308317505784,-60.30191667524544
163,12.60800846602671,-34.07000474635051,-50.20719263465836,0.3425193375541757,-11.545689998934439,-60.4056548614218
164,12.68314650598065,-34.16059439291899,-50.18478340615764,0.4507037788483392,-11.550297362781132,-60.50832339570624
165,12.75719613796855,-34.25018473039281,-50.1628376731889,0.5580682745731579,-11.555120678917545,-60.609870941327245
166,12.83013094754238,-34.33887449138212,-50.14120783503252,0.6645545907704439,-11.56015164842857,-60.7102456758348
167,12.90191916006904,-34.42675548126685,-50.11974784704132,0.7701053435116312,-11.565383369416269,-60.80939534040327
168,12.97252380335543,-34.51391102197636,-50.09831496247311,0.8746640154882684,-11.570810303067395,-60.907267290315644
169,13.04190289920692,-34.60041442616692,-50.07677147264,0.9781749741122578,-11.576428240075652,-61.00380854654601
170,13.11000968296059,-34.68632750755954,-50.05498643863151,1.0805834911199166,-11.58223426749329,-61.09896584836163
171,13.17679284982306,-34.77169913174657,-50.03283740911131,1.1818357636620473,-11.588226736072851,-61.192685706864275
172,13.24219682664526,-34.85656381045684,-50.01021211980976,1.28187893684949,-11.594405228148183,-61.284914459394145
173,13.30616206758158,-34.94094034115126,-49.98701017126725,1.3806611277158465,-11.600770526090695,-61.37559832471929
174,13.36862537191455,-35.02483049296426,-49.96314468207356,1.4781314505493393,-11.607324581369445,-61.464683458937174
175,13.42952022217681,-35.10821773947349,-49.93854391523344,1.5742400435394759,-11.614070484232242,-61.55211601201515
176,13.48877714057409,-35.19106603862629,-49.91315287531405,1.6689380966779275,-11.621012434018764,-61.63784218490002
177,13.54632406160574,-35.27331866043727,-49.88693487363768,1.7621778808481083,-11.628155710108256,-61.7218082871282
178,13.60208671869282,-35.35489706384979,-49.85987305791829,1.8539127780333704,-11.635506643498903,-61.8039607948703
179,13.6559890425619,-35.43569982548816,-49.83197190134617,1.9440973125702052,-11.643072589008556,-61.884246409346986
180,13.70795356909001,-35.51560162496089,-49.80325864414744,2.0326871833699163,-11.650861898082667,-61.96261211555418
181,13.75790185429815,-35.59445229397099,-49.77378467803351,2.119639297029054,-11.658883892188737,-62.039005241239934
182,13.80575489418121,-35.67207593977666,-49.74362686066834,2.2049118017473917,-11.667148836772954,-62.113373516075264
