point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_kspace_sparse,E_tb_2_kspace_sparse,E_tb_3_kspace_sparse
90,1.436500407594815,-25.64276255066269,-50.52120055214154,1.5619815379871556,-23.803667087419683,-50.55963785492216,-0.7401427308529237,-27.345138498924882,-46.69894642243133
91,1.703212610157086,-25.68092067007249,-50.67053364041007,1.54189209816741,-23.55641749580658,-50.722436274610686,-0.3417503967600849,-27.252203415530243,-47.15536595458836
92,1.966926187717595,-25.72387248100345,-50.81284841339416,1.519340255289075,-23.308392163133924,-50.8856266145208,0.03017659734062451,-27.22568825309169,-47.52444287103148
93,2.227558882110408,-25.77159706358603,-50.94811037109985,1.4945684725892672,-23.059773017668803,-51.04926759984164,0.3400667740303664,-27.230212739524685,-47.80287116124462
94,2.48503280295257,-25.8240658406314,-51.07629619434429,1.4678101040454319,-22.810741801315903,-51.21340630381135,0.563811132753345,-27.230561430882496,-47.99757909985186
95,2.739274519272601,-25.88124264250381,-51.19739375834543,1.439288515385809,-22.561479080357888,-51.378078303934515,0.6946289391363504,-27.203531630322427,-48.1200261624312
96,2.990215143595284,-25.94308377319897,-51.31140213836026,1.4092162532786876,-22.31216325506163,-51.54330789128913,0.7451624140911887,-27.144704165741697,-48.18196014772901
97,3.237790408427649,-26.00953807850397,-51.41833160644851,1.3777942704180808,-22.06296957962627,-51.70910832905935,0.744527298611755,-27.068495246728073,-48.19296644350227
98,3.481940735086958,-26.08054701710596,-51.51820361844305,1.3452112144101198,-21.81406920418106,-51.875482156376954,0.7311281995243217,-27.00213788358135,-48.15991645334595
99,3.722611294809102,-26.156044735515,-51.61105079020526,1.3116427884648374,-21.56562825065399,-52.042421533538196,0.743773378787651,-26.97623506080999,-48.088144526878224
100,3.95975206206951,-26.23595814767144,-51.69691686223396,1.2772511918965075,-21.317806934307285,-52.20990862467883,0.8136003234515572,-27.014984913374143,-47.98369958259205
101,4.193317860043027,-26.32020702011688,-51.77585665167943,1.242184648320356,-21.070758742569357,-52.3779160140388,0.9578595279203372,-27.12820419292001,-47.85553346412603
102,4.423268398122826,-26.40870406362388,-51.84793599079029,1.2065770291910385,-20.824629682477184,-52.54640715201435,1.175765374349808,-27.3064884439111,-47.7164488022107
103,4.649568301409468,-26.50135503220086,-51.91323165079321,1.170547579949792,-20.579557607569935,-52.71533682728601,1.4475544626141288,-27.521153677408858,-47.582267995197405
104,4.87218713207362,-26.59805883041358,-51.97183125016805,1.13420075552516,-20.335671634445873,-52.884651661414324,1.738729947387494,-27.73046593172495,-47.469673653401216
105,5.091099402487183,-26.69870762999728,-52.02383314624163,1.0976261712645035,-20.09309165840636,-53.05429062241056,2.00978569894641,-27.891321780334547,-47.39383644510611
106,5.306284580007815,-26.80318699676874,-52.06934630897628,1.0608986745613065,-19.851927976671618,-53.22418555391337,2.2283230771444504,-27.97225778128914,-47.36685064924716
107,5.517727083293268,-26.91137602888814,-52.10849017578023,1.0240785414916567,-19.61228102656827,-53.39426171673168,2.378614741622364,-27.96252147346611,-47.397280534960004
108,5.725416270012063,-27.023147507565,-52.14139448611029,0.9872118016948387,-19.374241244873982,-53.564438339647765,2.464962822502297,-27.87398019497867,-47.490368513440956
109,5.929346415808905,-27.13836806134952,-52.16819909458336,0.95033069354305,-19.13788905317708,-53.73462917650754,2.5083885839869042,-27.736081176821802,-47.64822291455798
110,6.129516684373715,-27.25689834520081,-52.18905376125143,0.9134542503643847,-18.903294972690755,-53.90474306676197,2.539015155528337,-27.58663898348808,-47.86961128436217
111,6.325931088456198,-27.37859323557326,-52.20411791763708,0.8765890171383965,-18.670519870479776,-54.07468449675642,2.5875584268827794,-27.461981196999687,-48.14937556532085
112,6.518598441660162,-27.50330204281386,-52.21356040706814,0.8397298957024781,-18.43961533754043,-54.24435415919865,2.6786031168876665,-27.38923346674223,-48.47763529982095
113,6.707532300846595,-27.63086874221063,-52.21755919779427,0.8028611151204698,-18.210624197655722,-54.413649508368295,2.8267905089379792,-27.38208987841418,-48.83899003251503
114,6.892750898969264,-27.76113222507751,-52.21630106731993,0.7659573225088725,-17.98358114445853,-54.582465308759666,3.0358067029244626,-27.440121430944927,-49.21211365987308
115,7.074277068164382,-27.8939265712983,-52.2099812563452,0.728984788317246,-17.758513502708468,-54.750694174978875,3.2995836770568325,-27.550951320631132,-49.570388598723895
116,7.252138152914807,-28.02908134478067,-52.19880309067786,0.6919027188542638,-17.535442108454575,-54.91822710084328,3.6050718496021625,-27.694355780574103,-49.88424675298505
117,7.42636591311004,-28.16642191328699,-52.18297756946303,0.6546646677625351,-17.31438230154225,-55.08495397575525,3.935842029683943,-27.847232732666814,-50.125454039955315
118,7.596996416827952,-28.30576979410719,-52.16272291808309,0.617220037197338,-17.095345022849692,-55.25076408654854,4.275600192046853,-27.988347022367474,-50.272788283408595
119,7.764069922669908,-28.44694302701623,-52.13826410410765,0.5795156586723377,-16.878338007724945,-55.41554660312635,4.610744585421514,-28.10194017542689,-50.317749695990116
120,7.92763075149155,-28.58975657591058,-52.10983231473163,0.5414974429072776,-16.663367066342605,-55.57919104633545,4.931511308736015,-28.179718475253583,-50.26848918323736
121,8.087727147384355,-28.73402276043712,-52.07766439423257,0.5031120875458454,-16.45043744111378,-55.74158773663957,5.231865068590661,-28.221233344991845,-50.15030937205218
122,8.244411127780332,-28.87955171881061,-52.04200224011239,0.4643088312991438,-16.239555230847476,-55.90262822227898,5.508770431651331,-28.233013135700656,-50.00193767650988
123,8.3977383225737,-29.02615190285401,-52.00309215677126,0.4250412428868609,-16.030728871059686,-56.06220568572233,5.761587340427246,-28.226895925174095,-49.868060274860696
124,8.547767802179113,-29.17363060608342,-51.96118416579843,0.38526903306538385,-15.82397065962589,-56.22021532733798,5.992033867821931,-28.21793044284519,-49.789861688170376
125,8.694561894476756,-29.32179452539129,-51.9165312722637,0.34495987800779376,-15.619298316828507,-56.37655472533058,6.204611584512641,-28.22211462957133,-49.796015728819214
126,8.838185990629924,-29.4704503565488,-51.86938868676161,0.30409124228024226,-15.416736568716196,-56.5311241711083,6.406897130360385,-28.25420343540583,-49.896461605884156
127,8.978708339802656,-29.61940542334668,-51.82001300339963,0.26265218958267567,-15.216318742498014,-56.68382697936343,6.608974561798675,-28.32578695988231,-50.080512241475944
128,9.116199832850876,-29.76846833971893,-51.76866133444683,0.22064516921377733,-15.018088362374574,-56.83456977226557,6.821636686019704,-28.443766672693968,-50.31972430533053
129,9.250733775113142,-29.91744970363996,-51.71559040296175,0.17808776580096133,-14.822100733676674,-56.9832627372819,7.053638436006036,-28.609305047716624,-50.574789351364565
130,9.382385648485842,-30.06616282095308,-51.66105559541042,0.13501439911343066,-14.628424502348388,-57.12981985825313,7.308859923779894,-28.817376474878934,-50.80468020363193
131,9.511232863031335,-30.21442445657541,-51.60530997706118,0.09147795965704866,-14.437143175584682,-57.274159119464386,7.584411644127937,-29.057147509037815,-50.97566865583856
132,9.637354498437997,-30.36205560973748,-51.54860327379978,0.047551364130194576,-14.248356587707205,-57.41620268256088,7.870428274277966,-29.313391558330075,-51.06790538842622
133,9.760831035727008,-30.50888230905732,-51.49118082494211,0.0033290126040588642,-14.062182293043845,-57.55587703626536,8.15173382991775,-29.568897905533404,-51.07808631900616
134,9.881744079682033,-30.65473642233567,-51.43328251261536,-0.04107187361718133,-13.878756864567574,-57.69311311895907,8.410989312239366,-29.807452108984982,-51.01802660140129
135,10.00017607256483,-30.79945647500042,-51.37514167432451,-0.08551005817470579,-13.698237073279037,-57.827846414290825,8.632558664202833,-30.016656762792113,-50.91019782610884
136,10.11620999977065,-30.94288847014927,-51.31698400638912,-0.12981926908215055,-13.520800918730062,-57.960017020078354,8.806221913086967,-30.189828403839034,-50.781975122709966
137,10.22992908817374,-31.08488670216254,-51.25902646700914,-0.1738073859198046,-13.346648475684521,-58.089569690863904,8.929979989460149,-30.32651070780541,-50.660288320661465
138,10.3414164980109,-31.22531455491323,-51.20147618876123,-0.21725587537357752,-13.176002515764011,-58.216453854579754,9.011429060797239,-30.431653487290788,-50.567736648284175
139,10.45075500925371,-31.36404527472351,-51.14452941130585,-0.2599195223396982,-13.009108856196512,-58.34062360387197,9.067434590930812,-30.51394744729733,-50.520425750132574
140,10.55802670352191,-31.50096270744156,-51.08837044596263,-0.3015265107416569,-12.846236380775116,-58.462037662720924,9.122056194828554,-30.583934136105324,-50.52723051376297
141,10.66331264269422,-31.63596198838197,-51.03317068454713,-0.34177891494411416,-12.687676671315812,-58.58065932908227,9.202868330193057,-30.65229982509485,-50.590034963201504
142,10.76669254547493,-31.76895017342337,-50.97908766541033,-0.38035366851428737,-12.53374318195663,-58.69645639435944,9.336027269325315,-30.72841440981212,-50.70461334031157
143,10.86824446327419,-31.89984679933071,-50.926264209951,-0.41690408115612265,-12.384769884490412,-58.80940104059957,9.540689055836232,-30.818959496878765,-50.861948268547415
144,10.9680444568559,-32.0285843613985,-50.8748276429357,-0.45106197575249246,-12.241109311736919,-58.91946971638687,9.823685306242169,-30.926537657636597,-51.049802878800506
145,11.06616627529733,-32.15510869682558,-50.82488910973731,-0.4824405142021975,-12.103129929137818,-59.026642992485776,10.175638045329135,-31.04839833524618,-51.25432520844156
