case,phi,phi_frac_pi,voltage,observable,abs_glr,gll_proxy,grr_proxy,glr_proxy
dot_candidate,0.4712388980384689,0.15,0.1599999999999999,5.097250745243819e-09,1.0194515949705873e-08,2.0154318349223845,2.0222322291483983,-1.0194515949705873e-08
dot_candidate,0.4712388980384689,0.15,0.1699999999999999,6.081947296285858e-09,1.2163895181136664e-08,2.0126449820712167,2.013897566570713,-1.2163895181136664e-08
dot_candidate,0.4712388980384689,0.15,0.18,7.420478842535618e-09,1.4840973693524705e-08,2.010041547013873,2.0041455679256983,-1.4840973693524705e-08
dot_candidate,0.4712388980384689,0.15,0.19,9.261301206821323e-09,1.852273166548944e-08,2.007586979584058,1.9926430415445069,-1.852273166548944e-08
dot_candidate,0.4712388980384689,0.15,0.2,1.182945604721288e-08,2.3659427161387693e-08,2.005251737712457,1.9789620757014152,-2.3659427161387693e-08
dot_candidate,0.5969026041820606,0.1899999999999999,-0.2,3.2687957113757187e-09,6.546753881598829e-09,1.9654641570718652,2.1849718390346267,-6.546753881598829e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.19,2.7063908023694945e-09,5.41960147526971e-09,1.9632631267567595,2.1705810349519443,-5.41960147526971e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.18,2.1832465300756365e-09,4.371531765148552e-09,1.9609169036320109,2.1586522276989384,-4.371531765148552e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.17,1.7366156427198933e-09,3.476964354980662e-09,1.958395002988596,2.148661349185216,-3.476964354980662e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.16,1.373062890105849e-09,2.748917134526206e-09,1.9556616920427048,2.140195607301838,-2.748917134526206e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.15,1.086715019014626e-09,2.175548573537696e-09,1.9526743258824009,2.13293437936065,-2.175548573537696e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.14,8.683602789765715e-10,1.738364962886549e-09,1.9493812413609544,2.1266292936779454,-1.738364962886549e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.13,7.098135627000632e-10,1.4209488621438628e-09,1.9457190663758208,2.1210872180928195,-1.4209488621438628e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.12,6.061786576913998e-10,1.213480515463468e-09,1.9416093003317387,2.116156806458914,-1.213480515463468e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.11,5.575698614452672e-10,1.116180088636399e-09,1.9369540879337603,2.1117182135883037,-1.116180088636399e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.1,5.714516670661782e-10,1.1439903285950667e-09,1.9316313809772467,2.1076753416119174,-1.1439903285950667e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.09,6.66970960368238e-10,1.3352521162659916e-09,1.9254905395235744,2.1039500130683537,-1.3352521162659916e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.08,8.837570010549362e-10,1.7693317999073463e-09,1.9183519126661503,2.100477576021736,-1.7693317999073463e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.07,1.3006502423622635e-09,2.604143081171462e-09,1.9100210288378665,2.097203560553827,-2.604143081171462e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.06,2.077674015976384e-09,4.160244029486425e-09,1.900348313577036,2.0940811015388734,-4.160244029486425e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.05,3.556303142038407e-09,7.121750312791952e-09,1.889423758618338,2.091068916174432,-7.121750312791952e-09
dot_candidate,0.5969026041820606,0.1899999999999999,-0.04,6.5178425825913184e-09,1.3053989611182862e-08,1.8781612810798956,2.0881296790303177,-1.3053989611182862e-08
dot_candidate,0.5969026041820606,0.1899999999999999,-0.03,1.291275519116396e-08,2.5863856906443024e-08,1.8699333510612812,2.0852286766491965,-2.5863856906443024e-08
dot_candidate,0.5969026041820606,0.1899999999999999,-0.02,2.825609295583392e-08,5.6590450066365564e-08,1.874314158253894,2.082332653156291,-5.6590450066365564e-08
dot_candidate,0.5969026041820606,0.1899999999999999,-0.01,7.458691965692719e-08,1.4930843508138932e-07,1.9100511717340871,2.0794087916757267,-1.4930843508138932e-07
dot_candidate,0.5969026041820606,0.1899999999999999,0.0,5.408693051142663e-08,1.0819714380477277e-07,1.9920219766098597,2.076419408721832,-1.0819714380477277e-07
