case,phi,phi_frac_pi,voltage,observable,abs_glr,gll_proxy,grr_proxy,glr_proxy
positive_control,0.7225663103256524,0.23,0.08,5.2214470115163864e-05,0.0001044294811849,1.9594529792511333,1.9721075736968503,-0.0001044294811849
positive_control,0.7225663103256524,0.23,0.0899999999999999,0.005349118721934044,0.0106982930119174,1.9699513779927604,1.957293592054796,-0.0106982930119174
positive_control,0.7225663103256524,0.23,0.0999999999999999,0.0009443955733541988,0.0018887997736014,1.9666908363135216,1.978615040773536,-0.0018887997736014
positive_control,0.7225663103256524,0.23,0.1099999999999999,0.005958081727207913,0.0119164186187502,2.009623563283791,2.0360991684491254,-0.0119164186187502
positive_control,0.7225663103256524,0.23,0.12,0.0023345925826394024,0.0046694021669694,1.949836345835099,1.912599562721469,-0.0046694021669694
positive_control,0.7225663103256524,0.23,0.13,0.0011825255547774725,0.002365054402047,1.971334441587552,1.9779242409067148,-0.002365054402047
positive_control,0.7225663103256524,0.23,0.14,0.0033600420610365236,0.0067202488601676,2.0111519672281943,2.0395143782904457,-0.0067202488601676
positive_control,0.7225663103256524,0.23,0.15,0.004337913968273533,0.0086791662936517,1.9620108299912955,1.8561216426585323,-0.0086791662936517
positive_control,0.7225663103256524,0.23,0.1599999999999999,0.0008039877922266382,0.0016080032089631,1.9629858096167416,1.9401073970944824,-0.0016080032089631
positive_control,0.7225663103256524,0.23,0.1699999999999999,0.0005846492180343833,0.001169300486472,1.9795134374054943,1.986941471210566,-0.001169300486472
positive_control,0.7225663103256524,0.23,0.18,0.0013198161522103744,0.0026396797896792,2.021841124867201,2.046242069924462,-0.0026396797896792
positive_control,0.7225663103256524,0.23,0.19,0.0015630565372171364,0.0031280066602343,2.001985955124474,1.8673699797862613,-0.0031280066602343
positive_control,0.7225663103256524,0.23,0.2,9.333256639685069e-05,0.0001866746766768,1.96795078943284,1.9285500770118116,-0.0001866746766768
positive_control,0.8482300164692442,0.27,-0.2,0.007912937957959726,0.0159342552868383,1.5998554621155852,2.021508090997065,-0.0159342552868383
positive_control,0.8482300164692442,0.27,-0.19,0.00020832666703382455,0.000417130494049,1.8603021041062395,2.047146499196777,-0.000417130494049
