case,phi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
dot_mimic,0.5969026041820606,0.07,5.010626226028841e-08,4.240923190040355e-08,7.69703035988486e-09,2.073056191310073,2.0503737683662786,0.16401586828458234,0.12928865219324587,0.09095968467154018,0.07891489152399783
dot_mimic,0.5969026041820606,0.08000000000000002,4.711224130024099e-08,4.261962429370883e-08,4.492617006532159e-09,2.0647908869279554,2.045241359993637,0.13187760856720737,0.13395758299126964,0.06708672613186915,0.08871622749024949
dot_mimic,0.5969026041820606,0.08999999999999997,4.621906879567694e-08,4.426165532597012e-08,1.9574134697068262e-09,2.0574691649499837,2.0395066397297508,0.10830666736128615,0.13954800503467477,0.050837504368716355,0.10004136726233802
dot_mimic,0.5969026041820606,0.09999999999999998,4.713179732716681e-08,4.747807696139375e-08,-3.462796342269388e-10,2.0510126562302116,2.033041356974348,0.09061661106114915,0.14620054324183585,0.0396039544846576,0.11315918592120758
dot_mimic,0.5969026041820606,0.10999999999999999,4.982349810336443e-08,5.256459087516605e-08,-2.741092771801619e-09,2.0453041740380624,2.0256875292543093,0.07706101238243332,0.15409275229466748,0.03175683560327812,0.12840522029926527
dot_mimic,0.5969026041820606,0.12,5.4496321909188424e-08,6.002862570980524e-08,-5.5323038006168124e-09,2.0402266573286596,2.0172487255921343,0.06648002369473102,0.16344925478771127,0.026253360833767857,0.14620052366327324
dot_mimic,0.5969026041820606,0.13,6.160120273450221e-08,7.068308878064053e-08,-9.08188604613832e-09,2.03567589229643,2.0074785301117584,0.058085740907621454,0.1745552731344595,0.0224098395293056,0.16707673394081554
dot_mimic,0.5969026041820606,0.14,7.191426147417796e-08,8.580410529731365e-08,-1.3889843823135686e-08,2.0315631432445493,1.9960652288880145,0.05133103532276244,0.1877747042878698,0.019767878188369774,0.19170946151001114
dot_mimic,0.5969026041820606,0.15000000000000002,8.668823073299942e-08,1.0739905374203371e-07,-2.0710823009034294e-08,2.0278141324956707,1.982611505386847,0.04582808943318615,0.20357421174294055,0.018013936226692707,0.22096268564527088
dot_mimic,0.5969026041820606,0.15999999999999998,1.0792256942007081e-07,1.3866778666395956e-07,-3.0745217243888746e-08,2.0243669216657314,1.9666077256636738,0.041296790785592244,0.22255508836661625,0.016929838374643756,0.25594733195772523
dot_mimic,0.5969026041820606,0.16999999999999998,1.388378867393009e-07,1.8481078398337514e-07,-4.5972897244074245e-08,2.0211696708559175,1.9473974769216835,0.037531359013512886,0.24549461596632166,0.016361642184698034,0.2980970930717407
dot_mimic,0.5969026041820606,0.18,1.847177776278484e-07,2.544756880005123e-07,-6.975791037266392e-08,2.0181786115476026,1.924134999427987,0.03437832585726075,0.2733976237455001,0.01619964455174792,0.3492625545596025
