phi,mode_index,energy
1.8064157758141308,4,0.18252214565433914
1.8064157758141308,5,-0.18252214565433986
1.8064157758141308,6,-0.2164174408553531
1.8064157758141308,7,0.21641744085535342
1.8064157758141308,8,0.25642061308315417
1.8064157758141308,9,-0.2564206130831547
1.8064157758141308,10,-0.28811500420531033
1.8064157758141308,11,0.2881150042053109
1.8849555921538756,0,-0.0006618308764337617
1.8849555921538756,1,0.0006618308764341263
1.8849555921538756,2,-0.1605104459565108
1.8849555921538756,3,0.16051044595651093
1.8849555921538756,4,0.16288444670577862
1.8849555921538756,5,-0.16288444670577867
1.8849555921538756,6,0.22656138090798297
1.8849555921538756,7,-0.22656138090798325
1.8849555921538756,8,0.2273940811145535
1.8849555921538756,9,-0.2273940811145539
1.8849555921538756,10,0.3022428724976579
1.8849555921538756,11,-0.3022428724976586
1.9634954084936205,0,0.0032226948762736365
1.9634954084936205,1,-0.0032226948762738763
1.9634954084936205,2,0.1442216285238234
1.9634954084936205,3,-0.14422162852382386
1.9634954084936205,4,-0.16474636150814234
1.9634954084936205,5,0.16474636150814237
1.9634954084936205,6,0.20018414061589992
1.9634954084936205,7,-0.20018414061590034
1.9634954084936205,8,-0.24383699372883796
1.9634954084936205,9,0.24383699372883827
1.9634954084936205,10,0.27188008091467186
1.9634954084936205,11,-0.27188008091467314
2.0420352248333655,0,0.0037452759887731907
2.0420352248333655,1,-0.0037452759887738937
2.0420352248333655,2,0.1363947368204475
2.0420352248333655,3,-0.1363947368204479
2.0420352248333655,4,0.1537127023035065
2.0420352248333655,5,-0.1537127023035068
2.0420352248333655,6,-0.19921052200466458
2.0420352248333655,7,0.19921052200466466
2.0420352248333655,8,0.22706870670115284
2.0420352248333655,9,-0.22706870670115345
2.0420352248333655,10,0.2807594901898003
2.0420352248333655,11,-0.28075949018980073
2.12057504117311,0,-0.001458084722731418
2.12057504117311,1,0.0014580847227316008
2.12057504117311,2,-0.132054160064817
2.12057504117311,3,0.1320541600648175
2.12057504117311,4,-0.1405342866968981
2.12057504117311,5,0.14053428669689813
2.12057504117311,6,-0.1977755723721067
2.12057504117311,7,0.19777557237210677
2.12057504117311,8,0.21748453243424926
2.12057504117311,9,-0.21748453243424973
2.12057504117311,10,-0.2730870337602326
2.12057504117311,11,0.27308703376023313
2.199114857512855,0,0.007203759638162009
2.199114857512855,1,-0.007203759638163443
2.199114857512855,2,0.11646155890408537
2.199114857512855,3,-0.11646155890408572
2.199114857512855,4,0.14727148012762775
2.199114857512855,5,-0.1472714801276278
2.199114857512855,6,0.17625404094843025
2.199114857512855,7,-0.17625404094843072
2.199114857512855,8,0.23091335597937107
2.199114857512855,9,-0.2309133559793715
2.199114857512855,10,0.2517830141685598
2.199114857512855,11,-0.25178301416856025
2.2776546738525996,0,-0.006434064778979486
2.2776546738525996,1,0.006434064778979541
2.2776546738525996,2,-0.11249452623877743
2.2776546738525996,3,0.11249452623877845
2.2776546738525996,4,-0.13307375243530262
2.2776546738525996,5,0.13307375243530276
2.2776546738525996,6,-0.18261468394839628
2.2776546738525996,7,0.18261468394839683
2.2776546738525996,8,0.20914680636826363
2.2776546738525996,9,-0.2091468063682637
2.2776546738525996,10,-0.2683703774688951
2.2776546738525996,11,0.26837037746889564
2.3561944901923444,0,0.0015719685790667028
2.3561944901923444,1,-0.0015719685790671735
2.3561944901923444,2,-0.11205299085480101
2.3561944901923444,3,0.11205299085480104
2.3561944901923444,4,0.11941618893090039
2.3561944901923444,5,-0.11941618893090099
2.3561944901923444,6,0.18358729522146114
2.3561944901923444,7,-0.1835872952214623
2.3561944901923444,8,-0.20062889025038014
2.3561944901923444,9,0.20062889025038044
2.3561944901923444,10,0.2603427111883038
2.3561944901923444,11,-0.26034271118830443
2.434734306532089,0,-0.010971194371958867
2.434734306532089,1,0.010971194371958912
2.434734306532089,2,-0.09522604171892086
2.434734306532089,3,0.09522604171892128
2.434734306532089,4,0.13053061827664816
2.434734306532089,5,-0.13053061827664864
2.434734306532089,6,-0.16169659017511384
2.434734306532089,7,0.161696590175114
2.434734306532089,8,-0.21784522104174062
2.434734306532089,9,0.21784522104174117
2.434734306532089,10,-0.2378601016123009
2.434734306532089,11,0.23786010161230095
2.513274122871834,0,0.01492543900392891
2.513274122871834,1,-0.014925439003929805
2.513274122871834,2,-0.08700855894113234
2.513274122871834,3,0.08700855894113234
2.513274122871834,4,0.12898112008011497
2.513274122871834,5,-0.1289811200801151
2.513274122871834,6,-0.15667075267714223
2.513274122871834,7,0.1566707526771424
2.513274122871834,8,-0.20991942727833168
2.513274122871834,9,0.2099194272783323
2.513274122871834,10,-0.24204290216166038
2.513274122871834,11,0.2420429021616604
2.591813939211579,0,0.010281594873926976
2.591813939211579,1,-0.010281594873927614
2.591813939211579,2,0.08903014668698257
2.591813939211579,3,-0.08903014668698282
2.591813939211579,4,0.11225569744265403
2.591813939211579,5,-0.11225569744265444
2.591813939211579,6,0.16904185495018703
2.591813939211579,7,-0.16904185495018778
2.591813939211579,8,0.1906260042320737
2.591813939211579,9,-0.19062600423207463
2.591813939211579,10,0.25847754357486286
2.591813939211579,11,-0.2584775435748638
2.6703537555513237,0,0.0004511761884259434
2.6703537555513237,1,-0.00045117618842607755
2.6703537555513237,2,-0.09545269559561817
2.6703537555513237,3,0.09545269559561825
2.6703537555513237,4,0.09714063780470927
2.6703537555513237,5,-0.09714063780471027
2.6703537555513237,6,-0.17303518298998727
2.6703537555513237,7,0.17303518298998782
2.6703537555513237,8,-0.18274789553768597
2.6703537555513237,9,0.18274789553768628
2.6703537555513237,10,0.2504686060120281
2.6703537555513237,11,-0.2504686060120289
2.7488935718910685,0,0.010452791521948383
2.7488935718910685,1,-0.010452791521948706
2.7488935718910685,2,0.08069098600838105
2.7488935718910685,3,-0.08069098600838147
2.7488935718910685,4,0.10685259591681968
2.7488935718910685,5,-0.10685259591682073
2.7488935718910685,6,-0.15783268118423605
