slice_id,candidate,alpha,eta,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,peak_split,background_conductance,peak_minus_background,mean_frustration,collapse_rms
1,control_double_peak,1.1780972450961724,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,1.3744467859455345,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
1,control_double_peak,1.5707963267948966,1.0,1.5707963267948966,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,chiral,0.0,1.0,1.1780972450961724,2.0,0.9211836881112377,0.9651779588773053,-0.0928,0.1856,0.2172227075052194,0.7479552513720858,0.5333341795037712,0.11381043655100448
2,chiral,0.19634954084936207,1.0,1.1780972450961724,2.0,0.9269570140048823,0.9925096589058016,-0.08959999999999999,0.1792,0.2197545046650447,0.7727551542407569,0.5331620265080339,0.10845368604723533
2,chiral,0.39269908169872414,1.0,1.1780972450961724,2.0,0.929111484890932,1.0019364323629378,-0.08959999999999999,0.1792,0.22055988536492108,0.7813765469980167,0.5333040150722947,0.11061380230426328
2,chiral,0.5890486225480862,1.0,1.1780972450961724,2.0,0.9269758145215714,0.9926377290709599,-0.08959999999999999,0.1792,0.2195308192607596,0.7731069098102004,0.533764757227489,0.10855409183953475
2,chiral,0.7853981633974483,1.0,1.1780972450961724,2.0,0.9212000828486038,0.9651968107868236,-0.0928,0.1856,0.21685107854370003,0.7483457322431236,0.5341390895825706,0.1139751511719945
2,chiral,0.9817477042468103,1.0,1.1780972450961724,2.0,0.9134051929180576,0.9237920543689826,-0.096,0.19200000000000003,0.2129420172216026,0.71085003714738,0.5339781545899862,0.11959403910766352
2,chiral,1.1780972450961724,1.0,1.1780972450961724,2.0,0.9053823426090942,0.9053823426090942,0.0,0.0031999999999999806,0.20836840968214734,0.6970139329269469,0.5332614491997844,0.24927254877228855
2,chiral,1.3744467859455345,1.0,1.1780972450961724,2.0,0.8984473319289715,0.8984473319289715,0.0,0.0031999999999999806,0.2037586333450979,0.6946886985838736,0.5324702561360891,0.22314453838827059
2,chiral,1.5707963267948966,1.0,1.1780972450961724,2.0,0.8932810714273621,0.8932810714273621,0.0,0.0031999999999999806,0.19976293775333911,0.693518133674023,0.5321731559416012,0.20395029073817522
2,control_double_peak,0.0,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,0.19634954084936207,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,0.39269908169872414,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,0.5890486225480862,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,0.7853981633974483,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,0.9817477042468103,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,1.1780972450961724,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,1.3744467859455345,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
2,control_double_peak,1.5707963267948966,1.0,1.1780972450961724,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,chiral,0.0,1.0,1.9634954084936207,2.0,0.8932441080520817,0.8932441080520817,0.0,0.0031999999999999806,0.1998396245153929,0.6934044835366888,0.5333341795037712,0.20419161496023797
3,chiral,0.19634954084936207,1.0,1.9634954084936207,2.0,0.8984319753823872,0.8984319753823872,0.0,0.0031999999999999806,0.20398153753467027,0.6944504378477169,0.5331620265080339,0.2234501091914434
3,chiral,0.39269908169872414,1.0,1.9634954084936207,2.0,0.9053819337658627,0.9053819337658627,0.0,0.0031999999999999806,0.20871871286930616,0.6966632208965566,0.5333040150722947,0.2495157910371426
3,chiral,0.5890486225480862,1.0,1.9634954084936207,2.0,0.9134039529945561,0.9242987048605975,-0.096,0.19200000000000003,0.21331601649728277,0.7109826883633148,0.533764757227489,0.11946642444443673
3,chiral,0.7853981633974483,1.0,1.9634954084936207,2.0,0.9212000828486038,0.9656976452955337,-0.0928,0.1856,0.2171320291623393,0.7485656161331944,0.5341390895825706,0.11397822929014904
3,chiral,0.9817477042468103,1.0,1.9634954084936207,2.0,0.9269824708576667,0.9930527382740948,-0.08959999999999999,0.1792,0.21966400295899585,0.773388735315099,0.5339781545899862,0.10868134088661308
3,chiral,1.1780972450961724,1.0,1.9634954084936207,2.0,0.9291099858254173,1.001907519119258,-0.08959999999999999,0.1792,0.22056458425559827,0.7813429348636596,0.5332614491997844,0.11080757975101446
3,chiral,1.3744467859455345,1.0,1.9634954084936207,2.0,0.9269354361099503,0.991776985808171,-0.08959999999999999,0.1792,0.2196747487494472,0.7721022370587238,0.5324702561360891,0.10868559122817491
3,chiral,1.5707963267948966,1.0,1.9634954084936207,2.0,0.9211600253504622,0.963929201186741,-0.0928,0.1856,0.2170735393051605,0.7468556618815805,0.5321731559416012,0.11413840880858853
3,control_double_peak,0.0,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,0.19634954084936207,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,0.39269908169872414,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,0.5890486225480862,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,0.7853981633974483,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,0.9817477042468103,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,1.1780972450961724,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,1.3744467859455345,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
3,control_double_peak,1.5707963267948966,1.0,1.9634954084936207,2.0,1.1419106341554135,1.2554830246497244,-0.07999999999999999,0.16,0.9976500506501134,0.257832973999611,4.132233444309463e-11,5.949282087757645e-17
4,chiral,0.0,1.0,0.7853981633974483,2.0,0.9291125472081434,1.001956921818605,-0.08959999999999999,0.1792,0.22055655548214198,0.781400366336463,0.5333341795037712,0.17547067912674885
4,chiral,0.19634954084936207,1.0,0.7853981633974483,2.0,0.9269570140048823,0.9922369598176765,-0.08959999999999999,0.1792,0.21959783410640443,0.772639125711272,0.5331620265080339,0.17378004512422146
4,chiral,0.39269908169872414,1.0,0.7853981633974483,2.0,0.9211830762415117,0.9646584591851812,-0.0928,0.1856,0.2169456027816162,0.747712856403565,0.5333040150722947,0.18005347445368203
