slice_id,candidate,eta,phi,barrier_Z,alpha,bias,conductance,mean_frustration
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.0464,0.8122530759534321,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.044800000000000006,0.8160569311089255,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.043200000000000016,0.820003633669252,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.04159999999999997,0.8240674289929361,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.03999999999999998,0.8282234524871763,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.03839999999999999,0.8324477549793099,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.0368,0.8367173204636097,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.03520000000000001,0.8410100794086005,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.03360000000000002,0.845304919857982,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.03199999999999997,0.8495816974116769,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.030399999999999983,0.8538212437728884,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.028799999999999992,0.8580053717960671,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.027200000000000002,0.8621168727338364,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.02560000000000001,0.866139498490677,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.023999999999999966,0.8700579179762673,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.022399999999999975,0.8738576320082089,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.020799999999999985,0.8775248257584822,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.019199999999999995,0.8810461320940164,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.017600000000000005,0.8844082749489095,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.016000000000000014,0.8875975624175283,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.014399999999999968,0.890599210439746,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.012799999999999978,0.8933965085422525,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.011199999999999988,0.8959698994327907,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.009599999999999997,0.8982961408074089,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.008000000000000007,0.900347841435239,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.006400000000000017,0.902093772870963,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.004799999999999971,0.9035003683216243,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.0031999999999999806,0.9045346243848871,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,-0.0015999999999999903,0.9051681672036015,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.0,0.9053816440378971,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.0015999999999999903,0.9051681672036015,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.003200000000000036,0.904534624384887,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.0048000000000000265,0.9035003683216243,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.006400000000000017,0.902093772870963,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.008000000000000007,0.900347841435239,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.009599999999999997,0.8982961408074089,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.011199999999999988,0.8959698994327907,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.012800000000000034,0.8933965085422524,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.014400000000000024,0.8905992104397459,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.016000000000000014,0.8875975624175283,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.017600000000000005,0.8844082749489095,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.019199999999999995,0.8810461320940164,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.020799999999999985,0.8775248257584822,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.02240000000000003,0.8738576320082088,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.02400000000000002,0.8700579179762671,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.02560000000000001,0.866139498490677,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.027200000000000002,0.8621168727338364,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.028799999999999992,0.8580053717960671,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.030399999999999983,0.8538212437728884,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.03200000000000003,0.8495816974116768,0.5333341795037713
1,chiral,1.0,1.5707963267948966,2.0,0.0,0.03360000000000002,0.845304919857982,0.5333341795037713
