candidate,eta,alpha,barrier_Z,bias,conductance,mean_frustration
s_wave,0.0,0.0,2.0,-0.19999999999999998,0.4125714285669376,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.192,0.4276003565307807,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.184,0.44392648200461315,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.176,0.4616748550884481,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.16799999999999998,0.4809798644495634,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.15999999999999998,0.5019842519648767,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.152,0.5248372092989191,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.144,0.549691178237296,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.13599999999999998,0.576696864108593,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.128,0.6059958454481463,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.12,0.6377100371724055,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.11199999999999999,0.6719271681820109,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.10399999999999998,0.7086814204821579,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.09599999999999997,0.7479285319567525,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.088,0.7895151155889552,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.07999999999999999,0.8331428571424296,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.07199999999999998,0.8783297896403619,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.064,0.9243731019527318,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.055999999999999994,0.9703207981589945,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.04799999999999999,1.0149624425844148,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.03999999999999998,1.0568510638315212,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.03199999999999997,1.094367346940872,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.023999999999999994,1.125831752832012,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.015999999999999986,1.1496594543770426,4.132233444309463e-11
s_wave,0.0,0.0,2.0,-0.00799999999999998,1.1645386819511987,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.0,1.1696000000028233,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.008000000000000007,1.1645386819511987,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.016000000000000014,1.1496594543770426,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.02400000000000002,1.1258317528320114,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.03200000000000003,1.0943673469408717,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.040000000000000036,1.056851063831521,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.04800000000000004,1.0149624425844144,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.055999999999999994,0.9703207981589945,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.064,0.9243731019527318,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.07200000000000001,0.8783297896403618,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.08000000000000002,0.8331428571424296,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.08800000000000002,0.7895151155889552,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.09600000000000003,0.7479285319567522,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.10400000000000004,0.7086814204821577,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.11199999999999999,0.6719271681820109,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.12,0.6377100371724055,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.128,0.6059958454481463,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.136,0.576696864108593,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.14400000000000002,0.5496911782372957,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.15200000000000002,0.5248372092989191,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.16000000000000003,0.5019842519648765,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.16800000000000004,0.48097986444956325,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.17600000000000005,0.4616748550884479,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.184,0.44392648200461315,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.192,0.4276003565307807,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.2,0.4125714285669375,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.20800000000000002,0.398724338278138,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.21600000000000003,0.3859533436966513,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.22400000000000003,0.37416197587107103,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.23200000000000004,0.363262529396154,4.132233444309463e-11
s_wave,0.0,0.0,2.0,0.24,0.3531754636183302,4.132233444309463e-11
s_wave,0.0,0.5235987755982988,0.0,-0.24,1.172610556352501,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.23199999999999998,1.182437729936764,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.22399999999999998,1.1930563533145224,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.216,1.2045439177827366,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.208,1.2169858690260664,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.19999999999999998,1.230476190483487,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.192,1.2451178996920027,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.184,1.2610233842524905,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.176,1.2783144723622308,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.16799999999999998,1.2971220901785612,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.15999999999999998,1.3175853018488861,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.152,1.3398494551301223,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.144,1.364063064161231,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.13599999999999998,1.3903729513637861,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.128,1.418917047516987,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.12,1.4498141264122246,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.11199999999999999,1.4831496566242017,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.10399999999999998,1.5189569394623288,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.09599999999999997,1.5571928532192976,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.088,1.5977079628786972,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.07999999999999999,1.6402116402392546,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.07199999999999998,1.684234336152846,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.064,1.7290913473446268,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.055999999999999994,1.7738552059692623,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.04799999999999999,1.8173466631004342,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.03999999999999998,1.8581560284072154,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.03199999999999997,1.894705708410538,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.023999999999999994,1.9253594371784926,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.015999999999999986,1.9485732204881852,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,-0.00799999999999998,1.9630690863218783,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.0,1.9680000000438678,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.008000000000000007,1.9630690863218783,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.016000000000000014,1.9485732204881852,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.02400000000000002,1.9253594371784926,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.03200000000000003,1.894705708410538,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.040000000000000036,1.8581560284072154,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.04800000000000004,1.8173466631004338,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.055999999999999994,1.7738552059692623,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.064,1.7290913473446268,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.07200000000000001,1.6842343361528456,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.08000000000000002,1.6402116402392537,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.08800000000000002,1.5977079628786972,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.09600000000000003,1.5571928532192973,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.10400000000000004,1.5189569394623286,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.11199999999999999,1.4831496566242017,4.132233444309464e-11
s_wave,0.0,0.5235987755982988,0.0,0.12,1.4498141264122246,4.132233444309464e-11
