candidate,eta,alpha,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,mean_frustration,pos_peak_bias,neg_peak_bias,peak_split,signature
s_pm,0.0,0.5235987755982988,2.0,1.1696000000028233,1.1696000000028233,0.0,0.3794365811099916,0.7901634188928317,4.132233444309464e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.0,1.0471975511965976,0.0,1.9680000000438678,1.9680000000438678,0.0,1.1981950589017596,0.7698049411421082,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.0,1.0471975511965976,0.5,1.7684000000336069,1.7684000000336069,0.0,0.9935054394538178,0.7748945605797891,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.0,1.0471975511965976,1.0,1.4690000000182148,1.4690000000182148,0.0,0.6864710102819045,0.7825289897363104,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.0,1.0471975511965976,2.0,1.1696000000028235,1.1696000000028235,0.0,0.3794365811099916,0.7901634188928319,4.132233444309463e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.25,0.0,0.0,1.8832116789186755,1.8832116789186755,0.0,1.0582827842964129,0.8249288946222626,8.264466888618927e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.25,0.0,0.5,1.700569343144651,1.700569343144651,0.0,0.8538241471846598,0.8467451959599911,8.264466888618927e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.25,0.0,1.0,1.4266058394730774,1.4266058394730774,0.0,0.5471361915168623,0.8794696479562151,8.264466888618927e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.25,0.0,2.0,1.1526423357888587,1.1526423357888587,0.0,0.2404482358488636,0.9121940999399951,8.264466888618927e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
s_pm,0.25,0.5235987755982988,0.0,1.958609539258396,1.958609539258396,0.0,1.1591915401584312,0.7994179990999648,4.722550128732906e-11,0.0020000000000000018,-0.001999999999999974,0.003999999999999976,intervalley-activated zero-bias enhancement
