method,object_id,fixed_psnr_lowres,guided_psnr_lowres,method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
phase_only_stack,natural_object_eval_object_07,22.704364463676118,26.109630447912178,21.534000600817507,-1.1703638628586113,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,25.00474048357364,27.988982985907967,23.3762992885188,-1.6284411950548403,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,26.20381294930777,29.040371945253355,24.279291797344552,-1.9245211519632193,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,27.422731504240588,30.101166970284492,26.309167554984803,-1.1135639492557843,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_11,21.700322821077087,25.32568384056715,22.524861434628235,0.8245386135511481,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_00,26.99067415662615,28.909245924360427,25.33588883529231,-1.65478532133384,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_01,29.61058081464783,30.196198176472482,28.077317832983944,-1.533262981663885,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_02,23.965323057879676,25.234325799236842,22.85607243779197,-1.1092506200877068,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_03,25.14151513834653,26.228848875267026,23.825394610797595,-1.3161205275489358,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_04,26.324687020960802,27.304445667478426,24.10523058279786,-2.2194564381629434,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_05,23.3517567038945,24.964694200148024,22.674370039271324,-0.6773866646231781,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_06,26.112850882158178,27.418121974546548,25.00231336876086,-1.1105375133973183,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_07,22.006129246527276,23.42094426405356,21.494238610279595,-0.5118906362476814,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_08,24.586917704530585,25.525121252346594,23.28040605886446,-1.3065116456661237,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_09,25.759067908447236,26.816310138455385,23.965169287856085,-1.7938986205911505,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_10,26.919356053614028,28.15287592073473,26.14317272836471,-0.7761833252493169,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_11,21.018767378751054,22.2241806464545,22.450551384856674,1.4317840061056195,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_00,25.808079718112836,27.585630607997587,25.06983761592859,-0.7382421021842447,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_01,29.0037130297951,30.252362991203775,27.974595353219843,-1.0291176765752574,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_02,23.06180899454633,25.738156489412848,22.70612872026236,-0.3556802742839693,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_03,23.926890685367255,26.005413480953912,23.385864124520467,-0.5410265608467881,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_04,25.274917997835637,26.629424678781266,24.024122820590534,-1.2507951772451023,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
phase_only_stack,natural_object_eval_object_05,20.289932849145643,22.94694388552388,21.1712783382325,0.8813454890868577,0,Kodak-PCD0992,unrestricted public release,reference_channel_misregistration,0.0,mixed_train_tolerance
