epsilon,route,eta,n_bar,ratio_to_lb
0.018371767615786374,homodyne,0.99,1.1015807310655497,1.6759251192718583
0.018371767615786374,on-off,0.99,0.834291156783758,1.2692755664741884
0.018371767615786374,homodyne,0.7,1.5579498910784206,2.370236954398772
0.018371767615786374,on-off,0.7,1.179926064594172,1.7951183011563523
0.018371767615786374,homodyne,0.5,2.181129847509789,3.3183317361582803
0.018371767615786374,on-off,0.5,1.6518964904318407,2.513165621618893
0.01863975722588147,lower-bound,,0.6537449499811225,1.0
0.01863975722588147,homodyne,0.99,1.0953526512267784,1.6755045698760773
0.01863975722588147,on-off,0.99,0.8306341701040775,1.270578335064864
0.01863975722588147,homodyne,0.7,1.5491416067350152,2.3696421773961664
0.01863975722588147,on-off,0.7,1.1747540405757666,1.7969607881631646
0.01863975722588147,homodyne,0.5,2.168798249429021,3.317499048354633
0.01863975722588147,on-off,0.5,1.6446556568060733,2.5157451034284306
0.01891165600969468,lower-bound,,0.6501938085590406,1.0
0.01891165600969468,homodyne,0.99,1.0891288529053869,1.675083396009436
0.01891165600969468,on-off,0.99,0.8269771834243967,1.2718933532405412
0.01891165600969468,homodyne,0.7,1.5403393776804757,2.369046517213345
0.01891165600969468,on-off,0.7,1.1695820165573612,1.7988205995830513
0.01891165600969468,homodyne,0.5,2.156475128752666,3.316665124098683
0.01891165600969468,on-off,0.5,1.6374148231803056,2.518348839416272
0.019187520990478334,lower-bound,,0.6466436972833604,1.0
0.019187520990478334,homodyne,0.99,1.0829093689675346,1.6746616003789827
0.019187520990478334,on-off,0.99,0.8233201967447163,1.2732207863520488
0.019187520990478334,homodyne,0.7,1.531543250396942,2.3684499776788472
0.019187520990478334,on-off,0.7,1.1644099925389562,1.8006979692693266
0.019187520990478334,homodyne,0.5,2.1441605505557186,3.3158299687503856
0.019187520990478334,on-off,0.5,1.6301739895545384,2.520977156977057
0.019467410023284917,lower-bound,,0.6430946317689126,1.0
0.019467410023284917,homodyne,0.99,1.0766942326535442,1.674239185750877
0.019467410023284917,on-off,0.99,0.8196632100650358,1.2745608026775923
0.019467410023284917,homodyne,0.7,1.5227532718957266,2.3678525627048113
0.019467410023284917,on-off,0.7,1.1592379685205507,1.802593135215452
0.019467410023284917,homodyne,0.5,2.131854580654017,3.3149935877867356
0.019467410023284917,on-off,0.5,1.622933155928771,2.5236303893016325
0.01975138180710057,lower-bound,,0.6395466278760982,1.0
0.01975138180710057,homodyne,0.99,1.0704834775835521,1.6738161549511616
0.01975138180710057,on-off,0.99,0.8160062233853553,1.275913573487629
0.01975138180710057,homodyne,0.7,1.513969489725309,2.367254276288071
0.01975138180710057,on-off,0.7,1.1540659445021455,1.8045063396467897
0.01975138180710057,homodyne,0.5,2.119557285615433,3.3141559868033
0.01975138180710057,on-off,0.5,1.6156923223030035,2.5263088755055056
0.020039495897155573,lower-bound,,0.635999701715016,1.0
0.020039495897155573,homodyne,0.99,1.0642771377632645,1.6733925108665455
0.020039495897155573,on-off,0.99,0.8123492367056748,1.2772792731114817
0.020039495897155573,homodyne,0.7,1.5051919519794739,2.366655122511257
0.020039495897155573,on-off,0.7,1.14889392048374,1.8064378291148098
0.020039495897155573,homodyne,0.5,2.1072687327712636,3.31331717151576
0.020039495897155573,on-off,0.5,1.608451488677236,2.529012960760734
0.020331812717414424,lower-bound,,0.6324538696496693,1.0
0.020331812717414424,homodyne,0.99,1.0580752475898265,1.672968256445199
0.020331812717414424,on-off,0.99,0.8086922500259942,1.278658079005742
0.020331812717414424,homodyne,0.7,1.4964207073056115,2.366055105543924
0.020331812717414424,on-off,0.7,1.1437218964653346,1.8083878545938352
0.020331812717414424,homodyne,0.5,2.094988990227856,3.3124771477614936
0.020331812717414424,on-off,0.5,1.6012106550514684,2.5317429964313694
0.020628393573248038,lower-bound,,0.628909148302251,1.0
0.020628393573248038,homodyne,0.99,1.0518778418577992,1.6725433946975619
0.020628393573248038,on-off,0.99,0.8050352633463137,1.2800501718245276
0.020628393573248038,homodyne,0.7,1.4876558049131732,2.3654542296436945
0.020628393573248038,on-off,0.7,1.1385498724469294,1.8103566715804034
0.020628393573248038,homodyne,0.5,2.0827181268784427,3.311635921501173
0.020628393573248038,on-off,0.5,1.5939698214257012,2.534499340212565
0.020929300664290978,lower-bound,,0.6253655545575079,1.0
0.020929300664290978,homodyne,0.99,1.0456849557652497,1.6721179286971581
0.020929300664290978,on-off,0.99,0.801378276666633,1.2814557354916472
0.020929300664290978,homodyne,0.7,1.4788972945822816,2.364852499157409
0.020929300664290978,on-off,0.7,1.133377848428524,1.8123445401953298
0.020929300664290978,homodyne,0.5,2.070456212415194,3.3107934988203724
0.020929300664290978,on-off,0.5,1.5867289877999333,2.537282356273461
0.021234597097485933,lower-bound,,0.6218231055671913,1.0
0.021234597097485933,homodyne,0.99,1.0394966249199613,1.6716918615814254
0.021234597097485933,on-off,0.99,0.7977212899869527,1.2828749572747336
0.021234597097485933,homodyne,0.7,1.4701452266725168,2.364249918522302
0.021234597097485933,on-off,0.7,1.128205824410119,1.814351725288552
0.021234597097485933,homodyne,0.5,2.0582033173415235,3.3099498859312226
0.021234597097485933,on-off,0.5,1.5794881541741663,2.540092415403972
0.021544346900318846,lower-bound,,0.6182818187545875,1.0
0.021544346900318846,homodyne,0.99,1.0333128853457603,1.6712651965525605
0.021544346900318846,on-off,0.99,0.7940643033072721,1.2843080278614132
0.021544346900318846,homodyne,0.7,1.461399652131861,2.363646492267193
0.021544346900318846,on-off,0.7,1.1230338003917133,1.8163784965468557
0.021544346900318846,homodyne,0.5,2.045959512984605,3.3091050891740688
0.021544346900318846,on-off,0.5,1.5722473205483987,2.542929895165598
0.021858615034246718,lower-bound,,0.6147417118191382,1.0
0.021858615034246718,homodyne,0.99,1.0271337734889667,1.6708379368783708
0.021858615034246718,on-off,0.99,0.7904073166275917,1.285755141437573
0.021858615034246718,homodyne,0.7,1.452660622505824,2.3630422250136953
0.021858615034246718,on-off,0.7,1.1178617763733083,1.8184251286045674
0.021858615034246718,homodyne,0.5,2.033724871508154,3.308259115019174
0.021858615034246718,on-off,0.5,1.5650064869226314,2.5457951800463943
0.02217746740832167,lower-bound,,0.6112028027411458,1.0
