ab1_pattern,ab2_pattern,ab7_first_pattern,ab7_second_pattern,ab7_second_conjugated,overall_rmse_meV,gamma_start_max_abs_delta_meV,gamma_end_max_abs_delta_meV,k_b_rmse_meV,k_t_rmse_meV,m_rmse_meV
const,const,const,anti,False,10.184447700338419,2.3400000000000105,2.304638730650776,15.072053772748722,14.785976619638278,6.833582448442167
const,const,const,anti,True,10.184447700338419,2.3400000000000105,2.304638730650776,15.072053772748722,14.785976619638278,6.833582448442167
const,anti,cyc,anti,False,10.237448741447762,6.780000000000008,6.657812604259007,14.307803754087198,14.603683411086298,6.754536717830932
const,anti,cyc,anti,True,10.237448741447762,6.780000000000008,6.657812604259007,14.307803754087198,14.603683411086298,6.754536717830932
const,const,const,const,False,10.254701932370521,7.105427357601002e-15,0.018476238953141433,15.07205375593559,15.475344150379684,6.491488579094616
const,const,const,const,True,10.254701932370521,7.105427357601002e-15,0.018476238953141433,15.07205375593559,15.475344150379684,6.491488579094616
const,anti,cyc,const,False,10.280264059287346,4.440000000000005,4.36782252017794,14.307803736617767,15.168374444010468,6.439315860840798
const,anti,cyc,const,True,10.280264059287346,4.440000000000005,4.36782252017794,14.307803736617767,15.168374444010468,6.439315860840798
anti,anti,cyc,const,False,10.345241395700425,5.849999999999998,5.645535573267434,11.789064166902836,15.168380808212422,6.181704587459169
anti,anti,cyc,const,True,10.345241395700425,5.849999999999998,5.645535573267434,11.789064166902836,15.168380808212422,6.181704587459169
anti,anti,cyc,anti,False,10.355672248931064,8.189999999999998,7.933704951795718,11.789064166327435,14.603689988936155,6.093728472610192
anti,anti,cyc,anti,True,10.355672248931064,8.189999999999998,7.933704951795718,11.789064166327435,14.603689988936155,6.093728472610192
const,const,anti,anti,False,10.35875905774046,4.680000000000007,4.687913167945467,16.152569593066104,14.78597662196243,6.2467816520330635
const,const,anti,anti,True,10.35875905774046,4.680000000000007,4.687913167945467,16.152569593066104,14.78597662196243,6.2467816520330635
anti,anti,const,const,False,10.362895360473834,3.509999999999998,3.3558882088325817,11.789064167478243,15.47534965448003,5.945908902089231
anti,anti,const,const,True,10.362895360473834,3.509999999999998,3.3558882088325817,11.789064167478243,15.47534965448003,5.945908902089231
anti,cyc,cyc,anti,False,10.371988956766094,8.189999999999998,8.001267672850787,10.914435396207658,15.390781478533587,6.093728475649404
anti,cyc,cyc,anti,True,10.371988956766094,8.189999999999998,8.001267672850787,10.914435396207658,15.390781478533587,6.093728475649404
anti,cyc,cyc,const,False,10.380802254484589,5.849999999999998,5.713174700339373,10.91443539694082,15.912221124261995,6.181704457842805
anti,cyc,cyc,const,True,10.380802254484589,5.849999999999998,5.713174700339373,10.91443539694082,15.912221124261995,6.181704457842805
anti,anti,const,anti,False,10.388464686929083,5.849999999999998,5.645536950358714,11.789064166902843,14.785982263618266,6.216453309487804
anti,anti,const,anti,True,10.388464686929083,5.849999999999998,5.645536950358714,11.789064166902843,14.785982263618266,6.216453309487804
anti,cyc,const,const,False,10.396242098372031,3.509999999999998,3.423556942845039,10.914435397673982,16.143130478468656,5.945908856987254
anti,cyc,const,const,True,10.396242098372031,3.509999999999998,3.423556942845039,10.914435397673982,16.143130478468656,5.945908856987254
anti,cyc,const,anti,False,10.408439318019346,5.849999999999998,5.7131761285898826,10.914435396940828,15.491219707198251,6.2164533868210246
anti,cyc,const,anti,True,10.408439318019346,5.849999999999998,5.7131761285898826,10.914435396940828,15.491219707198251,6.2164533868210246
const,const,anti,const,False,10.411027725118362,2.3400000000000105,2.3988055444974776,16.152569582215335,15.475344155741977,6.1869948149067095
const,const,anti,const,True,10.411027725118362,2.3400000000000105,2.3988055444974776,16.152569582215335,15.475344155741977,6.1869948149067095
anti,anti,cyc,cyc,False,10.42192005126699,8.189999999999998,8.027799130691335,11.643313912895204,15.1683808208907,6.093728469802034
anti,anti,cyc,cyc,True,10.42192005126699,8.189999999999998,8.027799130691335,11.643313912895204,15.1683808208907,6.093728469802034
anti,anti,anti,anti,False,10.425130999677142,8.189999999999998,8.027797781067928,11.643314420833514,14.785982265942408,6.093728472776699
anti,anti,anti,anti,True,10.425130999677142,8.189999999999998,8.027797781067928,11.643314420833514,14.785982265942408,6.093728472776699
