point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_corrected,E_tb_2_corrected,E_tb_3_corrected
93,2.227558882110408,-25.77159706358603,-50.94811037109985,1.4945684725892672,-23.059773017668803,-51.04926759984164,2.2275588821104093,-25.77159706358602,-50.94811037109984
94,2.48503280295257,-25.8240658406314,-51.07629619434429,1.4678101040454319,-22.810741801315903,-51.21340630381135,2.4850328029525675,-25.82406584063141,-51.076296194344295
95,2.739274519272601,-25.88124264250381,-51.19739375834543,1.439288515385809,-22.561479080357888,-51.378078303934515,2.7392745192726,-25.88124264250381,-51.19739375834542
96,2.990215143595284,-25.94308377319897,-51.31140213836026,1.4092162532786876,-22.31216325506163,-51.54330789128913,2.9902151435952904,-25.94308377319897,-51.311402138360265
97,3.237790408427649,-26.00953807850397,-51.41833160644851,1.3777942704180808,-22.06296957962627,-51.70910832905935,3.2377904084276983,-26.00953807850399,-51.418331606448525
98,3.481940735086958,-26.08054701710596,-51.51820361844305,1.3452112144101198,-21.81406920418106,-51.875482156376954,3.481940735087005,-26.080547017105985,-51.51820361844308
99,3.722611294809102,-26.156044735515,-51.61105079020526,1.3116427884648374,-21.56562825065399,-52.042421533538196,3.7226112948091252,-26.15604473551503,-51.61105079020527
100,3.95975206206951,-26.23595814767144,-51.69691686223396,1.2772511918965075,-21.317806934307285,-52.20990862467883,3.959752062069529,-26.23595814767144,-51.69691686223398
101,4.193317860043027,-26.32020702011688,-51.77585665167943,1.242184648320356,-21.070758742569357,-52.3779160140388,4.193317860043037,-26.320207020116868,-51.77585665167943
102,4.423268398122826,-26.40870406362388,-51.84793599079029,1.2065770291910385,-20.824629682477184,-52.54640715201435,4.423268398122832,-26.408704063623883,-51.847935990790305
103,4.649568301409468,-26.50135503220086,-51.91323165079321,1.170547579949792,-20.579557607569935,-52.71533682728601,4.649568301409468,-26.501355032200873,-51.91323165079321
104,4.87218713207362,-26.59805883041358,-51.97183125016805,1.13420075552516,-20.335671634445873,-52.884651661414324,4.872187132073623,-26.598058830413578,-51.97183125016805
105,5.091099402487183,-26.69870762999728,-52.02383314624163,1.0976261712645035,-20.09309165840636,-53.05429062241056,5.091099402487181,-26.698707629997273,-52.02383314624163
106,5.306284580007815,-26.80318699676874,-52.06934630897628,1.0608986745613065,-19.851927976671618,-53.22418555391337,5.306284580007817,-26.803186996768748,-52.06934630897628
107,5.517727083293268,-26.91137602888814,-52.10849017578023,1.0240785414916567,-19.61228102656827,-53.39426171673168,5.517727083293266,-26.911376028888142,-52.10849017578022
108,5.725416270012063,-27.023147507565,-52.14139448611029,0.9872118016948387,-19.374241244873982,-53.564438339647765,5.72541627001207,-27.023147507564993,-52.14139448611029
109,5.929346415808905,-27.13836806134952,-52.16819909458336,0.95033069354305,-19.13788905317708,-53.73462917650754,5.929346415808906,-27.13836806134952,-52.16819909458336
110,6.129516684373715,-27.25689834520081,-52.18905376125143,0.9134542503643847,-18.903294972690755,-53.90474306676197,6.129516684373716,-27.256898345200813,-52.189053761251444
111,6.325931088456198,-27.37859323557326,-52.20411791763708,0.8765890171383965,-18.670519870479776,-54.07468449675642,6.3259310884561994,-27.378593235573263,-52.20411791763708
112,6.518598441660162,-27.50330204281386,-52.21356040706814,0.8397298957024781,-18.43961533754043,-54.24435415919865,6.518598441660164,-27.503302042813864,-52.21356040706813
113,6.707532300846595,-27.63086874221063,-52.21755919779427,0.8028611151204698,-18.210624197655722,-54.413649508368295,6.707532300846594,-27.630868742210637,-52.21755919779427
114,6.892750898969264,-27.76113222507751,-52.21630106731993,0.7659573225088725,-17.98358114445853,-54.582465308759666,6.892750898969264,-27.76113222507752,-52.216301067319925
115,7.074277068164382,-27.8939265712983,-52.2099812563452,0.728984788317246,-17.758513502708468,-54.750694174978875,7.074277068164387,-27.893926571298284,-52.209981256345195
116,7.252138152914807,-28.02908134478067,-52.19880309067786,0.6919027188542638,-17.535442108454575,-54.91822710084328,7.2521381529148075,-28.029081344780675,-52.19880309067786
117,7.42636591311004,-28.16642191328699,-52.18297756946303,0.6546646677625351,-17.31438230154225,-55.08495397575525,7.426365913110041,-28.16642191328699,-52.18297756946303
118,7.596996416827952,-28.30576979410719,-52.16272291808309,0.617220037197338,-17.095345022849692,-55.25076408654854,7.5969964168279525,-28.3057697941072,-52.16272291808309
