point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
218,13.71719679090408,-34.77031933896301,-50.53406717065911,10.498441216435916,-21.225576520461612,-61.1597480799102
219,13.66113204768338,-34.5668241347311,-50.67803511229219,10.580122528813769,-21.244110038977144,-61.246926282629886
220,13.60260889168033,-34.35313894650721,-50.82950092036076,10.643193580821748,-21.2609099589314,-61.3171901239735
221,13.54172640184807,-34.12963643142906,-50.98819013752947,10.687257186508935,-21.275976960740863,-61.37005717763597
222,13.4785887037279,-33.89670967095073,-51.15381347703432,10.711995156304663,-21.28930561679168,-61.405129150003404
223,13.4133047345138,-33.65476815902323,-51.32607059263663,10.717170923734633,-21.300884711517266,-61.42209452324995
224,13.34598799422628,-33.40423419952042,-51.50465342484851,10.702631734558244,-21.31069753045206,-61.42073079697851
225,13.27675628363361,-33.14553972575954,-51.68924911123057,10.668310397045538,-21.318722112560714,-61.40090633143105
226,13.20573142954978,-32.87912353636742,-51.87954246715314,10.614226591390471,-21.324931460268527,-61.362581794432245
227,13.13303899812746,-32.60542892783703,-52.07521805730664,10.54048773529144,-21.32929370183796,-61.30581121303113
228,13.05880799675234,-32.32490169450433,-52.27596188785252,10.447289401577958,-21.33177220110284,-61.230742629281
229,12.98317056513066,-32.03798846074228,-52.48146275502219,10.334915282481498,-21.332325610132827,-61.1376183577578
230,12.90626165614798,-31.74513530724041,-52.69141328889015,10.203736693807175,-21.3309078612189,-61.026774840259705
231,12.82821870706277,-31.44678665262891,-52.90551073163908,10.054211610923607,-21.327468095709897,-60.89864209066691
232,12.74918130158418,-31.14338435279469,-53.12345748853647,9.886883227234094,-21.321950528763846,-60.75374272016656
233,12.66929082337093,-30.83536698248363,-53.34496148758021,9.702378024710573,-21.3142942510764,-60.59269052999195
234,12.58869010147765,-30.52316926675134,-53.56973638079456,9.50140334526692,-21.304432971194352,-60.41618865550218
235,12.50752304826688,-30.20722163316964,-53.79750161680434,9.28474445134066,-21.292294705177696,-60.22502724189731
236,12.42593429030141,-29.88794985916357,-54.02798241084474,9.05326106417979,-21.27780142420745,-60.02008062819939
237,12.34406879273251,-29.56577479226315,-54.26090963495572,8.807883369149438,-21.260868675283195,-59.802304012442576
238,12.26207147770588,-29.24111212428672,-54.49601964788508,8.549607479051959,-21.24140519542926,-59.57272956746899
239,12.18008683732251,-28.91437220345416,-54.73305408125648,8.279490349176832,-21.21931254579265,-59.332461973538514
240,12.09825854171213,-28.58595987112659,-54.97175959588391,7.998644141747913,-21.194484798577818,-59.082673331409595
241,12.01672904281066,-28.25627431226802,-55.21188761974665,7.7082300427977275,-21.166808316741868,-58.82459741799176
242,11.93563917447449,-27.92570891083598,-55.45319407707076,7.409451541428778,-21.136161673503135,-58.5595232465398
243,11.85512774961927,-27.59465110314662,-55.69543911617923,7.103547190042076,-21.10241576559779,-58.28878789516689
244,11.77533115513878,-27.26348222385111,-55.93838684224934,6.791782874482355,-21.065434180348902,-58.01376857176891
245,11.69638294544045,-26.93257734053243,-56.18180505982512,6.475443635142733,-21.025073881333007,-57.735873890899455
246,11.6184134355305,-26.60230507411231,-56.42546502884936,6.155825093750617,-20.9811862799827,-57.456534349342895
247,11.54154929469322,-26.27302740327385,-56.66914123707379,5.834224555549653,-20.93361875998535,-57.17719200268549
248,11.46591314193484,-25.94509945198359,-56.91261119095633,5.511931872470807,-20.882216716930316,-56.89928936555503
249,11.391623144505,-25.61886925995749,-57.1556552265338,5.190220169051627,-20.826826166457394,-56.62425758365337
250,11.31879262096399,-25.29467753658022,-57.39805634125128,4.8703365485563985,-20.76729695944186,-56.353503956204136
251,11.24752965043387,-24.97285739937193,-57.63960004731248,4.553492911060547,-20.703486622066745,-56.08839892252305
252,11.17793668985079,-24.65373409861454,-57.88007424677811,4.2408570271667285,-20.63526481192079,-55.830262665126654
253,11.11011020122587,-24.33762473021298,-58.11926912836574,3.9335440194525484,-20.562518349009096,-55.58035152256789
254,11.0441402911149,-24.02483793928143,-58.35697708568262,3.6326084076575738,-20.485156743886616,-55.33984444586438
255,10.98011036469355,-23.71567361731719,-58.59299265644687,3.3390368720836245,-20.403118105830732,-55.109829770236665
256,10.91809679702604,-23.41042259615904,-58.82711248211017,3.0537418820001885,-20.316375274507006,-54.89129260574283
257,10.85816862429838,-23.10936634222123,-59.05913528718241,2.777556321629417,-20.22494198193056,-54.6851031729212
258,10.80038725795483,-22.81277665475214,-59.28886187747025,2.5112292255441564,-20.128878820932332,-54.49200641949329
