point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_reconstructed,E_tb_2_reconstructed,E_tb_3_reconstructed
28,-16.00269352591003,-27.04063833971281,-36.60162109896479,-10.285658466300154,-32.051219278625034,-36.755867499694155
29,-15.77995894153854,-27.14174799209385,-36.6690184602987,-9.873889371481054,-32.22817788865639,-36.90084776665711
30,-15.55373017351426,-27.23428673868553,-36.74689515037486,-9.465339235950028,-32.375400415174894,-37.070126376398434
31,-15.32403781350006,-27.31778037927369,-36.83572598643094,-9.060424912084287,-32.493206493642646,-37.26305511798092
32,-15.09091366065769,-27.39184233918393,-36.93589774943235,-8.659551416736987,-32.5828360752004,-37.47807895541301
33,-14.85439145815567,-27.45618307828015,-37.04769901399094,-8.263111724936987,-32.646237074868,-37.71294846609513
34,-14.61450749534194,-27.5106165627588,-37.17131304926249,-7.871486494462027,-32.68578879563043,-37.964996570775284
35,-14.37130109695051,-27.5550633065994,-37.30681426261612,-7.4850437413175985,-32.704034702760275,-38.231405960817696
36,-14.12481501697444,-27.5895497807123,-37.4541683704245,-7.104138481969993,-32.703472938421314,-38.50941881708026
37,-13.87509575178277,-27.61420429982416,-37.61323617137947,-6.729112354968039,-32.68642034751626,-38.79647303699396
38,-13.62219378455415,-27.62924978414507,-37.78378051324059,-6.360293232098811,-32.65494237885032,-39.090272595818504
39,-13.36616377104104,-27.63499401533679,-37.96547582350653,-5.997994827285402,-32.61083116352568,-39.388809732144935
40,-13.10706467498332,-27.63181813936104,-38.15791944313644,-5.642516309913839,-32.55561361567338,-39.690357106045205
41,-12.84495986009137,-27.6201642059384,-38.36064396669406,-5.294141928076933,-32.49057532335784,-39.993444156740466
42,-12.57991714436443,-27.60052248610381,-38.57312984168905,-4.953140646269827,-32.416790720932525,-40.29682716416927
43,-12.31200882155566,-27.57341919795417,-38.7948175922331,-4.619765801309772,-32.335153939932816,-40.5994586137919
44,-12.04131165380709,-27.53940512329394,-39.02511918030697,-4.294254779640169,-32.24640744539226,-40.90045875477888
45,-11.76790683882862,-27.49904544031784,-39.26342817615166,-3.9768287186821456,-32.15116724089935,-41.199090565796226
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-3.667692234491828,-32.049944368334906,-41.494738400382154
47,-11.21332088301143,-27.40157074998832,-39.76160208008599,-3.3670331776490134,-31.943162905188856,-41.78689010728145
48,-10.93232371743852,-27.34558631353488,-40.02023426405642,-3.075022419027104,-31.83117486687097,-42.07512221686247
49,-10.64898665107846,-27.28550686816483,-40.28441909290642,-2.791813666864339,-31.714272477877675,-42.35908772852159
50,-10.36341185248792,-27.22186592676591,-40.55356257771921,-2.51754331636272,-31.592698258382686,-42.638506051466614
51,-10.07570532669654,-27.15517880879373,-40.82708534354175,-2.252330332875872,-31.466653323646575,-42.91315470060478
52,-9.785976764061292,-27.08594098633862,-41.10442440338716,-1.9962761696061768,-31.33630423481143,-43.18286240822823
53,-9.49433937778497,-27.01462709910441,-41.38503427457849,-1.749464720608251,-31.201788682098677,-43.44750336985858
54,-9.200909731073164,-26.94169049757965,-41.66838757720501,-1.5119623097879096,-31.063220229898928,-43.70699239424519
55,-8.905807554835395,-26.86756319200221,-41.95397523621232,-1.2838177164902402,-30.920692309233214,-43.96128077161305
56,-8.609155556785039,-26.79265610375182,-42.24130638966322,-1.0650622381833943,-30.774281606494807,-44.210352710910165
57,-8.311079222753989,-26.71735953404764,-42.52990808750331,-0.8557097906662772,-30.62405096748343,-44.454222226774746
58,-8.011706611010347,-26.64204378140158,-42.81932484861941,-0.6557570461550505,-30.47005191153398,-44.692930381221345
59,-7.711168140346263,-26.56705985376427,-43.1091181295134,-0.4651836095351999,-30.312326831034124,-44.926542804617135
60,-7.40959637268736,-26.49274023359382,-43.39886574563616,-0.2839522330000399,-30.150910935936924,-45.15514743626643
61,-7.107125790962131,-26.41939966426112,-43.68816127625627,-0.11200906923479984,-29.985833990256886,-45.37885243759882
62,-6.803892572958921,-26.34733593447213,-43.97661347548166,0.05071603675779921,-29.817121877371125,-45.597784241177095
63,-6.500034361886447,-26.2768306439812,-44.26384570546995,0.20430921715439893,-29.644798022739263,-45.81208570700686
64,-6.195690034342666,-26.20814993904179,-44.54949540270257,0.34887221215627634,-29.468884696007166,-46.02191436433222
65,-5.890999466383378,-26.14154521003709,-44.83321358421462,0.4845219622722348,-29.289404209064813,-46.227440722554206
66,-5.586103298366355,-26.07725374676922,-45.11466439765027,0.6113901621922098,-29.106380022242,-46.42884663935395
67,-5.281142699230543,-26.01549934915628,-45.39352471676128,0.7296227764731184,-28.919837767261086,-46.62632373772695
68,-4.976259130849042,-25.95649289275013,-45.66948378232094,0.839379517329223,-28.72980619267508,-46.820071866592784
69,-4.671594113073073,-25.90043284967939,-45.94224288725702,0.9408332848955939,-28.536318035190416,-47.01029760203992
70,-4.367288990059417,-25.8475057664498,-46.21151510400173,1.0341695704146208,-28.33941081841738,-47.19721278819865
71,-4.063484698447771,-25.79788670058681,-46.47702505153291,1.1195858228839215,-28.13912757913948,-47.38103311826731
72,-3.760321537925722,-25.75173961844861,-46.73850869926255,1.1972907797998937,-27.935517520088585,-47.56197675740923
73,-3.457938944689603,-25.70921775672986,-46.9957132047673,1.2675037627366856,-27.728636587417398,-47.74026301013364
74,-3.156475268278868,-25.6704639502565,-47.2483967823058,1.3304539386153584,-27.518547970531337,-47.916111035408846
75,-2.856067552229545,-25.63561092867321,-47.49632859909737,1.3863795476460417,-27.305322521654535,-48.08973861316492
76,-2.556851318960716,-25.60478158457167,-47.73928869642123,1.4355270990655997,-27.08903909242822,-48.26136096605209
77,-2.258960359276206,-25.57808921551916,-47.97706793271624,1.4781505359498504,-26.869784784953346,-48.43118964035558
78,-1.962526526831602,-25.55563774233443,-48.20946794600395,1.5145103705498841,-26.64765511496892,-48.59943144985233
79,-1.66767953788604,-25.53752190583454,-48.43630113311207,1.5448727917928493,-26.422754085283042,-48.76628748615099
80,-1.374546776628541,-25.52382744414682,-48.6573906433337,1.5695087467955302,-26.19519416812585,-48.93195219870658
81,-1.083253106339191,-25.51463125255074,-48.87257038431645,1.5886929984700262,-25.965096195750508,-49.09661254726659
82,-0.7939206866189217,-25.51000152768911,-49.08168503812585,1.6027031615515945,-25.732589159355182,-49.260447229001926
83,-0.5066687968955925,-25.50999789786786,-49.28459008557431,1.6118187196546587,-25.49780991721198,-49.423625982031055
84,-0.221613666390418,-25.51467154105131,-49.48115183704157,1.61632002626013,-25.260902813758705,-49.586308966467485
85,0.0611316892934148,-25.52406529205513,-49.67124746813847,1.6164872928603469,-25.02201921230843,-49.748646223533605
86,0.3414576248175685,-25.53821374034383,-49.85476505868151,1.6125995678318252,-24.781316944957485,-49.91077721269879
87,0.6192580148664852,-25.55714331975209,-50.03160363354879,1.6049337099737404,-24.538959684198716,-50.07283042623115
88,0.8944303969082288,-25.58087239137102,-50.20167320408271,1.593763361035546,-24.295116241667294,-50.23492308001135
89,1.166876106862753,-25.60941132076996,-50.3648948087875,1.5793579219606853,-24.049959800345462,-50.3971608789541
90,1.436500407594815,-25.64276255066269,-50.52120055214154,1.5619815379871556,-23.803667087419683,-50.55963785492216
91,1.703212610157086,-25.68092067007249,-50.67053364041007,1.54189209816741,-23.55641749580658,-50.722436274610686
92,1.966926187717595,-25.72387248100345,-50.81284841339416,1.519340255289075,-23.308392163133924,-50.8856266145208
93,2.227558882110408,-25.77159706358603,-50.94811037109985,1.4945684725892672,-23.059773017668803,-51.04926759984164
94,2.48503280295257,-25.8240658406314,-51.07629619434429,1.4678101040454319,-22.810741801315903,-51.21340630381135
95,2.739274519272601,-25.88124264250381,-51.19739375834543,1.439288515385809,-22.561479080357888,-51.378078303934515
96,2.990215143595284,-25.94308377319897,-51.31140213836026,1.4092162532786876,-22.31216325506163,-51.54330789128913
97,3.237790408427649,-26.00953807850397,-51.41833160644851,1.3777942704180808,-22.06296957962627,-51.70910832905935
98,3.481940735086958,-26.08054701710596,-51.51820361844305,1.3452112144101198,-21.81406920418106,-51.875482156376954
99,3.722611294809102,-26.156044735515,-51.61105079020526,1.3116427884648374,-21.56562825065399,-52.042421533538196
100,3.95975206206951,-26.23595814767144,-51.69691686223396,1.2772511918965075,-21.317806934307285,-52.20990862467883
101,4.193317860043027,-26.32020702011688,-51.77585665167943,1.242184648320356,-21.070758742569357,-52.3779160140388
102,4.423268398122826,-26.40870406362388,-51.84793599079029,1.2065770291910385,-20.824629682477184,-52.54640715201435
103,4.649568301409468,-26.50135503220086,-51.91323165079321,1.170547579949792,-20.579557607569935,-52.71533682728601
104,4.87218713207362,-26.59805883041358,-51.97183125016805,1.13420075552516,-20.335671634445873,-52.884651661414324
105,5.091099402487183,-26.69870762999728,-52.02383314624163,1.0976261712645035,-20.09309165840636,-53.05429062241056
106,5.306284580007815,-26.80318699676874,-52.06934630897628,1.0608986745613065,-19.851927976671618,-53.22418555391337
107,5.517727083293268,-26.91137602888814,-52.10849017578023,1.0240785414916567,-19.61228102656827,-53.39426171673168
108,5.725416270012063,-27.023147507565,-52.14139448611029,0.9872118016948387,-19.374241244873982,-53.564438339647765
109,5.929346415808905,-27.13836806134952,-52.16819909458336,0.95033069354305,-19.13788905317708,-53.73462917650754
110,6.129516684373715,-27.25689834520081,-52.18905376125143,0.9134542503643847,-18.903294972690755,-53.90474306676197
111,6.325931088456198,-27.37859323557326,-52.20411791763708,0.8765890171383965,-18.670519870479776,-54.07468449675642
112,6.518598441660162,-27.50330204281386,-52.21356040706814,0.8397298957024781,-18.43961533754043,-54.24435415919865
113,6.707532300846595,-27.63086874221063,-52.21755919779427,0.8028611151204698,-18.210624197655722,-54.413649508368295
114,6.892750898969264,-27.76113222507751,-52.21630106731993,0.7659573225088725,-17.98358114445853,-54.582465308759666
115,7.074277068164382,-27.8939265712983,-52.2099812563452,0.728984788317246,-17.758513502708468,-54.750694174978875
116,7.252138152914807,-28.02908134478067,-52.19880309067786,0.6919027188542638,-17.535442108454575,-54.91822710084328
117,7.42636591311004,-28.16642191328699,-52.18297756946303,0.6546646677625351,-17.31438230154225,-55.08495397575525
118,7.596996416827952,-28.30576979410719,-52.16272291808309,0.617220037197338,-17.095345022849692,-55.25076408654854
119,7.764069922669908,-28.44694302701623,-52.13826410410765,0.5795156586723377,-16.878338007724945,-55.41554660312635
120,7.92763075149155,-28.58975657591058,-52.10983231473163,0.5414974429072776,-16.663367066342605,-55.57919104633545
121,8.087727147384355,-28.73402276043712,-52.07766439423257,0.5031120875458454,-16.45043744111378,-55.74158773663957
122,8.244411127780332,-28.87955171881061,-52.04200224011239,0.4643088312991438,-16.239555230847476,-55.90262822227898
123,8.3977383225737,-29.02615190285401,-52.00309215677126,0.4250412428868609,-16.030728871059686,-56.06220568572233
124,8.547767802179113,-29.17363060608342,-51.96118416579843,0.38526903306538385,-15.82397065962589,-56.22021532733798
125,8.694561894476756,-29.32179452539129,-51.9165312722637,0.34495987800779376,-15.619298316828507,-56.37655472533058
126,8.838185990629924,-29.4704503565488,-51.86938868676161,0.30409124228024226,-15.416736568716196,-56.5311241711083
127,8.978708339802656,-29.61940542334668,-51.82001300339963,0.26265218958267567,-15.216318742498014,-56.68382697936343
