case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
positive_control,0.47123889803846897,0.15,0.04999999999999999,0.17281078618408632,0.2076291939794347,-0.034818407795348366,1.9391131866589837,1.9086139376284725,0.23287312675133415,0.3268809310853404,0.25894153229700234,0.38344858566151985
positive_control,0.47123889803846897,0.15,0.06,0.17813107392451505,0.22122195987605933,-0.04309088595154428,1.9124618102947064,1.9039933689892488,0.2743040654691145,0.28840229344181495,0.31875136922286373,0.3413180385010218
positive_control,0.47123889803846897,0.15,0.07,0.14785727260919715,0.1892273872608617,-0.04137011465166454,1.9034884172800643,1.8605975178378766,0.23082772723164835,0.3495576842428939,0.28596919529991977,0.4475900517533529
positive_control,0.47123889803846897,0.15,0.08000000000000002,0.1312529903980447,0.17243441189920858,-0.041181421501163884,1.9567949610059117,1.94495342683781,0.1464688616068955,0.19796930463655288,0.14849247909982005,0.21183445629757933
positive_control,0.47123889803846897,0.15,0.08999999999999997,0.1674814256222937,0.22495651806462022,-0.057475092442326514,1.909502386160273,1.8726430251277244,0.26540863790524377,0.2654679086986698,0.2984311593026443,0.33534979112861907
positive_control,0.47123889803846897,0.15,0.09999999999999998,0.10744400139594307,0.14695019987237706,-0.039506198476433996,1.870877627508588,1.812543876141819,0.24209240119479997,0.3355487061276604,0.331708575209778,0.48349863150940753
positive_control,0.47123889803846897,0.15,0.10999999999999999,0.07205007039704941,0.09991364744009601,-0.027863577043046595,1.941829319201004,1.924100400283785,0.12895574621788375,0.20445080469483518,0.1592628499738331,0.2524868273680035
positive_control,0.47123889803846897,0.15,0.12,0.10079999433944603,0.14105608683784365,-0.04025609249839762,1.9925342031491835,1.9827253070032016,0.1325996656666199,0.14165469586943613,0.0998093700190389,0.11867329636783729
positive_control,0.47123889803846897,0.15,0.13,0.13997929526348518,0.19661593657768142,-0.05663664131419624,1.891903358589788,1.7928711211190864,0.2947346364797835,0.2967547037256811,0.3461946365757991,0.4472469412923985
positive_control,0.47123889803846897,0.15,0.14,0.058421724353028545,0.08188800288848826,-0.02346627853545971,1.8837574289360748,1.8234514885394344,0.17987261883912242,0.2485059836055855,0.2726489113675879,0.40158821653069143
positive_control,0.47123889803846897,0.15,0.15000000000000002,0.03738392550398996,0.05197211047809156,-0.014588184974101602,1.9416324950791404,1.92555401897121,0.10404216318173384,0.16489684466079907,0.14782148312849208,0.22475464071548779
positive_control,0.47123889803846897,0.15,0.15999999999999998,0.050324640850963255,0.06896666534130513,-0.01864202449034188,2.000534122097037,2.000693683568964,0.09376015254527684,0.12331291339936168,0.07458400595789805,0.1039772053400553
positive_control,0.47123889803846897,0.15,0.16999999999999998,0.11966591266249166,0.160693522583797,-0.04102760992130533,2.0224554209906858,1.9408804726943178,0.23230896232621231,0.19273357420854725,0.16882593141422153,0.21082549159292385
positive_control,0.47123889803846897,0.15,0.18,0.06452575531206983,0.08441745284482433,-0.019891697532754493,1.8963855889201324,1.7910535429532868,0.202291471104374,0.22355078359316866,0.2860141846514873,0.41260554310712766
positive_control,0.47123889803846897,0.15,0.19,0.026260160525748047,0.033288421113175565,-0.007028260587427518,1.9209929370548309,1.8823532542022186,0.10461015003008044,0.1511118628666313,0.17658895238782196,0.26173034807698503
positive_control,0.47123889803846897,0.15,0.2,0.020817600219752996,0.025437938920569787,-0.004620338700816792,1.9577462842965647,1.9501146363367714,0.07319539025286967,0.11753813838990132,0.11082876725548818,0.16280316335231296
positive_control,0.5969026041820606,0.18999999999999997,-0.2,0.1631912477569401,0.1447870370582679,0.018404210698672208,1.931726485750561,2.1165142968623063,0.2053199890659422,0.19895411605189445,0.2919977140140536,0.1008440298882605
positive_control,0.5969026041820606,0.18999999999999997,-0.19,0.14001856292881443,0.11882926876904336,0.02118929415977107,1.7259955463768477,2.053723400967119,0.12536090656491444,0.1344152335346912,0.42055465434783784,0.10188112672734362
positive_control,0.5969026041820606,0.18999999999999997,-0.18000000000000002,0.04596599530014628,0.03748351034136979,0.008482484958776487,1.863657902547489,2.0555749878914296,0.0724855663097117,0.12333818670526019,0.21731014872099913,0.07624568377260668
positive_control,0.5969026041820606,0.18999999999999997,-0.17,0.03579485310239047,0.02819426571189546,0.007600587390495014,1.9284557057645677,2.074352494971,0.08796353655012372,0.14928981463275245,0.167108418176051,0.08253790705224733
positive_control,0.5969026041820606,0.18999999999999997,-0.16,0.06125740016922589,0.046889238272599026,0.01436816189662686,1.9769466380353122,2.1062931671109775,0.13835342091935002,0.1991478500960645,0.17577494478066463,0.10722284488171396
positive_control,0.5969026041820606,0.18999999999999997,-0.15000000000000002,0.2205368731659922,0.1651612754214969,0.0553755977444953,1.9571453807843124,2.1669825496278987,0.2689878458023517,0.2643044951300171,0.36721806276253455,0.15269754324661322
positive_control,0.5969026041820606,0.18999999999999997,-0.14,0.10251800380944577,0.07564573946462884,0.026872264344816932,1.8736149681470047,2.076196416183082,0.10357787911179323,0.13339729543778414,0.2568351753096054,0.08407314359951897
positive_control,0.5969026041820606,0.18999999999999997,-0.13,0.04885945724155697,0.03575993905657719,0.013099518184979779,1.9274816628083355,2.0808775818217558,0.10231837675043365,0.1747284147710624,0.18793623212707794,0.10695035113428647
positive_control,0.5969026041820606,0.18999999999999997,-0.12000000000000001,0.06068428261469539,0.04431872477671548,0.01636555783797991,1.9693203545338418,2.109504122529284,0.15937412521221012,0.2498989794245558,0.20641932851634825,0.15676041473325172
positive_control,0.5969026041820606,0.18999999999999997,-0.11000000000000001,0.18123809313718384,0.13277887183821607,0.048459221298967764,2.006092997024036,2.1675611644327994,0.28345146742930927,0.33183462722872925,0.325817691704241,0.21273268409489748
positive_control,0.5969026041820606,0.18999999999999997,-0.1,0.12717731807889052,0.0939425649867615,0.03323475309212902,1.938794362235924,2.089032458198906,0.12193816503331381,0.14703210873378864,0.21637855588951874,0.09123440362701143
positive_control,0.5969026041820606,0.18999999999999997,-0.09000000000000001,0.06395215455094617,0.047886248913678854,0.01606590563726732,1.9567327043887108,2.0868224016399135,0.13736686637376067,0.23096443738977096,0.19670006762231698,0.1602079413871248
positive_control,0.5969026041820606,0.18999999999999997,-0.08000000000000002,0.09407366330541123,0.07181620193355705,0.02225746137185418,1.9874475596338206,2.1181856779519204,0.2414463028013277,0.36196178517356736,0.27625620453936106,0.2660335685935014
positive_control,0.5969026041820606,0.18999999999999997,-0.07,0.20409431798361463,0.15972811414594834,0.04436620383766629,1.9996722097605029,2.1246455726097917,0.24350378949885101,0.2577241323628476,0.28819778357601433,0.17744476359072234
positive_control,0.5969026041820606,0.18999999999999997,-0.06,0.0891777738643748,0.07185595927838315,0.01732181458599165,1.9729697542213174,2.0722109472179238,0.13990635249123706,0.2231817612291418,0.18425841285591105,0.16829262859720945
positive_control,0.5969026041820606,0.18999999999999997,-0.05000000000000002,0.0867228086178217,0.07212146560852174,0.014601343009299952,1.9835900669527324,2.0810955997817224,0.2624460292022579,0.40520759525335914,0.2934573052588255,0.338713338480937
positive_control,0.5969026041820606,0.18999999999999997,-0.04000000000000001,0.1780383052245225,0.15299700369561875,0.025041301528903742,1.9960484884790428,2.085982582309393,0.25146097757344665,0.28098919653960397,0.28045379062330766,0.2200479157591149
positive_control,0.5969026041820606,0.18999999999999997,-0.03,0.04544929974113879,0.04041157264548116,0.0050377270956576264,1.9823562088617834,2.0418677491880404,0.23048818429122936,0.3624114287757863,0.25316970252510373,0.3255814066834035
positive_control,0.5969026041820606,0.18999999999999997,-0.020000000000000018,0.017829386888989742,0.01644408358910772,0.001385303299882023,1.975004902176786,2.0220255171254067,0.4880033258165101,0.6439920414087371,0.5143837269396063,0.6233518275832125
positive_control,0.5969026041820606,0.18999999999999997,-0.010000000000000009,0.01277617903920964,0.012262005351043014,0.0005141736881666258,1.9564497400702134,1.9955287532493475,0.7606284980330753,0.8422949365421899,0.8046929316510285,0.847280356981009
