case,phi,phi_frac_pi,voltage,t_car,t_ec,glr_proxy,gll_proxy,grr_proxy,r_ar_left,r_ar_right,r_ee_left,r_ee_right
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.08000000000000002,1.5327826173520144e-07,4.894582490698094e-08,1.043324368282205e-07,2.045485225396167,2.1004948771200684,0.1339316860554674,0.133994507621493,0.08844656499173767,0.03349973483386115
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.07,1.801019182859361e-07,5.5448080105146415e-08,1.2465383818078967e-07,2.0506169659104656,2.0972018956231073,0.12926924547867846,0.12931824209814138,0.07865240422205134,0.03211647112887266
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.06,2.2644286874601485e-07,6.665835846785514e-08,1.597845102781597e-07,2.055260550856854,2.0940572978382725,0.12541713908676017,0.12545256879902442,0.0701567480144165,0.03139543074526211
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.05000000000000002,3.10639990197648e-07,8.606229516443838e-08,2.2457769503320961e-07,2.0595068788077304,2.0910167984454104,0.12228893597484908,0.1223086719191527,0.0627822817448139,0.031292098051437546
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.04000000000000001,4.814955300758324e-07,1.2183033337013015e-07,3.596651967057022e-07,2.063438064117145,2.0880372695055027,0.1198189383574552,0.11981595113501355,0.05638123390550671,0.03177904129470748
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.03,9.060498465204734e-07,1.9694931404752302e-07,7.091005324729504e-07,2.067141309961586,2.0850703137066673,0.11796252576362545,0.11791591329264098,0.050821924902572056,0.03284630868650608
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.020000000000000018,2.497603018399205e-06,4.0407246476270815e-07,2.093530553636497e-06,2.0707669931900097,2.082038191042065,0.11671350767591876,0.11654308114742565,0.04594860801646248,0.03450698363591399
impurity_candidate,0.5969026041820606,0.18999999999999997,-0.010000000000000009,2.424152299848152e-05,2.0486670856337025e-06,2.2192855912847816e-05,2.07523248863381,2.0785695661422694,0.11636917935434604,0.11535356207652103,0.04115888357644872,0.036806188790164195
impurity_candidate,0.5969026041820606,0.18999999999999997,0.0,2.2268348176396627e-05,1.286320445773855e-05,9.405143718658077e-06,2.0738601495720075,2.0758496981922923,0.1138774416504856,0.1165017150657045,0.040026697222197274,0.04066142201713127
impurity_candidate,0.5969026041820606,0.18999999999999997,0.009999999999999981,2.1861912623428766e-06,1.1283356566786795e-05,-9.097165304443918e-06,2.0793407055578625,2.074565534063745,0.11636917935434599,0.11535356207652095,0.03701937663117878,0.04077893084747121
