k,band_index,energy
-2.474004214701962,2,0.1152961262218504
-2.474004214701962,3,3.183477436654762
-2.4347343065320897,0,-3.1302053582792784
-2.4347343065320897,1,-0.11776537086559644
-2.4347343065320897,2,0.11776537086559564
-2.4347343065320897,3,3.1302053582792766
-2.3954643983622175,0,-3.0746296453233026
-2.3954643983622175,1,-0.1368729391534113
-2.3954643983622175,2,0.13687293915341134
-2.3954643983622175,3,3.0746296453233044
-2.356194490192345,0,-3.016872302382967
-2.356194490192345,1,-0.16876466192452116
-2.356194490192345,2,0.16876466192452103
-2.356194490192345,3,3.016872302382964
-2.316924582022472,0,-2.957062298390789
-2.316924582022472,1,-0.20904761673451822
-2.316924582022472,2,0.20904761673451816
-2.316924582022472,3,2.957062298390789
-2.2776546738526,0,-2.895336052877182
-2.2776546738526,1,-0.25490169347060376
-2.2776546738526,2,0.2549016934706029
-2.2776546738526,3,2.895336052877181
-2.238384765682728,0,-2.831838163954423
-2.238384765682728,1,-0.304747152176193
-2.238384765682728,2,0.30474715217619336
-2.238384765682728,3,2.831838163954423
-2.199114857512855,0,-2.7667224802009858
-2.199114857512855,1,-0.3576767004932302
-2.199114857512855,2,0.35767670049322986
-2.199114857512855,3,2.766722480200987
-2.1598449493429825,0,-2.7001536667395722
-2.1598449493429825,1,-0.4131227552205808
-2.1598449493429825,2,0.41312275522058045
-2.1598449493429825,3,2.7001536667395722
-2.1205750411731104,0,-2.632309490437576
-2.1205750411731104,1,-0.4706890350197811
-2.1205750411731104,2,0.47068903501978115
-2.1205750411731104,3,2.6323094904375726
-2.081305133003238,0,-2.563384167157458
-2.081305133003238,1,-0.5300640238734632
-2.081305133003238,2,0.5300640238734635
-2.081305133003238,3,2.563384167157458
-2.0420352248333655,0,-2.493593304250853
-2.0420352248333655,1,-0.5909727007232406
-2.0420352248333655,2,0.5909727007232414
-2.0420352248333655,3,2.4935933042508553
-2.002765316663493,0,-2.4231812844531335
-2.002765316663493,1,-0.6531454447184492
-2.002765316663493,2,0.6531454447184494
-2.002765316663493,3,2.423181284453133
-1.9634954084936207,0,-2.3524324621406705
-1.9634954084936207,1,-0.7162931977154567
