kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13
impurity,0.18,0.5654866776461628,2.125,0.006417484017030106,2.8865111301389413e-05,1,1.3548073493040175e-06,2.0783720830565082,8.77560264215611e-09,2.1153293131192807,2.0184105594668558
impurity,0.18,0.5654866776461628,2.15,0.0033296656236424258,2.8755156996315347e-05,-1,5.386591414208065e-06,2.0793382410806323,2.5020110451416465e-09,2.1153327217010456,2.0184148754880935
impurity,0.18,0.5654866776461628,2.175,0.0002836836830232031,2.867101850682591e-05,-1,6.422962079569551e-05,2.0760938642543523,-3.548811955756313e-09,2.1153360681956097,2.018419288699608
impurity,0.18,0.5654866776461628,2.2,0.0027209247670163285,2.8611418132505895e-05,-1,9.419149014611542e-06,2.073472829043899,-9.416370867893452e-09,2.1153393646091834,2.0184238042887146
impurity,0.18,0.5654866776461628,2.225,0.005684627994218358,2.857519238199052e-05,1,2.607925640984181e-06,2.0752450783419074,-1.513626447758853e-08,2.1153426220125544,2.0184284277545124
impurity,0.18,0.5654866776461628,2.25,0.008607898761125905,2.8561280693000276e-05,1,1.2502512191682333e-06,2.0758421094552366,-2.0740908220503916e-08,2.1153458506982217,2.018433164933567
impurity,0.19,0.5969026041820606,2.05,0.018255922752645853,3.704433311780097e-05,1,6.459210485747666e-07,2.0771111996101084,9.16088346668168e-08,2.120994453595647,2.007749480738457
impurity,0.19,0.5969026041820606,2.0749999999999997,0.015160143921646038,3.677439662091616e-05,1,9.77208307425302e-07,2.07725232460519,8.208289823373061e-08,2.1209982951534356,2.0077541371653465
impurity,0.19,0.5969026041820606,2.0999999999999996,0.01210616733792958,3.654241453489732e-05,1,1.5914007909843834e-06,2.077458910704751,7.31553301877358e-08,2.1210020403797705,2.007758825241289
impurity,0.19,0.5969026041820606,2.125,0.009093551945687083,3.634620551691247e-05,1,2.911896508915771e-06,2.0777891823754175,6.474809691656789e-08,2.1210057046625086,2.0077635522166406
impurity,0.19,0.5969026041820606,2.15,0.00612184947605666,3.618378730573966e-05,1,6.554496850027748e-06,2.0783951078934617,5.679342610071249e-08,2.1210093018724754,2.00776832508366
impurity,0.19,0.5969026041820606,2.175,0.0031906053907617728,3.605335617961888e-05,-1,2.325261602844771e-05,2.0797727671235067,4.923204668168254e-08,2.1210128446055614,2.0077731506529597
impurity,0.19,0.5969026041820606,2.2,0.0002993597649559318,3.5953268803099245e-05,-1,0.00023366777703106225,2.075741572919518,4.201175725585264e-08,2.1210163443856627,2.0077780356202806
impurity,0.19,0.5969026041820606,2.225,0.00255235188713847,3.5882026153111435e-05,-1,3.600605172268278e-05,2.0713319321185506,3.508625261067768e-08,2.1210198118361436,2.0077829866257617
impurity,0.19,0.5969026041820606,2.25,0.0053649978404857555,3.5838259258443494e-05,1,9.405143718658077e-06,2.0738601495720075,2.841415443113929e-08,2.1210232568258873,2.0077880103074426
impurity,0.2,0.6283185307179586,2.05,0.0204822519824046,4.602079808527681e-05,1,1.1664926180259104e-06,2.076601765803285,1.9457134592122653e-07,2.1276583593272167,1.9950185539578549
impurity,0.2,0.6283185307179586,2.0749999999999997,0.017506223712854534,4.5668050481137815e-05,1,1.6282152200843015e-06,2.0767509660872254,1.8077438212797925e-07,2.127662461704848,1.995023652264558
impurity,0.2,0.6283185307179586,2.0999999999999996,0.01457059178603257,4.5361279477494426e-05,1,2.392089282628033e-06,2.0769557063052813,1.679581676170835e-07,2.1276664732551476,1.9950287084528027
impurity,0.2,0.6283185307179586,2.125,0.011674916514261979,4.5097801819337575e-05,1,3.782935000231427e-06,2.0772536847780176,1.560062454078332e-07,2.127670409067903,1.9950337341109887
impurity,0.2,0.6283185307179586,2.15,0.00881875187991898,4.4875175098275045e-05,1,6.705334318705009e-06,2.077725800998056,1.448178553355663e-07,2.127674282749112,1.9950387398947662
impurity,0.2,0.6283185307179586,2.175,0.006001646433357386,4.469117304025183e-05,1,1.4494034153330645e-05,2.0785784832111647,1.3430533067800428e-07,2.1276781066522945,1.9950437356848212
impurity,0.2,0.6283185307179586,2.2,0.0032231441314817012,4.454376365210093e-05,-1,4.776767636806532e-05,2.080460071438628,1.2439197977227292e-07,2.1276818920724945,1.9950487307201858
impurity,0.2,0.6283185307179586,2.225,0.0004827851204887554,4.4431089858098415e-05,-1,0.0004278528253485991,2.077770248073961,1.1501035071131394e-07,2.127685649410155,1.9950537337118748
impurity,0.2,0.6283185307179586,2.25,0.002219893533872199,4.435145230986881e-05,-1,9.179252995843512e-05,2.067785401967958,1.0610080065888577e-07,2.127689388310562,1.995058752940652
impurity,0.21,0.6597344572538565,2.05,0.022596093766673445,5.571240129934476e-05,1,1.581803353802415e-06,2.076046528444563,3.4931644328196797e-07,2.1355056722176804,1.9797329741425729
impurity,0.21,0.6597344572538565,2.0749999999999997,0.019738781621061935,5.527733715826035e-05,1,2.1006005537331744e-06,2.0762095893584442,3.2741577079431453e-07,2.1355104902718196,1.979738161464583
impurity,0.21,0.6597344572538565,2.0999999999999996,0.01692044648750726,5.489568249067752e-05,1,2.8933315536894402e-06,2.076422776798057,3.071671789592617e-07,2.1355151948268163,1.9797432124298033
impurity,0.21,0.6597344572538565,2.125,0.014140650831595013,5.4564311805910276e-05,1,4.187192706214875e-06,2.0767132075587127,2.883831104301444e-07,2.1355198031261096,1.9797481445937983
