kind,phi_frac_pi,phi,strength,min_abs_energy,edge_weight,nu_ring,glr_zero_bias,gll_zero_bias,glr_probe_0p13,gll_probe_0p13,grr_probe_0p13,abs_glr_probe_0p13,nonlocal_local_ratio,score
dot,0.2,0.6283185307179586,1.7,0.009246842360591152,0.75374828334611,1,-1.7234107794686918e-07,2.0326106175893632,-4.630030213596239e-08,2.0493757246503526,1.9948104071924275,4.630030213596239e-08,2.2592393175664146e-08,0.009246855065286344
dot,0.17,0.5340707511102649,1.75,0.009380735308297163,0.7755061383434223,1,-2.2788593145068576e-07,2.0331977081060097,1.021501592538147e-08,2.0436189547549533,2.0270863044044845,1.021501592538147e-08,4.998493433237085e-09,0.009380738111975815
dot,0.16,0.5026548245743669,1.75,0.00991289073704271,0.7875326830592937,1,-1.7840508326596006e-07,2.035080554567096,6.37823853216117e-09,2.0423645449263685,2.034664134477518,6.37823853216117e-09,3.122967713088223e-09,0.00991289248775073
dot,0.19,0.5969026041820606,1.7,0.009939126973095461,0.7672954102413199,1,-1.840630274861286e-07,2.034862768943048,-7.489789358012688e-09,2.048176597314299,2.0074789247054157,7.489789358012688e-09,3.6568083864612953e-09,0.00993912902838322
dot,0.18,0.5654866776461628,1.7,0.010639196761046642,0.780243252336645,1,-1.9696183286535132e-07,2.0368898359078473,8.225329295045708e-09,2.0469330944452193,2.0181199640322434,8.225329295045708e-09,4.0183674382747815e-09,0.010639199018297338
dot,0.17,0.5340707511102649,1.7,0.011348218070618964,0.7925466242165763,1,-1.8177982553260212e-07,2.0386680996389748,1.105684124403573e-08,2.0456530411493374,2.027086345536715,1.105684124403573e-08,5.405042312465418e-09,0.01134822110508139
dot,0.16,0.5026548245743669,1.7,0.01206851066795407,0.8041661485155359,1,-1.450390510772028e-07,2.040165539018535,8.688032609165335e-09,2.0443448836101803,2.034664142662498,8.688032609165335e-09,4.249788124703711e-09,0.012068513052451628
impurity,0.22,0.6911503837897545,2.25,0.0036865907319082515,6.273176558056694e-05,1,8.095890098445403e-05,2.082322264617032,3.4248780649497273e-07,2.1448098343321997,1.9613376236329343,3.4248780649497273e-07,1.5968213172689433e-07,0.0036866843379664616
impurity,0.19,0.5969026041820606,2.25,0.0053649978404857555,3.5838259258443494e-05,1,9.405143718658077e-06,2.0738601495720075,2.841415443113929e-08,2.1210232568258873,2.0077880103074426,2.841415443113929e-08,1.3396436997895576e-08,0.005365005613846213
impurity,0.18,0.5654866776461628,2.225,0.005684627994218358,2.857519238199052e-05,1,2.607925640984181e-06,2.0752450783419074,-1.513626447758853e-08,2.1153426220125544,2.0184284277545124,1.513626447758853e-08,7.155467071895788e-09,0.005684632136057831
impurity,0.2,0.6283185307179586,2.175,0.006001646433357386,4.469117304025183e-05,1,1.4494034153330645e-05,2.0785784832111647,1.3430533067800428e-07,2.1276781066522945,1.9950437356848212,1.3430533067800428e-07,6.312295560972864e-08,0.006001683165837836
impurity,0.21,0.6597344572538565,2.2,0.006028048796447321,5.3844599389371607e-05,1,2.3297255141589978e-05,2.0789321975874993,2.392993550723066e-07,2.1355331983160006,1.9797623788321306,2.392993550723066e-07,1.120560220094021e-07,0.006028114224087189
impurity,0.19,0.5969026041820606,2.15,0.00612184947605666,3.618378730573966e-05,1,6.554496850027748e-06,2.0783951078934617,5.679342610071249e-08,2.1210093018724754,2.00776832508366,5.679342610071249e-08,2.6776603973671382e-08,0.006121865013243384
impurity,0.22,0.6911503837897545,2.225,0.006173068924289865,6.288869124673334e-05,1,2.9837652120372743e-05,2.0794110424394376,3.644631799520117e-07,2.1448041350595415,1.9613342766584336,3.644631799520117e-07,1.6992842096599833e-07,0.006173168536505901
impurity,0.22999999999999998,0.7225663103256523,2.25,0.006410046042367696,7.134981358413532e-05,1,3.151935343799863e-05,2.079899995566698,5.05335475294872e-07,2.155754331343888,1.9390360207413981,5.05335475294872e-07,2.3441236691374198e-07,0.0064101840968548655
impurity,0.18,0.5654866776461628,2.125,0.006417484017030106,2.8865111301389413e-05,1,1.3548073493040175e-06,2.0783720830565082,8.77560264215611e-09,2.1153293131192807,2.0184105594668558,8.77560264215611e-09,4.1485751593048834e-09,0.006417486418359525
impurity,0.17,0.5340707511102649,2.0999999999999996,0.006917588188873693,2.294197882008941e-05,1,-1.0015502884736862e-06,2.0784655190322043,-1.4404139789425154e-08,2.110470765468215,2.027349644932287,1.4404139789425154e-08,6.825083779935491e-09,0.00691759213116283
impurity,0.16,0.5026548245743669,2.0749999999999997,0.007650675590067054,1.8354375979463076e-05,1,-1.4864245109432322e-06,2.07862128876261,-2.0812538944366755e-08,2.106293659163443,2.03488866039793,2.0812538944366755e-08,9.881119308232107e-09,0.007650681287257756
impurity,0.18,0.5654866776461628,2.25,0.008607898761125905,2.8561280693000276e-05,1,1.2502512191682333e-06,2.0758421094552366,-2.0740908220503916e-08,2.1153458506982217,2.018433164933567,2.0740908220503916e-08,9.804972654309872e-09,0.008607904436601593
impurity,0.22,0.6911503837897545,2.2,0.008694439936175616,6.308801563328695e-05,1,1.5064828293950884e-05,2.0779488377224515,3.8788683941319774e-07,2.144798345562119,1.9613308019619515,3.8788683941319774e-07,1.808500273304428e-07,0.008694545950386835
impurity,0.21,0.6597344572538565,2.175,0.008694901454989743,5.4041264014469974e-05,1,1.1234757497586166e-05,2.0777841457540833,2.545811504684664e-07,2.1355287914806915,1.979757714158147,2.545811504684664e-07,1.1921223047147485e-07,0.008694971060888883
impurity,0.22999999999999998,0.7225663103256523,2.225,0.008791033473579742,7.155422780694941e-05,1,1.6682190495677298e-05,2.07814706925098,5.40929882350586e-07,2.155745653941306,1.9390349729598932,5.40929882350586e-07,2.5092472359232866e-07,0.00879118125228651
impurity,0.2,0.6283185307179586,2.15,0.00881875187991898,4.4875175098275045e-05,1,6.705334318705009e-06,2.077725800998056,1.448178553355663e-07,2.127674282749112,1.9950387398947662,1.448178553355663e-07,6.806392148917218e-08,0.008818791487578886
impurity,0.17,0.5340707511102649,2.225,0.008888622110759182,2.269833803920194e-05,1,-1.8206879780168335e-07,2.0766472903613553,-4.015296018890104e-08,2.110486499276083,2.0273690397415662,4.015296018890104e-08,1.9025452284425364e-08,0.008888633100271843
impurity,0.16,0.5026548245743669,2.2,0.008949208382867986,1.8162526810376254e-05,1,-7.281992986664983e-07,2.077234817743895,-4.29389384142169e-08,2.106308477383607,2.034904408369875,4.29389384142169e-08,2.0385873615033992e-08,0.00894922013689627
impurity,0.24,0.7539822368615503,2.25,0.008959939129280552,8.025546950600394e-05,1,1.5532816352736027e-05,2.0782340704145783,7.174296265490245e-07,2.168670167021421,1.9120060205311094,7.174296265490245e-07,3.308154635309917e-07,0.008960135027460365
impurity,0.19,0.5969026041820606,2.125,0.009093551945687083,3.634620551691247e-05,1,2.911896508915771e-06,2.0777891823754175,6.474809691656789e-08,2.1210057046625086,2.0077635522166406,6.474809691656789e-08,3.052707344173339e-08,0.009093569659064984
impurity,0.18,0.5654866776461628,2.0999999999999996,0.009547595653989329,2.9002286045118016e-05,1,5.29586372943965e-07,2.0779518318093047,1.53162411767649e-08,2.1153258293244526,2.0184063357368505,1.53162411767649e-08,7.240606134732574e-09,0.00954759984507993
impurity,0.17,0.5340707511102649,2.0749999999999997,0.010209280939047419,2.3054941304454748e-05,1,-5.3712909134964e-07,2.0781738550113014,-8.830016118075373e-09,2.1104673947701476,2.0273461329760996,8.830016118075373e-09,4.183914965924908e-09,0.010209283355747197
impurity,0.16,0.5026548245743669,2.05,0.011106373211243196,1.8446844670201007e-05,1,-7.631313887135015e-07,2.0784147192620974,-1.6085431649411548e-08,2.1062904404810365,2.0348859095295433,1.6085431649411548e-08,7.636853560299093e-09,0.011106377614443785
impurity,0.22999999999999998,0.7225663103256523,2.2,0.011205529048865572,7.180415634535412e-05,1,1.0166819048118967e-05,2.077077227961636,5.789622563607623e-07,2.1557367357863013,1.9390337294583109,5.789622563607623e-07,2.685681636118646e-07,0.011205687217837842
impurity,0.24,0.7539822368615503,2.225,0.01123758003391322,8.055332799746709e-05,1,9.694069750153836e-06,2.0769832692083963,7.723591532543682e-07,2.168655630753415,1.9120088121509176,7.723591532543682e-07,3.5614651874721206e-07,0.01123779093102747
