model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,total,valley_even,2.0,0.2,1.7355741317101097,1.7355741317101097,0.4217451785350604,1.3138289531750493,0.7355741317101093,0.0
baseline,K_B,valley_even,0.0,0.5,6.967340216343044,6.967340216343044,1.0154143973523304,5.951925818990714,5.967340216343042,0.0
baseline,K_T,valley_even,0.0,0.5,3.987581261416895,3.987581261416895,1.024089340235843,2.9634919211810518,2.987581261416894,0.0
baseline,total,valley_even,0.0,0.5,3.579232704251179,3.579232704251179,1.0145998270285967,2.564632877222582,2.57923270425118,0.0
baseline,K_B,valley_even,0.5,0.5,5.773872173074434,5.773872173074434,0.8836547684751199,4.890217404599314,4.773872173074434,0.0
baseline,K_T,valley_even,0.5,0.5,3.390065009133516,3.390065009133516,0.87256275272097,2.517502256412546,2.3900650091335156,0.0
baseline,total,valley_even,0.5,0.5,3.0633861634009434,3.0633861634009434,0.8670310537176256,2.196355109683318,2.063386163400944,0.0
baseline,K_B,valley_even,1.0,0.5,3.983670108171521,3.983670108171521,0.6860153251593044,3.2976547830122165,2.983670108171521,0.0
baseline,K_T,valley_even,1.0,0.5,2.493790630708447,2.493790630708447,0.6452728714486605,1.8485177592597863,1.493790630708447,0.0
baseline,total,valley_even,1.0,0.5,2.2896163521255897,2.2896163521255897,0.6456778937511688,1.643938458374421,1.28961635212559,0.0
baseline,K_B,valley_even,2.0,0.5,2.1934680432686084,2.1934680432686084,0.48837588184348873,1.7050921614251198,1.1934680432686084,0.0
baseline,K_T,valley_even,2.0,0.5,1.597516252283379,1.597516252283379,0.4179829901763509,1.1795332621070282,0.5975162522833789,0.0
baseline,total,valley_even,2.0,0.5,1.5158465408502357,1.5158465408502357,0.42432473378471186,1.091521807065524,0.515846540850236,0.0
baseline,K_B,valley_odd,0.0,0.05,8.429686992272726,8.429686992272726,1.0144425102711587,7.415244482001568,7.429686992272728,0.0
baseline,K_T,valley_odd,0.0,0.05,5.673129993199836,5.673129993199836,1.0238566362809063,4.649273356918929,4.6731299931998365,0.0
baseline,total,valley_odd,0.0,0.05,5.823527841715456,5.823527841715456,1.0138838008608135,4.809644040854643,4.823527841715456,0.0
baseline,K_B,valley_odd,0.5,0.05,6.943749593818182,6.943749593818182,0.8818918992017497,6.061857694616432,5.943749593818182,0.0
baseline,K_T,valley_odd,0.5,0.05,4.738503994559868,4.738503994559868,0.8715577439555091,3.866946250604359,3.738503994559869,0.0
baseline,total,valley_odd,0.5,0.05,4.858822273372365,4.858822273372365,0.8655208922888104,3.9933013810835543,3.8588222733723647,0.0
baseline,K_B,valley_odd,1.0,0.05,4.714843496136364,4.714843496136364,0.6830659825976362,4.031777513538728,3.714843496136364,0.0
baseline,K_T,valley_odd,1.0,0.05,3.336564996599918,3.336564996599918,0.6431094054674128,2.693455591132505,2.3365649965999182,0.0
baseline,total,valley_odd,1.0,0.05,3.411763920857728,3.411763920857728,0.6429765294308055,2.7687873914269225,2.411763920857728,0.0
baseline,K_B,valley_odd,2.0,0.05,2.4859373984545456,2.4859373984545456,0.48424006599352276,2.0016973324610228,1.4859373984545454,0.0
baseline,K_T,valley_odd,2.0,0.05,1.9346259986399674,1.9346259986399674,0.4146610669793166,1.5199649316606507,0.9346259986399672,0.0
baseline,total,valley_odd,2.0,0.05,1.9647055683430914,1.9647055683430914,0.42043216657280064,1.5442734017702908,0.9647055683430912,0.0
baseline,K_B,valley_odd,0.0,0.2,8.024846885900699,8.024846885900699,1.0144200897237607,7.010426796176938,7.024846885900699,0.0
baseline,K_T,valley_odd,0.0,0.2,5.079936397417743,5.079936397417743,1.0238237977718818,4.056112599645862,4.079936397417745,0.0
baseline,total,valley_odd,0.0,0.2,4.651446954555674,4.651446954555674,1.013864644399827,3.637582310155847,3.6514469545556736,0.0
baseline,K_B,valley_odd,0.5,0.2,6.61987750872056,6.61987750872056,0.8819906397736211,5.737886868946939,5.61987750872056,0.0
baseline,K_T,valley_odd,0.5,0.2,4.263949117934196,4.263949117934196,0.8716429001602712,3.3923062177739247,3.263949117934195,0.0
baseline,total,valley_odd,0.5,0.2,3.921157563644539,3.921157563644539,0.8656232376064452,3.055534326038094,2.9211575636445386,0.0
baseline,K_B,valley_odd,1.0,0.2,4.51242344295035,4.51242344295035,0.683346464848411,3.829076978101939,3.5124234429503494,0.0
baseline,K_T,valley_odd,1.0,0.2,3.0399681987088725,3.0399681987088725,0.6433715537428556,2.3965966449660168,2.0399681987088725,0.0
