pairing,barrier_Z,eta_meV,baseline_zero_bias_conductance,baseline_peak_minus_background,compressed_v3_zero_bias_conductance,compressed_v3_peak_minus_background,delta_zero_bias_conductance,delta_peak_minus_background
valley_even,2.0,0.2,1.7355741317101097,1.3138289531750493,1.4897231589359747,1.3665654189145406,-0.24585097277413492,0.05273646573949131
valley_even,0.0,0.5,3.579232704251179,2.564632877222582,2.4770451558070783,1.4693149991298418,-1.1021875484441006,-1.0953178780927404
valley_even,0.5,0.5,3.0633861634009434,2.196355109683318,2.1816361246456624,1.394587205331813,-0.881750038755281,-0.8017679043515051
valley_even,1.0,0.5,2.2896163521255897,1.643938458374421,1.738522577903539,1.2824955146347703,-0.5510937742220507,-0.3614429437396507
valley_even,2.0,0.5,1.5158465408502357,1.091521807065524,1.2954090311614157,1.170403823937728,-0.22043750968882003,0.07888201687220397
valley_odd,0.0,0.05,5.823527841715456,4.809644040854643,4.573122132923386,3.565515874485418,-1.2504057087920701,-1.244128166369225
valley_odd,0.5,0.05,4.858822273372365,3.9933013810835543,3.8584977063387083,3.0721308765395383,-1.0003245670336565,-0.921170504544016
valley_odd,1.0,0.05,3.411763920857728,2.7687873914269225,2.7865610664616924,2.3320533796207186,-0.6252028543960355,-0.43673401180620397
valley_odd,2.0,0.05,1.9647055683430914,1.5442734017702908,1.7146244265846768,1.5919758827018993,-0.25008114175841456,0.04770248093160845
valley_odd,0.0,0.2,4.651446954555674,3.637582310155847,3.4495053416528436,2.441906997145339,-1.20194161290283,-1.1956753130105078
valley_odd,0.5,0.2,3.921157563644539,3.055534326038094,2.9596042733222747,2.173160135418774,-0.9615532903222643,-0.8823741906193199
valley_odd,1.0,0.2,2.8257234772778372,2.1824623498614653,2.2247526708264216,1.7700398428289277,-0.6009708064514157,-0.4124225070325376
valley_odd,2.0,0.2,1.730289390911135,1.3093903736848362,1.4899010683305687,1.366919550239081,-0.2403883225805663,0.05752917655424472
valley_odd,0.0,0.5,3.545837982551625,2.532079490301199,2.4778200496762945,1.4702655981012602,-1.0680179328753305,-1.061813892199939
valley_odd,0.5,0.5,3.036670386041301,2.1704792788310314,2.1822560397410355,1.395382677942828,-0.8544143463002656,-0.7750966008882034
valley_odd,1.0,0.5,2.2729189912758128,1.6280789616257776,1.7389100248381473,1.2830582977051797,-0.5340089664376655,-0.34502066392059794
valley_odd,2.0,0.5,1.509167596510325,1.0856786444205246,1.2955640099352588,1.1707339174675313,-0.21360358657506628,0.08505527304700666
