model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_B,s_wave,0.0,0.05,7.5,1.06630575628093,0.06630575628092995,0.0
baseline,K_B,s_wave,0.0,0.05,8.333333333333343,1.0429089178904667,0.042908917890467094,0.0
baseline,K_B,s_wave,0.0,0.05,9.166666666666671,1.0272333008119057,0.027233300811905566,0.0
baseline,K_B,s_wave,0.0,0.05,10.0,1.0159278451854181,0.015927845185417948,0.0
baseline,K_B,s_wave,0.0,0.05,10.833333333333345,1.0090050046898082,0.009005004689808357,0.0
baseline,K_B,s_wave,0.0,0.05,11.666666666666671,1.0060433835813944,0.006043383581394439,0.0
baseline,K_B,s_wave,0.0,0.05,12.5,1.0045241973834205,0.004524197383420511,0.0
baseline,K_B,s_wave,0.0,0.05,13.333333333333345,1.003531117362475,0.003531117362475038,0.0
baseline,K_B,s_wave,0.0,0.05,14.166666666666671,1.0028200114234735,0.002820011423473558,0.0
baseline,K_B,s_wave,0.0,0.05,15.0,1.0022891871812811,0.0022891871812809033,0.0
baseline,K_B,s_wave,0.0,0.05,15.833333333333345,1.001882722282311,0.0018827222823110967,0.0
baseline,K_B,s_wave,0.0,0.05,16.66666666666667,1.0015656364069512,0.0015656364069511386,0.0
baseline,K_B,s_wave,0.0,0.05,17.5,1.0013145470896716,0.0013145470896715062,0.0
baseline,K_B,s_wave,0.0,0.05,18.333333333333343,1.0011131843033887,0.0011131843033889567,0.0
baseline,K_B,s_wave,0.0,0.05,19.16666666666667,1.0009499074312573,0.0009499074312574392,0.0
baseline,K_B,s_wave,0.0,0.05,20.0,1.0008162087402355,0.000816208740235501,0.0
baseline,K_T,s_wave,0.0,0.05,-80.0,1.0000128935654686,1.2893565468558901e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-79.16666666666667,1.000014067402464,1.4067402464000526e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-78.33333333333333,1.0000154103445538,1.5410344553634467e-05,0.0
baseline,K_T,s_wave,0.0,0.05,-77.5,1.0000169591609043,1.6959160904339536e-05,0.0
