method,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,seed,dataset_name,dataset_version,condition_family,condition_level,training_regime,object_family,aberration_id,better_than_fixed,condition
phase_only_stack,natural_object_eval_object_00,17.750234647757154,18.94005902162341,18.825245045294203,1.0750103975370493,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_01,19.29994897478912,21.5463170827702,18.99338250237079,-0.3065664724183286,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_02,16.622471973112788,17.53427552208179,18.45178057601901,1.829308602906224,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_03,20.696032609119307,24.39836221030438,19.694084728712088,-1.0019478804072186,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_04,19.76316827026758,21.93240937845346,20.953472417343026,1.1903041470754443,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_05,19.87212671663732,21.21256269770685,21.218212694356943,1.3460859777196248,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_06,19.65704810311735,21.072107117468097,22.18370921625327,2.526661113135919,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_07,25.92318706892768,28.075364195054085,23.327682114723093,-2.595504954204589,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_08,18.51438484054861,19.86452239350824,19.69499387112003,1.1806090305714214,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_09,20.59954986294597,21.869682092006435,21.546903028683943,0.9473531657379723,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_10,16.76661491870148,17.75994326500934,19.35655113975437,2.589936221052888,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_11,21.898885206297475,24.152248065562382,22.17681277888214,0.2779275725846659,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_00,16.15346213451125,16.61744566255198,17.06930969025836,0.91584755574711,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_01,18.64806666618471,21.835291917010554,18.530129072045344,-0.1179375941393665,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_02,14.99213140498757,16.073611115520897,16.506720156878266,1.514588751890697,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_03,19.95005748643167,23.819512327176653,18.92077787184308,-1.0292796145885923,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_04,17.02112070435518,19.13373825555621,18.59253288559223,1.5714121812370507,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_05,18.877109632413845,20.991816626785656,20.75189321035641,1.8747835779425657,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_06,19.001095809722333,20.264718741418804,22.04358734742197,3.042491537699636,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,True,reference_channel_misregistration:0.0
phase_only_stack,natural_object_eval_object_07,23.875982204289585,28.345321254817843,22.6483452266881,-1.2276369776014846,0,ImageNet-1k,ILSVRC2012 validation,reference_channel_misregistration,0.0,mixed_train_tolerance,,,False,reference_channel_misregistration:0.0
