aberration_id,sample_id,psnr_fixed,psnr_guided,psnr_method,psnr_gain,psnr_gap_to_guided,dataset_name,dataset_version,training_regime,seed,method,object_family,better_than_fixed
0,UCID:12,21.6053857229446,22.956278635120057,24.59402884611581,2.988643123171212,-1.6377502109957511,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:2,17.04900720816539,18.237850755016492,19.89445446564167,2.8454472574762804,-1.6566037106251734,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:3,22.555230355295805,23.88402857957125,22.00427157119044,-0.5509587841053651,1.8797570083808104,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,UCID:4,20.784527458079232,22.052680406508568,23.505940043407044,2.721412585327812,-1.4532596368984765,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:5,22.02228048425292,23.314287575292436,23.34324626844864,1.320965784195721,-0.0289586931562055,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:6,19.416858236403883,20.63945501794885,21.696553189988222,2.27969495358434,-1.0570981720393675,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:7,21.85942181597248,23.22030100881264,21.79572063280481,-0.063701183167673,1.4245803760078282,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
0,UCID:8,20.506258361921866,21.786380797488665,21.92924720496724,1.422988843045374,-0.142866407478575,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
0,UCID:9,21.201172243951927,22.786664131540988,22.095590548783477,0.8944183048315466,0.6910735827575145,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:1,20.77875263384632,23.170448869849118,22.4065880715157,1.627835437669379,0.7638607983334147,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:10,19.870460726017328,22.39129525491917,22.317039005441146,2.446578279423818,0.0742562494780258,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:11,26.24855188162631,28.238283544011328,25.44235856218968,-0.8061933194366304,2.795924981821649,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,UCID:12,21.80039957955428,23.506927628655507,24.70609800731994,2.9056984277656603,-1.1991703786644337,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:2,17.725714203707867,20.29370280981968,20.409406541545696,2.683692337837829,-0.1157037317260147,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:3,22.573730769841323,24.977223755433307,21.714128887312665,-0.8596018825286578,3.263094868120642,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,UCID:4,21.53771732022349,24.07961767568749,23.77658392644745,2.2388666062239686,0.3030337492400399,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:5,22.38663225072245,24.779569187872035,23.574945211793374,1.188312961070924,1.2046239760786612,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:6,19.751501344218383,21.84258771185762,21.99967441213806,2.248173067919673,-0.1570867002804377,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:7,22.290948498233305,24.55529289011656,22.08548511600424,-0.2054633822290696,2.469807774112322,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
1,UCID:8,20.853414752419177,23.100656263234136,21.850913210941016,0.9974984585218394,1.2497430522931197,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
1,UCID:9,21.05604812612576,23.48286635640996,21.800646150223905,0.7445980240981456,1.6822202061860525,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:1,21.255575925801864,23.51848702198,22.47563445179475,1.2200585259928864,1.0428525701852465,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:10,19.95845630442412,21.64340982373828,22.412383862081278,2.4539275576571526,-0.7689740383429928,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:11,26.015593636276808,27.421450588490547,25.19889068147009,-0.8167029548067184,2.2225599070204574,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
2,UCID:12,21.95315781792861,23.95816315042182,24.343705308871364,2.390547490942758,-0.3855421584495424,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:2,17.821490970774683,19.606215470586086,20.522114662196795,2.7006236914221127,-0.9158991916107092,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:3,23.15267961124612,24.7299444978916,22.45890431480213,-0.6937752964439916,2.2710401830894758,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,False
2,UCID:4,21.45912880473277,23.49581383853933,24.229674923342664,2.7705461186098894,-0.7338610848033298,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:5,22.32448369966609,23.986990032218756,23.171379177195767,0.846895477529678,0.8156108550229852,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
2,UCID:6,20.28557171605433,22.71804549583297,22.713580696549947,2.428008980495612,0.0044647992830277,UCID,1338 public citation subset,mixed_synthetic_plus_public_natural,,phase_only_stack,,True
