candidate,eta,alpha,phi,barrier_Z,zero_bias_conductance,peak_conductance,peak_bias,background_conductance,peak_minus_background,subgap_average,zero_bias_andreev,zero_bias_normal,mean_frustration,pos_peak_bias,neg_peak_bias,pos_peak_contrast,neg_peak_contrast,peak_split,peak_asymmetry
s_wave,0.0,0.0,0.7853981633974483,0.0,1.9664907996175507,1.9664907996175507,0.0,1.1130220515018538,0.8534687481156968,1.8342241847950729,0.9664907996175506,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8532615202814902,0.8532615202814902,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.7853981633974483,0.5,1.752608786900122,1.752608786900122,0.0,0.9068773903884108,0.8457313965117111,1.6215412482692206,0.7731926396940403,0.015463852793018151,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8455260473100165,0.8455260473100165,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.7853981633974483,1.0,1.424585767822094,1.424585767822094,0.0,0.5904603987166045,0.8341253691054894,1.2953168434786533,0.4832453998087753,0.038659631982545385,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8339228378525626,0.8339228378525626,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.7853981633974483,2.0,1.1109627487470461,1.1109627487470461,0.0,0.28844340704805593,0.8225193416989902,0.9834924386911343,0.19329815992351007,0.06185541117207262,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8223196283948315,0.8223196283948315,0.0031999999999999806,0.0
s_wave,0.0,0.0,0.7853981633974483,3.0,1.0141017423903766,1.0141017423903766,0.0,0.19545107649361657,0.81865066589676,0.8872309704303295,0.09664907996175504,0.06958733756858168,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8184518919088575,0.8184518919088575,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.1780972450961724,0.0,1.9653330516140417,1.9653330516140417,0.0,1.1095533387948395,0.8557797128192022,1.8297144371587926,0.9653330516140415,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8555655842373686,0.8555655842373686,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.1780972450961724,0.5,1.7517011124653605,1.7517011124653605,0.0,0.9034672578604485,0.8482338546049121,1.6172782433891972,0.7722664412912332,0.015445328824963042,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8480216139468061,0.8480216139468061,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.1780972450961724,1.0,1.4240532037404625,1.4240532037404625,0.0,0.58713813645722,0.8369150672832425,1.291423952733023,0.48266652580702074,0.03861332206240761,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8367056585107283,0.8367056585107283,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.1780972450961724,2.0,1.1108052950185554,1.1108052950185554,0.0,0.28520901505724966,0.8255962799613057,0.9799696620799035,0.1930666103228083,0.06178131529985218,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8253897030743833,0.8253897030743833,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.1780972450961724,3.0,1.0140693254462685,1.0140693254462685,0.0,0.19224597459233653,0.821823350853932,0.8838315651972338,0.09653330516140415,0.0695039797123337,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8216177179288734,0.8216177179288734,0.0031999999999999806,0.0
s_wave,0.0,0.0,1.5707963267948966,0.0,1.9648292543727404,1.9648292543727404,0.0,1.1081084226174878,0.8567208317552526,1.8277710964189444,0.9648292543727404,0.0,4.132233444309464e-11,0.0015999999999999903,-0.0015999999999999903,0.8565037058157925,0.8565037058157925,0.0031999999999999806,0.0
