c1_pattern,c2_pattern,c7_first_pattern,c7_second_pattern,c7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
anti,anti,const,anti,True,9.135456777301906,7.879150699664002,14.985634512228117,1.754215839700319,15.484062804092257,15.823075288636337
anti,anti,anti,cyc,False,9.144744037855517,0.03767935374877851,15.047618886781079,3.249472690150823,14.928669557024174,15.839161295778325
anti,cyc,cyc,const,True,9.153021401568964,7.977867841615399,16.565767976005606,3.4545541037655125,15.236026033087736,15.853498110282741
anti,const,cyc,cyc,True,9.161139773315607,1.6513878733534426,15.025086934748613,5.400065260726096,15.04948982343253,15.86755954262266
cyc,cyc,const,anti,True,9.166759247270859,7.982884683330369,14.940356916418708,5.44154464180808,15.016163513528001,15.877292757024964
cyc,anti,const,cyc,False,9.173257906125604,7.794231803848476,15.68474875034144,8.707648750706412,14.9756247506254,15.888548764342444
anti,anti,anti,cyc,True,9.179691324040032,0.029216461987804365,15.01228002573714,3.968525933562447,14.934194254667608,15.899691771036554
cyc,const,anti,anti,False,9.196915946914505,1.6472754108725596,14.959740443944964,6.3913735825479305,14.95699010090001,15.929525692996355
anti,const,cyc,anti,False,9.214518908290982,1.5872105210089487,15.097147848658118,2.4049325065466456,15.299680764198445,15.960014916464088
anti,const,const,const,False,9.21538820361443,15.26712249584267,15.297440899282607,4.896895773298937,14.925155689939595,15.961520580131076
cyc,const,const,cyc,True,9.217471271905417,3.7576842267524455,15.838772614391619,8.257088884618565,14.97472977821446,15.965128560246702
cyc,cyc,const,cyc,True,9.220230301249487,7.894665977280198,15.371496547922282,8.1275413508413,14.948204062733968,15.969907339250208
anti,const,const,const,True,9.229934223106037,15.079012916103807,15.42692467443924,4.984705682200017,14.913651084103197,15.98671502493843
anti,anti,const,cyc,False,9.258452550514845,7.792986838826501,15.13737344234451,4.529123800515885,14.949095797667875,16.03611021695737
anti,cyc,cyc,anti,True,9.267831500096467,0.09242031368292913,15.11188158228234,0.556043686868644,15.36113415330032,16.052355034154363
cyc,const,anti,anti,True,9.273364774465266,1.651528163776284,14.959275609396515,7.176764690102902,14.938898382388642,16.061938946493346
cyc,const,const,cyc,False,9.292783715710524,3.761150361323949,15.897195176938842,8.97171021136823,14.962714691202786,16.09557353935932
cyc,cyc,const,cyc,False,9.335980075602063,7.899357811138877,15.412873857901666,8.718457674354127,14.94513142722055,16.170391829393502
cyc,const,const,const,False,9.340924191725033,15.267353640624513,14.940207503712847,8.351887325495985,15.593027929260856,16.178955289717006
anti,anti,const,cyc,True,9.347834513103427,7.788480609502386,15.121488237709336,5.2811859910332375,14.944078485467323,16.190924317441016
anti,const,cyc,anti,True,9.369867995941611,1.591555866885578,15.151434052132867,2.0598168950548867,15.405201655248138,16.229087429184442
anti,anti,cyc,cyc,False,9.383841659530987,0.019292719612778342,15.102602956674614,4.468676097334041,15.497773216551455,16.25329052448912
cyc,cyc,anti,anti,False,9.392175910368305,0.0188560020622468,15.272785333555605,4.546249781375642,15.058523987874375,16.267725870382378
anti,anti,cyc,const,False,9.401044054730532,7.886861571338478,16.75554201776381,3.174459935455806,15.734734020656715,16.283085946986613
cyc,const,const,const,True,9.406378670021937,15.078988643913718,14.957810805806568,8.494891097730342,15.446636398735455,16.292325771710157
anti,anti,cyc,const,True,9.432007847160222,7.873240812256903,16.921921341226962,3.434217544000487,15.70032068144067,16.33671680866985
cyc,cyc,anti,anti,True,9.440503535367794,0.022058180158165186,15.273827021102731,5.372887728329162,15.031969134113641,16.351431772290628
anti,anti,cyc,anti,False,9.445142057578192,0.09258323299414783,15.261028442809215,0.744586507688111,14.991528858446278,16.359465928431074
anti,anti,cyc,cyc,True,9.45271721579412,0.017774530825370505,15.128656431042355,5.285310262817596,15.509627988445413,16.372586487336434
cyc,const,anti,const,False,9.474658067670505,3.7616469296489754,15.06898999155186,7.720967103520873,16.553028594542436,16.410589157547676
cyc,anti,anti,const,False,9.50086270135718,7.794894560967798,15.149389039625202,6.545488847670409,16.486222709809272,16.455976914486726
cyc,const,anti,const,True,9.543349040002996,3.758311797676974,15.08779965508314,7.779949690958119,16.451345244048305,16.52956541164886
cyc,anti,anti,const,True,9.56491354891348,7.78359695616696,15.163992782149371,6.710942575722317,16.383208781800953,16.56691623672209
anti,anti,cyc,anti,True,9.608285186151283,0.1040372601970958,15.310789542538812,0.5293237214262473,15.038779468528501,16.642038116025414
cyc,anti,const,const,False,9.700902158973241,19.8785763968979,14.89759988290407,7.171460719902321,15.539375595630803,16.80245541859627
anti,cyc,const,const,False,9.723831854707463,19.99219048644604,15.240978557614032,3.910285126524388,14.879698599575775,16.842170816610032
anti,cyc,const,const,True,9.744196939962984,19.83310220097041,15.363131220132884,4.089563901014869,14.87941262872982,16.87744417897307
cyc,cyc,anti,const,False,9.749576720616059,7.900004414493338,15.484780539031936,6.572093835570581,16.86469799775824,16.886762232397768
cyc,anti,const,const,True,9.769719847481381,19.718673720441963,14.904376029405684,7.419656011822241,15.398588145749441,16.921651151551814
cyc,anti,anti,cyc,True,9.785397337380083,0.07650758257453916,15.364266435552539,6.885342819410677,15.03302247489987,16.948805360591514
cyc,cyc,anti,const,True,9.813840070025577,7.8886218353565525,15.516030178342158,6.735929096853116,16.716737508554317,16.998069618639608
anti,anti,const,const,False,9.85230358450511,19.878484748362396,15.295298959891308,3.887566302711027,14.929869802840917,17.06469037995582
anti,anti,const,const,True,9.890197700005452,19.718796872944218,15.440106191035525,4.068449510573771,14.938583346196392,17.130324913310293
cyc,cyc,const,const,False,9.912889519927809,19.992481070022855,14.939100488169514,7.197618298073793,15.588302422423954,17.16962829833202
cyc,anti,anti,cyc,False,9.955550985796643,0.08813142928780593,15.52951211813578,7.504335094483564,15.07865649529954,17.243520124742208
cyc,cyc,const,const,True,9.976403150054043,19.83317931332966,14.934314390233162,7.444237240170965,15.426620730133681,17.279637132683796
cyc,cyc,anti,cyc,True,10.035540023746966,0.08689735097797069,15.076108308027768,6.893854784810723,15.202318527554441,17.38206520252072
cyc,const,anti,cyc,True,10.042922053605382,1.715168302146516,15.439936640904756,7.006398569893537,15.043227152055794,17.394851253298487
cyc,const,anti,cyc,False,10.221114438959159,1.7116346151048845,15.586019436108018,7.75315931308318,15.093523211436743,17.70348951825312
cyc,cyc,anti,cyc,False,10.246400133733214,0.09898314707513123,15.154348762597253,7.5154399098972915,15.255267012269696,17.747285626306468
const,anti,anti,const,False,11.731979014531529,12.41548853942988,16.18540534404002,9.241359899175201,17.043280032079185,20.320383726500456
