k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight
0.024390243902439025,-16.666666666666664,0.05917679220834319,0.05559512765776929,-0.0035816645505738973
0.024390243902439025,-15.833333333333329,0.05988437910872174,0.04837909057352935,-0.011505288535192393
0.024390243902439025,-15.0,0.061683747905829936,0.04033456306067238,-0.021349184845157555
0.024390243902439025,-14.166666666666657,0.03843476533320647,0.0356060053893063,-0.0028287599439001734
0.024390243902439025,-13.333333333333329,0.05340863141143627,0.03287432084177307,-0.0205343105696632
0.024390243902439025,-12.5,0.05319601509609484,0.031278216576063354,-0.021917798520031485
0.024390243902439025,-11.666666666666657,0.05099543757597546,0.0304022556780699,-0.02059318189790556
0.024390243902439025,-10.833333333333329,0.04912234470558726,0.030030218398815336,-0.019092126306771925
0.024390243902439025,-10.0,0.048056565143310574,0.030038581741367698,-0.018017983401942876
0.024390243902439025,-9.166666666666657,0.04788054051068538,0.030365218824998284,-0.017515321685687098
0.024390243902439025,-8.333333333333329,0.04855314661584197,0.030996547997502163,-0.01755659861833981
0.024390243902439025,-7.5,0.050070650074379226,0.03191794318894989,-0.01815270688542934
0.024390243902439025,-6.666666666666657,0.05250512172648395,0.033199081700209854,-0.019306040026274097
0.024390243902439025,-5.833333333333329,0.05600651437040293,0.03490779383102224,-0.021098720539380694
0.024390243902439025,-5.0,0.060783935806309364,0.0371616709979129,-0.023622264808396465
0.024390243902439025,-4.166666666666657,0.06704731316378745,0.04031823146633058,-0.026729081697456872
0.024390243902439025,-3.3333333333333286,0.07492152739833863,0.044523967873042025,-0.030397559525296602
0.024390243902439025,-2.5,0.08443507435085282,0.05065432401666969,-0.03378075033418313
0.024390243902439025,-1.6666666666666572,0.0954366061254857,0.06360986559534527,-0.031826740530140424
0.024390243902439025,-0.8333333333333286,0.10730866226898157,0.05375457541885152,-0.05355408685013005
0.024390243902439025,0.0,0.12040064995020171,-0.013403383360038233,-0.13380403331023993
0.024390243902439025,0.8333333333333428,0.09588472117298086,-0.2803092155626717,-0.37619393673565255
0.024390243902439025,1.6666666666666714,0.054018651068505286,-0.047452537967186965,-0.10147118903569224
0.024390243902439025,2.5,0.0388099243076011,-0.03141424897243527,-0.07022417328003637
0.024390243902439025,3.333333333333343,0.02576772491566565,-0.030712863699185376,-0.05648058861485103
0.024390243902439025,4.166666666666671,0.01860309462066808,-0.02851399171445865,-0.047117086335126734
0.024390243902439025,5.0,0.014208930104281668,-0.026125610363319958,-0.040334540467601626
0.024390243902439025,5.833333333333343,0.011277268600422127,-0.0236599544723201,-0.034937223072742225
