config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,wrongref_mode,psnr_db,mse
1,3,train,bars,noncommon_path,1,0.16,0.14,task_matched_decoy,12.383677,0.05776067
1,3,train,ring,noncommon_path,1,0.16,0.14,task_matched_decoy,11.9619,0.06365169
1,3,train,chevron,noncommon_path,1,0.16,0.14,task_matched_decoy,10.735081,0.08442905
1,3,train,cross,wrong_reference,1,0.16,0.14,task_matched_decoy,12.982338,0.05032296
1,3,train,diag,wrong_reference,1,0.16,0.14,task_matched_decoy,10.316205,0.09297785
1,3,train,box,wrong_reference,1,0.16,0.14,task_matched_decoy,12.022373,0.06277153
1,3,train,bars,wrong_reference,1,0.16,0.14,task_matched_decoy,12.723846,0.05340912
1,3,train,ring,wrong_reference,1,0.16,0.14,task_matched_decoy,12.008907,0.06296646
1,3,train,chevron,wrong_reference,1,0.16,0.14,task_matched_decoy,10.70501,0.08501567
1,3,ood,disk,ordinary,1,0.16,0.14,task_matched_decoy,13.307562,0.04669214
1,3,ood,two_spots,ordinary,1,0.16,0.14,task_matched_decoy,13.335397,0.04639384
1,3,ood,frame,ordinary,1,0.16,0.14,task_matched_decoy,9.325493,0.11680211
1,3,ood,disk,common_path,1,0.16,0.14,task_matched_decoy,14.143756,0.03851451
1,3,ood,two_spots,common_path,1,0.16,0.14,task_matched_decoy,14.147256,0.03848349
1,3,ood,frame,common_path,1,0.16,0.14,task_matched_decoy,9.412971,0.11447295
1,3,ood,disk,noncommon_path,1,0.16,0.14,task_matched_decoy,13.977989,0.040013
1,3,ood,two_spots,noncommon_path,1,0.16,0.14,task_matched_decoy,13.823864,0.04145851
1,3,ood,frame,noncommon_path,1,0.16,0.14,task_matched_decoy,9.301664,0.11744476
1,3,ood,disk,wrong_reference,1,0.16,0.14,task_matched_decoy,13.593803,0.04371391
1,3,ood,two_spots,wrong_reference,1,0.16,0.14,task_matched_decoy,13.921826,0.04053381
1,3,ood,frame,wrong_reference,1,0.16,0.14,task_matched_decoy,9.373947,0.11550621
1,4,train,cross,ordinary,1,0.16,0.14,task_matched_decoy,13.19611,0.0479059
1,4,train,diag,ordinary,1,0.16,0.14,task_matched_decoy,13.532734,0.04433295
1,4,train,box,ordinary,1,0.16,0.14,task_matched_decoy,12.131053,0.0612202
1,4,train,bars,ordinary,1,0.16,0.14,task_matched_decoy,13.23171,0.04751482
1,4,train,ring,ordinary,1,0.16,0.14,task_matched_decoy,13.495265,0.04471708
1,4,train,chevron,ordinary,1,0.16,0.14,task_matched_decoy,13.612103,0.04353011
1,4,train,cross,common_path,1,0.16,0.14,task_matched_decoy,12.915639,0.05110179
1,4,train,diag,common_path,1,0.16,0.14,task_matched_decoy,10.660004,0.08590127
