config_id,repeat_seed,split,sample,condition,num_layers,reference_weight,phase_mix,input_phase_coupling,wrongref_mode,psnr_db,mse
1,2,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.764561,0.05291075
1,2,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.404428,0.05748535
1,2,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.220977,0.07549225
1,2,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.988486,0.0399164
1,2,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.358084,0.04615212
1,2,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.309841,0.11722382
1,2,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.162795,0.03834604
1,2,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.975052,0.04004007
1,2,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.47524,0.11284337
1,2,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.230064,0.03775666
1,2,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.01288,0.03969282
1,2,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.339592,0.11642355
1,2,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.295969,0.04681695
1,2,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.969284,0.04009328
1,2,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.42906,0.11404966
1,3,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.099959,0.04897834
1,3,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.385647,0.05773448
1,3,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.10588,0.06157608
1,3,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.145345,0.04846916
1,3,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.96242,0.0401567
1,3,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.681928,0.04283583
1,3,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.969467,0.05047232
1,3,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.011683,0.07921942
1,3,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.722946,0.06725203
1,3,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.35538,0.05813825
1,3,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.518195,0.05599903
1,3,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.404059,0.09111588
1,3,train,cross,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.12831,0.04865966
1,3,train,diag,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.582784,0.08744231
1,3,train,box,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.765125,0.06660203
1,3,train,bars,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.665552,0.05413084
1,3,train,ring,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.150329,0.06094907
1,3,train,chevron,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.064402,0.0782636
1,3,train,cross,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.772148,0.0528184
1,3,train,diag,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.126007,0.06129137
1,3,train,box,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.088052,0.06182936
1,3,train,bars,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.999374,0.05012595
1,3,train,ring,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.792205,0.05257503
1,3,train,chevron,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.83149,0.06559202
1,3,ood,disk,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.907932,0.05119255
1,3,ood,two_spots,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.50391,0.04462816
1,3,ood,frame,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.38131,0.11531053
1,3,ood,disk,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.264556,0.03745798
1,3,ood,two_spots,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.997366,0.03983487
1,3,ood,frame,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.502046,0.11214901
1,3,ood,disk,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.88729,0.04085743
1,3,ood,two_spots,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.014402,0.03967891
1,3,ood,frame,noncommon_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.361513,0.11583738
1,3,ood,disk,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.205552,0.03797037
1,3,ood,two_spots,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,14.309393,0.03707325
1,3,ood,frame,wrong_reference,1,0.14,0.16,0.9,anti_phase_plus_decoy,9.390351,0.11507075
1,4,train,cross,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.987548,0.05026263
1,4,train,diag,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.878523,0.0515404
1,4,train,box,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.168927,0.06068863
1,4,train,bars,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.136583,0.04856704
1,4,train,ring,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.666344,0.04298982
1,4,train,chevron,ordinary,1,0.14,0.16,0.9,anti_phase_plus_decoy,13.648291,0.04316889
1,4,train,cross,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.976842,0.05038669
1,4,train,diag,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.799171,0.08319226
1,4,train,box,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,11.866424,0.06506652
1,4,train,bars,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.585283,0.05514063
1,4,train,ring,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,12.106207,0.06157143
1,4,train,chevron,common_path,1,0.14,0.16,0.9,anti_phase_plus_decoy,10.743918,0.08425743
