candidate,barrier_Z,orientation_alpha,intervalley_eta,field_phi,inner_gap,outer_gap,inner_signal,outer_signal,zero_bias,inner_selectivity
s_wave,0.8,0.7853981634,0.45,0.0,0.04000000235177162,0.09500000235177161,295.99885390435725,194.66509618787524,177.97445459380756,1.5205543248425117
s_wave,0.8,0.7853981634,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,289.83409497909605,190.16919249475495,174.28805669140235,1.5240854271760655
s_wave,1.6,0.0,0.0,0.0,0.04000000235177162,0.09500000235177161,226.7296193806525,199.01263525428257,134.22356959839908,1.1392724843372652
s_wave,1.6,0.0,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,221.5862011962434,193.87988005245796,131.20669827378842,1.1429045713061559
s_wave,1.6,0.0,0.2,0.0,0.04000000235177162,0.09500000235177161,228.81299367266698,201.45156077081197,135.4302615145774,1.1358213994330064
s_wave,1.6,0.0,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,223.66957548825786,196.31880556898733,132.41339018996678,1.1393181353156683
s_wave,1.6,0.0,0.45,0.0,0.04000000235177162,0.09500000235177161,231.4172115376851,204.50021766647376,136.93862640980035,1.1316233018153123
s_wave,1.6,0.0,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,226.27379335327595,199.36746246464912,133.9217550851897,1.134958485983628
s_wave,1.6,0.7853981634,0.0,0.0,0.04000000235177162,0.09500000235177161,223.90198192496783,197.7331612924343,132.4994004972226,1.1323441169983197
s_wave,1.6,0.7853981634,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,218.75856374055877,192.60040609060974,129.48252917261198,1.1358156931280965
s_wave,1.6,0.7853981634,0.2,0.0,0.04000000235177162,0.09500000235177161,225.9853562169823,200.17208680896368,133.70609241340094,1.1289553894327622
s_wave,1.6,0.7853981634,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,220.84193803257318,195.03933160713908,130.6892210887903,1.1322943747438974
s_wave,1.6,0.7853981634,0.45,0.0,0.04000000235177162,0.09500000235177161,228.5895740820004,203.22074370462548,135.21445730862388,1.1248338625029721
s_wave,1.6,0.7853981634,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,223.44615589759127,198.08798850280084,132.19758598401322,1.12801466452587
s_wave,2.8,0.0,0.0,0.0,0.04000000235177162,0.09500000235177161,174.34007470080604,208.30040861944127,100.88243260086742,0.8369646313047817
s_wave,2.8,0.0,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,169.93507173275975,202.54109073182707,98.35668779175688,0.8390152887927366
s_wave,2.8,0.0,0.2,0.0,0.04000000235177162,0.09500000235177161,176.38696154867552,211.23519049655593,102.04507695360704,0.8350264041424074
s_wave,2.8,0.0,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,171.98195858062923,205.4758726089417,99.5193321444965,0.8369934454929532
s_wave,2.8,0.0,0.45,0.0,0.04000000235177162,0.09500000235177161,178.94557010851236,214.90366784294923,103.49838239453156,0.8326780641049136
s_wave,2.8,0.0,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,174.540567140466,209.144349955335,100.97263758542101,0.8345459352726526
s_wave,2.8,0.7853981634,0.0,0.0,0.04000000235177162,0.09500000235177161,173.04386869332842,207.71389006402148,100.0920631203814,0.8330876121957608
s_wave,2.8,0.7853981634,0.0,1.5707963268,0.04000000235177162,0.09500000235177161,168.6388657252821,201.9545721764073,97.56631831127089,0.8350336608273273
s_wave,2.8,0.7853981634,0.2,0.0,0.04000000235177162,0.09500000235177161,175.09075554119784,210.64867194113617,101.25470747312102,0.8311980034230898
s_wave,2.8,0.7853981634,0.2,1.5707963268,0.04000000235177162,0.09500000235177161,170.68575257315155,204.88935405352194,98.72896266401048,0.8330630615808589
s_wave,2.8,0.7853981634,0.45,0.0,0.04000000235177162,0.09500000235177161,177.64936410103468,214.31714928752947,102.70801291404554,0.8289087676446226
s_wave,2.8,0.7853981634,0.45,1.5707963268,0.04000000235177162,0.09500000235177161,173.2443611329884,208.55783139991524,100.18226810493499,0.8306778027471319
valley_odd,0.2,0.0,0.0,0.0,0.016827349461848516,0.07182734946184852,428.3639760841631,210.56412619018286,383.1783312949693,2.0343635159260796
valley_odd,0.2,0.0,0.0,1.5707963268,0.016827349461848516,0.07182734946184852,364.454108423726,180.81338261541597,325.85169306690113,2.0156368027188987
valley_odd,0.2,0.0,0.2,0.0,0.016827349461848516,0.07182734946184852,467.274973698461,228.50381300928726,418.09810330711747,2.0449329380751697
