object_id,fixed_psnr_lowres,robust_method_psnr_lowres,psnr_gain_over_fixed_lowres,seed,dataset_name,dataset_version,perturbation_family,level,training_regime
ImageNet-1k:imagenet_proxy_004,17.02112070435518,20.1459823056307,3.1248616012755193,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,18.877109632413845,23.08885975035738,4.211750117943534,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.001095809722333,23.887654602314733,4.8865587925924,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,23.875982204289585,24.045402645112183,0.16942044082259855,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,17.78390643054887,20.513131675395492,2.7292252448466208,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,19.67577512735865,21.95826460995358,2.2824894825949293,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,15.96062765825073,19.766511274878745,3.805883616628016,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,20.56497074291316,22.638183225236382,2.073212482323221,0,ImageNet-1k,ILSVRC2012 validation,clean_reference,0.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,18.37913524723942,20.64475633591647,2.2656210886770474,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.4185212442048,21.189686749778698,1.7711655055738973,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.144871038094426,19.555716711005637,2.4108456729112113,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,19.87239693750947,19.78390497647654,-0.08849196103293266,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.36777785801965,24.65668620322056,4.288908345200909,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,19.64942581955879,22.65493371941108,3.00550789985229,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.73105034676241,24.31525441267917,4.5842040659167616,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,24.25134673091588,23.229900258234444,-1.0214464726814363,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.59203268222841,21.474224391120416,2.8821917088920053,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,19.87559582846149,21.5821519166046,1.7065560881431132,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,16.54464520459449,20.902054048223206,4.357408843628715,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.91276814000132,24.841327067665194,2.9285589276638753,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,18.441468774705854,21.225634084561435,2.784165309855581,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,18.538235981075392,20.12961664497924,1.5913806639038484,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.286927749285475,20.598903213848537,3.311975464563062,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,21.283035485854747,20.83702841094275,-0.4460070749119964,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.164674870813446,24.440711128902354,4.276036258088908,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,20.053058153249864,23.111835944029437,3.0587777907795726,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.728304667830628,23.855835774528558,4.12753110669793,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,27.19828963419568,24.121016315984512,-3.0772733182111693,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.416885301603873,21.387094134546537,2.9702088329426637,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.239195482710016,23.964740323888467,2.7255448411784506,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.095284365085792,20.7008950526471,3.605610687561306,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,21.66281951363726,23.691299382384226,2.0284798687469667,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,19.51877954062885,22.057333184765483,2.538553644136634,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,19.521645115591774,20.857486413185615,1.3358412975938414,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,18.186379443095834,22.280223713412784,4.09384427031695,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.910408925742907,21.010657182857884,0.10024825711497698,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,21.4576363280704,26.27403169977994,4.81639537170954,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,20.375103631462995,23.106517487243593,2.7314138557805983,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_006,19.892394837383875,23.67776872078935,3.785373883405473,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_007,27.146529710363495,24.459847002009454,-2.6866827083540414,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_008,18.80117135181588,21.533122112300806,2.7319507604849242,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_009,21.147320837294792,22.990915914478933,1.8435950771841405,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_010,17.191992321163173,21.644695491371166,4.452703170207993,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_011,22.640345029946328,25.577582740966122,2.937237711019794,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_000,19.09297262457729,21.49624981843847,2.4032771938611823,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_001,17.70280693610308,19.246814640063793,1.5440077039607125,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_002,17.904859016290853,21.647480354369833,3.7426213380789797,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_003,20.952538892944254,20.37655560267602,-0.5759832902682334,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_004,20.752529580949247,25.153780282648764,4.401250701699517,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
ImageNet-1k:imagenet_proxy_005,19.93116225765096,22.723362205844666,2.792199948193705,0,ImageNet-1k,ILSVRC2012 validation,phase_mask_quantization,3.0,robust_mask_mixed_train
