perturbation_family,level,dataset_name,dataset_version,method,seed_count,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,ci95_half_width,ci_low,ci_high,mean_better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,model_variant,evidence_scope,better_than_fixed_fraction
propagation_distance_error,0.05,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.3849786589828046,0.2655620448978317,0.3005117434922889,2.084466915490516,2.6854904024750934,1.0,23.21712245531155,20.832143796328744,23.21712245531155,standard_phase_only_training,common_input_public_natural_tolerance,
propagation_distance_error,0.05,UCID,1338 public citation subset,spectral_frontend,3,72,1.0758192077749256,0.0324353935166099,0.0367041030290489,1.0391151047458766,1.1125233108039745,0.7592592592592592,21.907963004103674,20.832143796328744,23.21712245531155,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1789379722981408,0.1587290067235701,0.179618780129708,-1.3585567524278488,-0.9993191921684328,0.1157407407407407,23.878244420226185,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.1812619635907672,0.2051172212070204,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.1696432818455528,0.1919694451018933,-1.624634570853244,-1.2406956806494571,0.1342592592592592,23.62451726677298,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.1009259091222678,0.1142084175679001,-2.4697211870959705,-2.24130435196017,0.0138888888888888,22.701669622996263,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,phase_only_stack,3,72,1.6014229295307236,0.292207523605534,0.3306639411292624,1.2707589884014612,1.932086870659986,0.8009259259259259,22.466704818184112,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.2497676014281402,0.2826386481619926,2.0209640983901718,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.0254837994241032,0.0288376337766616,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.125554357547521,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.3379629629629629,20.13322716263424,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.3758593049948535,0.1490833572258944,0.168703700195084,-1.5445630051899375,-1.2071556047997696,0.1157407407407407,23.68132308752948,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.1812619635907672,0.2051172212070204,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.1696432818455528,0.1919694451018933,-1.624634570853244,-1.2406956806494571,0.1342592592592592,23.62451726677298,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.1009259091222678,0.1142084175679001,-2.4697211870959705,-2.24130435196017,0.0138888888888888,22.701669622996263,25.05718239252433,26.99159783044102,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,phase_only_stack,3,72,1.464292657892706,0.2539273473450927,0.287345843794822,1.176946814097884,1.751638501687528,0.7962962962962963,22.32957454654609,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.2497676014281402,0.2826386481619926,2.0209640983901718,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.0254837994241032,0.0288376337766616,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547,standard_phase_only_training,common_input_public_natural_tolerance,
