perturbation_family,level,dataset_name,dataset_version,method,seed_count,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,ci95_half_width,ci_low,ci_high,mean_better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
reference_channel_misregistration,0.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.24976760142814028,0.2826386481619926,2.0209640983901713,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547
reference_channel_misregistration,0.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.025483799424103275,0.028837633776661695,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547
reference_channel_misregistration,0.0,UCID,1338 public citation subset,trainable_surrogate_ridge,3,72,-0.7320547260191511,0.12555435754752103,0.1420781305708639,-0.874132856590015,-0.5899765954482872,0.33796296296296297,20.13322716263424,20.86528188865339,23.168884635205547
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,phase_only_stack,3,72,-1.1083977770498856,0.17348881512802303,0.19632107566648452,-1.3047188527163702,-0.9120767013834011,0.12037037037037036,23.948784615474448,25.05718239252433,26.99159783044102
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,3,72,1.9344154379166936,0.18126196359076724,0.20511722120702044,1.729298216709673,2.139532659123714,1.0,26.99159783044102,25.05718239252433,26.99159783044102
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,spectral_frontend,3,72,-1.4326651257513507,0.16964328184555283,0.19196944510189332,-1.6246345708532441,-1.2406956806494573,0.13425925925925927,23.62451726677298,25.05718239252433,26.99159783044102
reference_channel_misregistration,1.0,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,3,72,-2.35551276952807,0.10092590912226786,0.11420841756790015,-2.4697211870959705,-2.24130435196017,0.013888888888888888,22.701669622996263,25.05718239252433,26.99159783044102
reference_channel_misregistration,1.0,UCID,1338 public citation subset,phase_only_stack,3,72,1.6409028192375474,0.3010928632594493,0.34071864948167974,1.3001841697558678,1.981621468719227,0.8148148148148148,22.506184707890935,20.86528188865339,23.168884635205547
reference_channel_misregistration,1.0,UCID,1338 public citation subset,reference_psf_deconvolution,3,72,2.303602746552164,0.24976760142814028,0.2826386481619926,2.0209640983901713,2.5862413947141563,1.0,23.168884635205547,20.86528188865339,23.168884635205547
reference_channel_misregistration,1.0,UCID,1338 public citation subset,spectral_frontend,3,72,1.1010162970788246,0.025483799424103275,0.028837633776661695,1.072178663302163,1.1298539308554862,0.7777777777777777,21.96629818573221,20.86528188865339,23.168884635205547
