perturbation_family,level,dataset_name,dataset_version,method,seed,sample_count,mean_psnr_gain_over_fixed_lowres,std_psnr_gain_over_fixed_lowres,better_than_fixed_fraction,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,1,72,2.2315637078613366,0.7383237357470215,1.0,27.090175082721352,24.858611374860015,27.090175082721352
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,2,72,1.9017859902642194,0.7494518606259107,1.0,26.993533978152843,25.091747987888624,26.993533978152843
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,0,72,-1.5879927883450016,1.2610493202008926,0.125,23.564138094011668,25.15213088235667,27.018814758142707
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,1,72,-1.4664249447288884,1.321744150673051,0.1388888888888889,23.392186430131126,24.858611374860015,27.090175082721352
propagation_distance_error,0.05,Kodak-PCD0992,unrestricted public release,spectral_frontend,2,72,-1.2371324591230766,1.1793247421136699,0.125,23.854615528765546,25.091747987888624,26.993533978152843
propagation_distance_error,0.05,UCID,1338 public citation subset,phase_only_stack,0,72,1.3746786530103146,1.267687842861683,0.7916666666666666,22.332671006026406,20.95799235301609,23.106818131999823
propagation_distance_error,0.05,UCID,1338 public citation subset,phase_only_stack,1,72,1.9748089832516138,1.5469647723592383,0.9027777777777778,22.584908985366592,20.610100002114976,23.282557174996743
propagation_distance_error,0.05,UCID,1338 public citation subset,phase_only_stack,2,72,1.583166037672214,1.391252990740064,0.7638888888888888,22.51150507152738,20.928339033855167,23.26199205893808
propagation_distance_error,0.05,UCID,1338 public citation subset,reference_psf_deconvolution,0,72,2.148825778983734,0.7618715712928901,1.0,23.106818131999823,20.95799235301609,23.106818131999823
propagation_distance_error,0.05,UCID,1338 public citation subset,reference_psf_deconvolution,1,72,2.6724571728817654,0.7981970884308752,1.0,23.282557174996743,20.610100002114976,23.282557174996743
propagation_distance_error,0.05,UCID,1338 public citation subset,reference_psf_deconvolution,2,72,2.333653025082915,0.7646103111731892,1.0,23.26199205893808,20.928339033855167,23.26199205893808
propagation_distance_error,0.05,UCID,1338 public citation subset,spectral_frontend,0,72,1.053112002625395,1.368164376231358,0.75,22.011104355641486,20.95799235301609,23.106818131999823
propagation_distance_error,0.05,UCID,1338 public citation subset,spectral_frontend,1,72,1.0613785885490588,1.4510865976505685,0.7916666666666666,21.671478590664037,20.610100002114976,23.282557174996743
propagation_distance_error,0.05,UCID,1338 public citation subset,spectral_frontend,2,72,1.1129670321503227,1.3301268194341607,0.7361111111111112,22.04130606600549,20.928339033855167,23.26199205893808
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-1.1951957137592464,0.973223625255616,0.09722222222222222,23.973469036981783,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-1.0127057747291277,1.2097661799721697,0.1527777777777778,23.87809966636501,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-1.3289124284060487,1.1199074067901507,0.09722222222222222,23.783164557331773,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,0,72,1.8116192465791023,0.6585926067313406,1.0,26.980283997320132,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,1,72,2.1426015473656235,0.7178871055830549,1.0,27.03340698845976,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,2,72,1.849025519805355,0.7230723751493049,1.0,26.961102505543174,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,spectral_frontend,0,72,-1.5740640934716028,1.2496056374948268,0.125,23.594600657269424,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,spectral_frontend,1,72,-1.4793691853686897,1.3367307778568116,0.1527777777777778,23.411436255725448,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,spectral_frontend,2,72,-1.2445620984137598,1.1630157286253098,0.125,23.86751488732406,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,0,72,-2.466858167181826,1.1571942790495346,0.013888888888888888,22.701806583559204,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,1,72,-2.270045927851439,1.2384859899093077,0.027777777777777776,22.6207595132427,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.01,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,2,72,-2.3296342135509454,1.1106420486650246,0.0,22.782442772186876,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,phase_only_stack,0,72,1.3559478052230052,1.2665391092089855,0.7916666666666666,22.338510690477303,20.982562885254296,23.06411630882179
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,phase_only_stack,1,72,1.924639192202272,1.5715317257830557,0.8472222222222222,22.58115715139022,20.656517959187948,23.23053303408501
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,phase_only_stack,2,72,1.5236817911668934,1.3966899919242353,0.7638888888888888,22.480446612684812,20.95676482151792,23.21200456270985
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,reference_psf_deconvolution,0,72,2.081553423567494,0.7299977118373004,1.0,23.06411630882179,20.982562885254296,23.06411630882179
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,reference_psf_deconvolution,1,72,2.574015074897062,0.7749689155275751,1.0,23.23053303408501,20.656517959187948,23.23053303408501
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,reference_psf_deconvolution,2,72,2.2552397411919363,0.7380583258365093,1.0,23.21200456270985,20.95676482151792,23.21200456270985
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,spectral_frontend,0,72,1.1082593856031144,1.3853443220605808,0.7916666666666666,22.090822270857412,20.982562885254296,23.06411630882179
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,spectral_frontend,1,72,1.0726950102155937,1.4686301734005922,0.7777777777777778,21.72921296940354,20.656517959187948,23.23053303408501
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,spectral_frontend,2,72,1.1220944954177656,1.338284230203566,0.7638888888888888,22.078859316935684,20.95676482151792,23.21200456270985
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,trainable_surrogate_ridge,0,72,-0.8463216349127977,1.2916698861894793,0.3194444444444444,20.1362412503415,20.982562885254296,23.06411630882179
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,trainable_surrogate_ridge,1,72,-0.5976477195115544,1.3347619900139764,0.375,20.05887023967639,20.656517959187948,23.23053303408501
reference_channel_intensity_noise,0.01,UCID,1338 public citation subset,trainable_surrogate_ridge,2,72,-0.7521948236331011,1.2161237689998512,0.3194444444444444,20.204569997884818,20.95676482151792,23.21200456270985
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,phase_only_stack,0,72,-1.3874352368495146,1.0916475734503472,0.09722222222222222,23.781229513891518,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,phase_only_stack,1,72,-1.22132542902958,1.3625331980782538,0.1527777777777778,23.669480012064557,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,phase_only_stack,2,72,-1.5188172491054661,1.2106522635553323,0.09722222222222222,23.593259736632355,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,0,72,1.8116192465791023,0.6585926067313406,1.0,26.980283997320132,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,1,72,2.1426015473656235,0.7178871055830549,1.0,27.03340698845976,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,reference_psf_deconvolution,2,72,1.849025519805355,0.7230723751493049,1.0,26.961102505543174,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,spectral_frontend,0,72,-1.5740640934716028,1.2496056374948268,0.125,23.594600657269424,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,spectral_frontend,1,72,-1.4793691853686897,1.3367307778568116,0.1527777777777778,23.411436255725448,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,spectral_frontend,2,72,-1.2445620984137598,1.1630157286253098,0.125,23.86751488732406,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,0,72,-2.466858167181826,1.1571942790495346,0.013888888888888888,22.701806583559204,25.16866475074103,26.980283997320132
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,1,72,-2.270045927851439,1.2384859899093077,0.027777777777777776,22.6207595132427,24.89080544109414,27.03340698845976
reference_channel_intensity_noise,0.02,Kodak-PCD0992,unrestricted public release,trainable_surrogate_ridge,2,72,-2.3296342135509454,1.1106420486650246,0.0,22.782442772186876,25.11207698573782,26.961102505543174
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,phase_only_stack,0,72,1.242582085091373,1.2181437696982094,0.7916666666666666,22.22514497034567,20.982562885254296,23.06411630882179
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,phase_only_stack,1,72,1.7413177795848418,1.5346075425635808,0.8333333333333334,22.397835738772788,20.656517959187948,23.23053303408501
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,phase_only_stack,2,72,1.4089781090019038,1.3263230323423347,0.7638888888888888,22.365742930519822,20.95676482151792,23.21200456270985
reference_channel_intensity_noise,0.02,UCID,1338 public citation subset,reference_psf_deconvolution,0,72,2.081553423567494,0.7299977118373004,1.0,23.06411630882179,20.982562885254296,23.06411630882179
