dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,2,4,288,-16.720387899067198,8.386487364985312,25.10687526405251,26.96524936863457,-0.19684433255794667,16.52354356650925
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,0,4,288,-16.645608139682416,8.516982819616867,25.162590959299283,27.00065377726152,-0.3094482873361583,16.336159852346256
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,1,4,288,-15.876093526354522,9.002479966898338,24.87857349325286,27.05464144030664,-0.1483274822343396,15.727766044120182
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,2,4,288,-16.61508442456756,8.489484108824012,25.10456853339157,26.971841072941316,-0.19684433255794667,16.41824009200961
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,0,1,72,2.5431443145870123,23.525707199841307,20.982562885254296,23.06411630882179,2.5431443145870123,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,1,1,72,2.680151504098621,23.336669463286565,20.656517959187948,23.23053303408501,2.680151504098621,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,2,1,72,2.5745820261974064,23.531346847715323,20.95676482151792,23.21200456270985,2.5745820261974064,0.0
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,0,1,72,2.531593039889987,23.51164262793453,20.980049588044544,23.069088733005803,2.5431443145870123,0.011551274697025438
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,1,1,72,2.688623304347284,23.338925124940218,20.650301820592933,23.233736838183383,2.680151504098621,-0.008471800248663008
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,2,1,72,2.562961289407633,23.516110768016,20.953149478608367,23.21634676681883,2.5745820261974064,0.011620736789773378
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,0,1,72,2.502920506651135,23.4795580076043,20.976637500953167,23.074657826271135,2.5431443145870123,0.04022380793587743
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,1,1,72,2.684830210702394,23.330314959295734,20.645484748593343,23.240267817903682,2.680151504098621,-0.0046787066037730085
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,2,1,72,2.5383987438673676,23.489780578221897,20.95138183435453,23.222877072055983,2.5745820261974064,0.03618328233003876
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,0,1,72,2.4250810356478842,23.397812726304807,20.97273169065692,23.082303317209764,2.5431443145870123,0.11806327893912805
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,1,1,72,2.6785130131459765,23.314482277491265,20.63596926434529,23.24861725244994,2.680151504098621,0.0016384909526445668
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,2,1,72,2.454078430839729,23.39795495705219,20.94387652621246,23.22983126028515,2.5745820261974064,0.12050359535767718
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,0,4,288,-7.876779979466374,13.105782905787924,20.982562885254296,23.06411630882179,2.5431443145870123,10.419924294053386
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,1,4,288,-6.917507850803134,13.73901010838481,20.656517959187948,23.23053303408501,2.680151504098621,9.597659354901754
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,2,4,288,-7.496600745340741,13.460164076177175,20.95676482151792,23.21200456270985,2.5745820261974064,10.071182771538147
