dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,pass_state
UCID,1338 public citation subset,0.1,mild,0.25,0.5,0.0,11.546494788270993,0.6865629609638122,10.85993182730718,12.233057749234804,-8.94720217330998,0.7056425024766628,fail
UCID,1338 public citation subset,0.1,mild,0.25,0.5,0.005,11.98266029138597,0.5932576250128491,11.38940266637312,12.57591791639882,-9.383367676424959,0.5284819433700458,fail
UCID,1338 public citation subset,0.1,mild,0.25,0.5,0.01,11.739344531165061,0.8699299782021582,10.869414552962903,12.60927450936722,-9.140051916204047,0.7940051582763723,fail
UCID,1338 public citation subset,0.1,mild,0.25,0.5,0.02,12.431447578486823,1.0428976095828362,11.388549968903988,13.474345188069659,-9.83215496352581,1.0419987473794845,fail
UCID,1338 public citation subset,0.1,moderate,0.5,1.0,0.0,13.11004621300487,0.5697755113980781,12.540270701606792,13.679821724402947,-10.510753598043856,0.6509409884072067,fail
UCID,1338 public citation subset,0.1,moderate,0.5,1.0,0.005,13.764657379337827,0.17485010202933793,13.58980727730849,13.939507481367164,-11.165364764376813,0.17891478576972586,fail
UCID,1338 public citation subset,0.1,moderate,0.5,1.0,0.01,13.603783774420416,0.7533030541354158,12.850480720285,14.35708682855583,-11.004491159459404,0.8292955712632597,fail
UCID,1338 public citation subset,0.1,moderate,0.5,1.0,0.02,13.271435648985351,0.8036404761754368,12.467795172809915,14.075076125160788,-10.672143034024339,0.8775214470050118,fail
UCID,1338 public citation subset,0.1,severe,1.0,2.0,0.0,14.684552455738574,0.347372708553371,14.337179747185203,15.031925164291945,-12.08525984077756,0.42832413226687127,fail
UCID,1338 public citation subset,0.1,severe,1.0,2.0,0.005,14.235536605529646,0.8261665569938299,13.409370048535816,15.061703162523475,-11.636243990568632,0.8628832530440417,fail
UCID,1338 public citation subset,0.1,severe,1.0,2.0,0.01,14.207992884117353,0.6361915595656276,13.571801324551725,14.84418444368298,-11.608700269156339,0.7166385742559594,fail
UCID,1338 public citation subset,0.1,severe,1.0,2.0,0.02,14.48437912403911,0.7056700204473514,13.778709103591758,15.190049144486462,-11.885086509078098,0.7793241634614825,fail
UCID,1338 public citation subset,0.2,clean,0.0,0.0,0.0,13.249634425426857,0.7332876170799596,12.516346808346897,13.982922042506816,-10.650341810465845,0.6620285606702063,fail
UCID,1338 public citation subset,0.2,clean,0.0,0.0,0.005,13.736182793601229,0.7662876598998485,12.96989513370138,14.502470453501077,-11.136890178640215,0.7287467814026753,fail
UCID,1338 public citation subset,0.2,clean,0.0,0.0,0.01,13.16063256416608,0.3258527450323584,12.834779819133722,13.48648530919844,-10.561339949205069,0.24863408254575686,fail
UCID,1338 public citation subset,0.2,clean,0.0,0.0,0.02,13.404811224866757,0.8463842985687058,12.55842692629805,14.251195523435463,-10.805518609905745,0.7937943744003463,fail
UCID,1338 public citation subset,0.2,mild,0.25,0.5,0.0,13.465945937997091,0.890318596459118,12.575627341537974,14.356264534456209,-10.866653323036081,0.8181208067423215,fail
UCID,1338 public citation subset,0.2,mild,0.25,0.5,0.005,13.496000368488344,0.658770449495179,12.837229918993165,14.154770817983524,-10.896707753527332,0.5830141549246824,fail
UCID,1338 public citation subset,0.2,mild,0.25,0.5,0.01,13.740559947672969,0.32695682321740954,13.413603124455559,14.067516770890379,-11.141267332711957,0.2880510164518612,fail
UCID,1338 public citation subset,0.2,mild,0.25,0.5,0.02,13.472253166883604,0.5381514316249316,12.934101735258672,14.010404598508536,-10.87296055192259,0.45828057848364456,fail
UCID,1338 public citation subset,0.2,moderate,0.5,1.0,0.0,14.274645149060687,0.4391451836257368,13.83549996543495,14.713790332686424,-11.675352534099673,0.4448262311259532,fail
UCID,1338 public citation subset,0.2,moderate,0.5,1.0,0.005,14.082417451364202,0.5508630775363069,13.531554373827895,14.63328052890051,-11.483124836403192,0.5260355357349893,fail
UCID,1338 public citation subset,0.2,moderate,0.5,1.0,0.01,14.235596133046394,0.575747816597551,13.659848316448844,14.811343949643945,-11.636303518085384,0.6487216430101819,fail
UCID,1338 public citation subset,0.2,moderate,0.5,1.0,0.02,14.29336803973694,0.42009734010568794,13.873270699631252,14.713465379842628,-11.694075424775926,0.4720548172629803,fail
UCID,1338 public citation subset,0.2,severe,1.0,2.0,0.0,14.79057517342441,0.2721054746323141,14.518469698792096,15.062680648056723,-12.191282558463397,0.33714830162170123,fail
UCID,1338 public citation subset,0.2,severe,1.0,2.0,0.005,14.930643941907393,0.2565021178393355,14.674141824068057,15.187146059746729,-12.33135132694638,0.3367457645529566,fail
UCID,1338 public citation subset,0.2,severe,1.0,2.0,0.01,14.870610055332676,0.47906381073515913,14.391546244597517,15.349673866067835,-12.271317440371662,0.5602773710433858,fail
UCID,1338 public citation subset,0.2,severe,1.0,2.0,0.02,14.71193479854513,0.5082900694751341,14.203644729069996,15.220224868020264,-12.112642183584114,0.5855384947607013,fail
