dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.0,3,4,288,-15.965744893378984,1.2083152594211024,-17.174060152800088,-14.757429633957882,15.747538192669502,1.14242091731055,14.605117275358952,16.88995910998005,9.091437499145345,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.005,3,4,288,-15.67538261489979,0.3869210800058649,-16.062303694905655,-15.288461534893926,15.457175914190309,0.3111727344662689,15.14600317972404,15.768348648656577,9.379567660981179,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.01,3,4,288,-15.81817036498664,0.7153507111379958,-16.533521076124636,-15.102819653848645,15.59996366427716,0.6346827790827987,14.965280885194362,16.23464644335996,9.232850624823564,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.0,severe,1.0,2.0,0.02,3,4,288,-15.994494808454412,0.6760492543036366,-16.670544062758047,-15.318445554150776,15.77628810774493,0.6560801813368735,15.120207926408057,16.432368289081804,9.054082853526827,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.0,3,4,288,-8.699911459557878,1.8121630605716843,-10.512074520129563,-6.887748398986194,8.481704758848396,1.853161243010646,6.62854351583775,10.334866001859043,16.35727093296645,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.005,3,4,288,-8.343170387827756,1.9236821580556838,-10.26685254588344,-6.419488229772073,8.124963687118274,1.9644583708132493,6.160505316305025,10.089422057931523,16.711779888053215,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.01,3,4,288,-8.60692907763008,2.2236012868853727,-10.830530364515452,-6.383327790744707,8.3887223769206,2.264307509849672,6.124414867070927,10.653029886770272,16.444091912180127,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,clean,0.0,0.0,0.02,3,4,288,-8.750727839027178,2.532698076153993,-11.283425915181171,-6.218029762873185,8.532521138317696,2.5491037647410253,5.983417373576671,11.08162490305872,16.29784982295406,25.048577661981238,27.009045430169824,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.0,3,4,288,-12.679824339929946,0.7203755739137739,-13.40019991384372,-11.959448766016171,12.461617639220465,0.6419949125735788,11.819622726646887,13.103612551794043,12.377358052594383,25.05718239252433,26.99159783044102,0.0,fail
Kodak-PCD0992,unrestricted public release,0.05,mild,0.25,0.5,0.005,3,4,288,-12.293056929232746,0.8215694574167346,-13.11462638664948,-11.471487471816012,12.074850228523266,0.7453322646009896,11.329517963922276,12.820182493124255,12.761893346648224,25.05495027588097,26.996015768415358,0.0,fail
