path_rank,short_range_rank,c7_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
6,6,11,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,True,True,10.201002756415372,0.015317949150169596,15.062836794604248,5.408604890515336,15.003209035207087,17.66865506226159,0.05962775939716103
6,5,7,exclusive_150,K_b1-b2,M_b1+b2,K_-b1+b2,cyc,anti,cyc,anti,anti,cyc,anti,anti,True,True,10.201026011557051,0.023353426619319606,17.293479842974666,7.395550951549847,18.498572834160544,17.668695341348513,1.2050929911858788
8,6,11,duplicated_150,K_b1-b2,M_b1+b2,K_-b1+b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,True,True,10.202248736001936,7.105427357601002e-15,15.105231944113802,5.365195829118448,15.07883035446756,17.670813162210713,0.02640158964624284
7,6,11,duplicated_150,K_-b1+b2,M_b1+b2,K_b1-b2,anti,cyc,cyc,anti,cyc,cyc,cyc,anti,True,True,10.202248736001938,7.105427357601002e-15,15.07883035446755,5.365195829118448,15.10523194411381,17.670813162210713,0.026401589646258827
5,5,12,exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,True,10.202762935881243,0.04505815337849839,16.415027484445226,9.079903708952656,16.593461561446514,17.671703782526915,0.17843407700128822
5,5,16,exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,anti,cyc,True,False,10.203240035182022,0.040791199796707645,16.411866221278256,9.312081154312725,16.581866244824333,17.67253014275612,0.17000002354607702
11,3,35,duplicated_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,True,False,10.204419105129839,7.105427357601002e-15,14.948553449498768,4.23440778950514,15.657449707194504,17.674572351811417,0.708896257695736
12,3,35,duplicated_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,True,False,10.204419105129839,7.105427357601002e-15,15.657449707194498,4.23440778950514,14.948553449498776,17.674572351811417,0.7088962576957218
9,3,31,exclusive_150,K_b1+2b2,M_b1,K_2b1+b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,False,False,10.204436052968967,0.014588597409463944,15.627902863541681,3.6581003306756514,14.994414750254842,17.674601706329863,0.6334881132868393
5,6,7,exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,anti,cyc,cyc,anti,anti,cyc,anti,anti,True,True,10.205249756145784,0.02287770381977694,15.04149262412356,5.346720302943251,15.047080571477636,17.676011081574398,0.005587947354076306
5,5,13,exclusive_150,K_-b1+b2,M_b1+b2,K_b1-b2,cyc,anti,cyc,anti,cyc,cyc,cyc,anti,False,False,10.20562832016709,0.017135524131681734,19.178053185300726,7.387624795926613,17.22207195299669,17.676666773693213,1.9559812323040369
10,3,31,exclusive_150,K_2b1+b2,M_b1,K_b1+2b2,cyc,cyc,anti,cyc,anti,anti,anti,anti,False,False,10.20584702680886,0.014483896087043036,14.9944795842037,3.691780051416483,15.619237048071884,17.677045584708708,0.6247574638681836
