path_rank,config_rank,path_mode,k_b_label,m_label,k_t_label,ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
3,560,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,cyc,True,True,13.333527382858698,21.48845352442993,18.07538770680353,11.296849929759007,17.702284637163718,23.09434687122215,0.37310306963981077
3,883,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,cyc,cyc,True,False,13.333687701794767,21.488453524429936,17.93043153127271,11.192306669984424,17.175839630007946,23.094624551764834,0.7545919012647637
3,521,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,cyc,anti,cyc,cyc,False,False,13.334419125395208,26.9337711710332,18.091637607748527,9.478072881026987,17.442966919850008,23.095891414602647,0.6486706878985196
3,206,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,const,cyc,anti,anti,const,False,True,13.335294692836525,23.466582657469637,18.09163760774778,7.613634470296923,17.18866260282758,23.097407941896467,0.9029750049202008
3,827,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,cyc,anti,anti,True,False,13.336372020802893,26.9337711710332,17.30679286431147,7.31566974866867,18.07538730430107,23.09927392867063,0.7685944399896023
3,561,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,anti,False,False,13.338105670991848,21.488453524429936,17.188661214642014,10.22102827090465,17.946131311100327,23.102276698880452,0.757470096458313
3,559,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,cyc,anti,const,cyc,cyc,True,False,13.343020797000742,21.488453524429936,18.07538770680624,11.192306607911176,17.702284315059522,23.11078994685346,0.37310339174671725
3,936,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,cyc,anti,anti,True,True,13.344494502867871,26.933771171033207,17.612421291865438,9.105618262626779,18.07538731948426,23.113342480290736,0.46296602761882255
3,891,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,anti,const,True,False,13.35404811994778,19.44376432759437,17.93043182798378,10.167240672231616,18.075387319495796,23.1298898304692,0.1449554915120146
3,847,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,anti,cyc,cyc,True,False,13.354232624717712,26.93377117103317,17.930431699263846,9.707288679485753,17.17584046115776,23.13020940210496,0.7545912381060838
3,771,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,const,cyc,const,True,False,13.355181673955302,19.44376432759437,17.930431827986624,11.061186894007243,18.075387319496134,23.13185320360335,0.14495549150950993
3,826,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,cyc,cyc,anti,anti,False,True,13.35551196972255,26.933771171033207,17.62691001069749,7.238572601470407,18.091637607748634,23.13242529265375,0.4647275970511444
3,882,duplicated_150,K_2b1+b2,M_b2,K_-2b1-b2,const,const,const,anti,anti,const,cyc,cyc,False,True,13.355818747565408,21.48845352442992,17.946131290108777,11.45960329962501,17.188661162018253,23.13295664746422,0.7574701280905245
