model,valley,pairing,barrier_Z,eta_meV,bias_meV,conductance_generalized_btk,andreev_component,normal_reflection_component
baseline,K_T,s_wave,0.0,0.05,-9.166666666666655,1.0619687329781577,0.061968732978157685,0.0
baseline,K_T,s_wave,0.0,0.05,-8.333333333333329,1.0731295843970214,0.0731295843970213,0.0
baseline,K_T,s_wave,0.0,0.05,-7.5,1.0949519894199753,0.09495198941997529,0.0
baseline,K_T,s_wave,0.0,0.05,-6.666666666666657,1.1089167263425057,0.10891672634250588,0.0
baseline,K_T,s_wave,0.0,0.05,-5.833333333333329,1.1381091386714621,0.13810913867146205,0.0
baseline,K_T,s_wave,0.0,0.05,-5.0,1.2063372195458968,0.20633721954589682,0.0
baseline,K_T,s_wave,0.0,0.05,-4.166666666666657,1.2416743276228215,0.241674327622821,0.0
baseline,K_T,s_wave,0.0,0.05,-3.3333333333333286,1.52770490009914,0.5277049000991406,0.0
baseline,K_T,s_wave,0.0,0.05,-2.5,1.7470433011842128,0.747043301184213,0.0
baseline,K_T,s_wave,0.0,0.05,-1.6666666666666572,2.4007622187010336,1.4007622187010338,0.0
baseline,K_T,s_wave,0.0,0.05,-0.8333333333333286,3.559142043278903,2.5591420432789036,0.0
baseline,K_T,s_wave,0.0,0.05,0.0,4.31606429162028,3.3160642916202803,0.0
baseline,K_T,s_wave,0.0,0.05,0.8333333333333428,3.7822149478234013,2.7822149478234017,0.0
baseline,K_T,s_wave,0.0,0.05,1.6666666666666714,2.7479426646037917,1.7479426646037926,0.0
baseline,K_T,s_wave,0.0,0.05,2.5,2.025399456033589,1.025399456033589,0.0
baseline,K_T,s_wave,0.0,0.05,3.333333333333343,1.6287989183104368,0.6287989183104368,0.0
baseline,K_T,s_wave,0.0,0.05,4.166666666666671,1.4270800455169794,0.4270800455169789,0.0
baseline,K_T,s_wave,0.0,0.05,5.0,1.2417787388869177,0.24177873888691775,0.0
baseline,K_T,s_wave,0.0,0.05,5.833333333333343,1.1727014881588036,0.17270148815880335,0.0
baseline,K_T,s_wave,0.0,0.05,6.666666666666671,1.1269847191098,0.12698471910980008,0.0
baseline,K_T,s_wave,0.0,0.05,7.5,1.0937937152146382,0.09379371521463835,0.0
