pairing,barrier_Z,eta_meV,baseline_zero_bias_conductance,baseline_peak_minus_background,compressed_v3_zero_bias_conductance,compressed_v3_peak_minus_background,delta_zero_bias_conductance,delta_peak_minus_background
nodal_even,0.5,0.2,6.013898823576274,5.252996451921263,6.023287131121285,5.394175813175643,0.009388307545011187,0.14117936125438035
nodal_even,1.0,0.2,4.133686764735172,3.759920720534775,4.139554456950803,4.08899177031222,0.005867692215630882,0.32907104977744517
nodal_even,2.0,0.2,2.2534747058940683,2.2668449891482862,2.2558217827803215,2.7838077274487985,0.002347076886253241,0.5169627383005122
nodal_even,0.0,0.5,6.272226939603461,5.253365267306338,6.443083894809727,5.4283745666538294,0.17085695520626665,0.17500929934749188
nodal_even,0.5,0.5,5.217781551682771,4.456345161997945,5.354467115847781,4.724903666998834,0.13668556416500977,0.2685585050008896
nodal_even,1.0,0.5,3.636113469801731,3.260815004035348,3.721541947404864,3.6696973175163454,0.08542847760313332,0.40888231348099735
nodal_even,2.0,0.5,2.0544453879206923,2.0652848460727538,2.0886167789619456,2.614490968033855,0.03417139104125333,0.5492061219611011
valley_even,0.0,0.05,3.9094343378759793,2.893783134040493,2.366067773198675,1.3571696363005634,-1.5433665646773043,-1.5366134977399295
valley_even,0.5,0.05,3.3275474703007837,2.570106970160083,2.09285421855894,1.4697546265879615,-1.2346932517418439,-1.1003523435721214
valley_even,1.0,0.05,2.4547171689379894,2.0845927243394664,1.6830338865993375,1.6386321120190597,-0.7716832823386519,-0.44596061232040674
valley_even,2.0,0.05,1.5818868675751963,1.5990784785188517,1.2732135546397354,1.8075095974501578,-0.30867331293546085,0.20843111893130617
valley_even,0.0,0.2,2.961156679450913,1.9455249959754606,1.7419033309689849,1.3330296737410838,-1.2192533484819283,-0.6124953222343767
valley_even,0.5,0.2,2.568925343560731,1.8113835889798298,1.5935226647751883,0.9703302351367606,-0.9754026787855428,-0.8410533538430691
valley_even,1.0,0.2,1.9805783397254568,1.6101714784863828,1.3709516654844929,1.326304618794586,-0.609626674240964,-0.2838668596917968
valley_even,2.0,0.2,1.3922313358901826,1.4089593679929358,1.1483806661937965,1.6822790024524106,-0.24385066969638602,0.2733196344594748
valley_even,0.0,0.5,2.410732723834776,1.3952092536459992,1.5261011180961181,1.2223590037990055,-0.8846316057386578,-0.1728502498469937
valley_even,0.5,0.5,2.128586179067821,1.370482132087533,1.4208808944768947,0.7971728885554831,-0.7077052845909262,-0.5733092435320498
valley_even,1.0,0.5,1.705366361917388,1.333391449749833,1.263050559048059,1.2170414760944885,-0.44231580286932903,-0.11634997365534439
valley_even,2.0,0.5,1.282146544766955,1.2963007674121332,1.1052202236192235,1.6369100636334941,-0.17692632114773166,0.34060929622136094
valley_odd,0.0,0.05,3.901416051489325,2.8863485186033744,2.365065614192222,1.3563333715766976,-1.536350437297103,-1.5300151470266767
valley_odd,0.5,0.05,3.32113284119146,2.5642760027350033,2.092052491353779,1.4691187922490794,-1.2290803498376812,-1.095157210485924
valley_odd,1.0,0.05,2.4507080257446625,2.081167228932447,1.6825328070961116,1.6382969232576499,-0.7681752186485509,-0.4428703056747971
valley_odd,2.0,0.05,1.5802832102978652,1.5980584551298904,1.2730131228384451,1.807475054266221,-0.3072700874594201,0.2094165991363306
valley_odd,0.0,0.2,2.9266399402972345,1.9115912698554622,1.7403884490626162,1.3329306424855896,-1.1862514912346183,-0.5786606273698727
valley_odd,0.5,0.2,2.5413119522377867,1.7843530629113693,1.592310759250093,0.9692840959625073,-0.9490011929876938,-0.815068966948862
valley_odd,1.0,0.2,1.9633199701486168,1.593495752495232,1.3701942245313088,1.3257129102781608,-0.593125745617308,-0.26778284221707116
valley_odd,2.0,0.2,1.3853279880594471,1.4026384420790947,1.1480776898125233,1.6821417245938133,-0.23725029824692379,0.27950328251471857
valley_odd,0.0,0.5,2.3803331150394715,1.3653890099499304,1.5249518423124835,1.2224742753656366,-0.855381272726988,-0.14291473458429382
valley_odd,0.5,0.5,2.1042664920315772,1.3467409025380068,1.419961473849987,0.7964185319435451,-0.6843050181815902,-0.5503223705944618
