model,valley,pairing,barrier_Z,eta_meV,zero_bias_conductance,peak_conductance,background_conductance,peak_minus_background,zero_bias_andreev,zero_bias_normal_reflection
baseline,K_T,valley_even,1.0,0.2,2.486733507859017,2.486733507859017,0.4225654630555315,2.064168044803486,1.4867335078590171,0.0
baseline,total,valley_even,1.0,0.2,1.9805783397254568,1.9805783397254568,0.3704068612390741,1.6101714784863828,0.9805783397254569,0.0
baseline,K_B,valley_even,2.0,0.2,2.3433195912627727,2.3433195912627727,-0.11283476361662832,2.456154354879401,1.343319591262773,0.0
baseline,K_T,valley_even,2.0,0.2,1.5946934031436069,1.5946934031436069,0.06301384007132538,1.5316795630722815,0.5946934031436069,0.0
baseline,total,valley_even,2.0,0.2,1.3922313358901826,1.3922313358901826,-0.01672803210275319,1.4089593679929358,0.3922313358901827,0.0
baseline,K_B,valley_even,0.0,0.5,6.571846937769939,6.571846937769939,1.0226145704198952,5.549232367350044,5.571846937769939,0.0
baseline,K_T,valley_even,0.0,0.5,3.5108614865513785,3.5108614865513785,1.0216673771463858,2.489194109404993,2.5108614865513785,0.0
baseline,total,valley_even,0.0,0.5,2.410732723834776,2.410732723834776,1.0155234701887768,1.3952092536459992,1.4107327238347762,0.0
baseline,K_B,valley_even,0.5,0.5,5.457477550215951,5.457477550215951,0.7394857767133989,4.717991773502552,4.457477550215951,0.0
baseline,K_T,valley_even,0.5,0.5,3.0086891892411036,3.0086891892411036,0.7825851149138188,2.226104074327285,2.008689189241103,0.0
baseline,total,valley_even,0.5,0.5,2.128586179067821,2.128586179067821,0.7581040469802881,1.370482132087533,1.1285861790678207,0.0
baseline,K_B,valley_even,1.0,0.5,3.785923468884969,3.785923468884969,0.3147925861536543,3.4711308827313148,2.7859234688849694,0.0
baseline,K_T,valley_even,1.0,0.5,2.2554307432756895,2.2554307432756895,0.42396172156496836,1.831469021710721,1.2554307432756893,0.0
baseline,total,valley_even,1.0,0.5,1.705366361917388,1.705366361917388,0.371974912167555,1.333391449749833,0.7053663619173881,0.0
baseline,K_B,valley_even,2.0,0.5,2.114369387553988,2.114369387553988,-0.10990060440609035,2.224269991960078,1.1143693875539877,0.0
baseline,K_T,valley_even,2.0,0.5,1.5021722973102756,1.5021722973102756,0.06533832821611771,1.4368339690941578,0.5021722973102758,0.0
baseline,total,valley_even,2.0,0.5,1.282146544766955,1.282146544766955,-0.014154222645178039,1.2963007674121332,0.28214654476695517,0.0
baseline,K_B,valley_odd,0.0,0.05,8.295522237844938,8.295522237844938,1.021864429479779,7.27365780836516,7.295522237844939,0.0
baseline,K_T,valley_odd,0.0,0.05,4.14126251436018,4.14126251436018,1.0214046461287407,3.119857868231439,3.1412625143601804,0.0
baseline,total,valley_odd,0.0,0.05,3.901416051489325,3.901416051489325,1.0150675328859506,2.8863485186033744,2.901416051489325,0.0
baseline,K_B,valley_odd,0.5,0.05,6.836417790275951,6.836417790275951,0.7378155127738759,6.098602277502075,5.836417790275951,0.0
baseline,K_T,valley_odd,0.5,0.05,3.513010011488144,3.513010011488144,0.7815921542167835,2.7314178572713605,2.513010011488144,0.0
baseline,total,valley_odd,0.5,0.05,3.32113284119146,3.32113284119146,0.7568568384564566,2.5642760027350033,2.3211328411914605,0.0
baseline,K_B,valley_odd,1.0,0.05,4.64776111892247,4.64776111892247,0.3117421377150209,4.336018981207449,3.6477611189224697,0.0
baseline,K_T,valley_odd,1.0,0.05,2.57063125718009,2.57063125718009,0.42187341634884773,2.148757840831242,1.5706312571800902,0.0
baseline,total,valley_odd,1.0,0.05,2.4507080257446625,2.4507080257446625,0.3695407968122157,2.081167228932447,1.4507080257446625,0.0
baseline,K_B,valley_odd,2.0,0.05,2.459104447568988,2.459104447568988,-0.11433123734383395,2.573435684912822,1.4591044475689878,0.0
baseline,K_T,valley_odd,2.0,0.05,1.6282525028720358,1.6282525028720358,0.06215467848091213,1.5660978243911237,0.628252502872036,0.0
baseline,total,valley_odd,2.0,0.05,1.5802832102978652,1.5802832102978652,-0.0177752448320253,1.5980584551298904,0.5802832102978651,0.0
baseline,K_B,valley_odd,0.0,0.2,7.679227675530371,7.679227675530371,1.0218322082116316,6.657395467318739,6.679227675530371,0.0
baseline,K_T,valley_odd,0.0,0.2,3.9294620640250724,3.9294620640250724,1.0213779539238022,2.90808411010127,2.9294620640250724,0.0
baseline,total,valley_odd,0.0,0.2,2.9266399402972345,2.9266399402972345,1.0150486704417723,1.9115912698554622,1.926639940297234,0.0
baseline,K_B,valley_odd,0.5,0.2,6.343382140424297,6.343382140424297,0.7379239914410564,5.6054581489832405,5.343382140424298,0.0
baseline,K_T,valley_odd,0.5,0.2,3.343569651220058,3.343569651220058,0.7816769872019593,2.5618926640180986,2.3435696512200583,0.0
baseline,total,valley_odd,0.5,0.2,2.5413119522377867,2.5413119522377867,0.7569588893264173,1.7843530629113693,1.5413119522377876,0.0
