dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,1,4,288,-10.730590910069585,14.147982583183273,24.87857349325286,27.05464144030664,-0.2674367171836973,10.463154192885888
Kodak-PCD0992,unrestricted public release,0.0,mild,0.25,0.5,0.02,2,4,288,-9.208493402077867,15.896075131313706,25.10456853339157,26.971841072941316,-0.43632285613619526,8.772170545941671
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,0,4,288,-16.109943624334235,9.058721126406796,25.16866475074103,26.980283997320132,-0.6188533619376929,15.491090262396542
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,1,4,288,-14.427535176441637,10.463270264652502,24.89080544109414,27.03340698845976,-0.2674367171836973,14.16009845925794
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.0,2,4,288,-14.084377989304127,11.027698996433692,25.11207698573782,26.961102505543174,-0.43632285613619526,13.648055133167931
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,0,4,288,-15.144746409851686,10.023718655181362,25.16846506503305,26.98510807508084,-0.6188533619376929,14.525893047913993
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,1,4,288,-14.456171017406328,10.430266447881493,24.88643746528782,27.0400859033449,-0.2674367171836973,14.188734300222631
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.005,2,4,288,-13.163831491571509,11.946116805750533,25.109948297322042,26.962853326820326,-0.43632285613619526,12.727508635435314
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,0,4,288,-15.393579717665911,9.769554503724088,25.163134221390003,26.988302005397998,-0.6188533619376929,14.774726355728218
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,1,4,288,-14.520482056041825,10.362571427946278,24.883053483988103,27.04264427004224,-0.2674367171836973,14.253045338858128
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.01,2,4,288,-15.482579402264728,9.62429586178778,25.10687526405251,26.96524936863457,-0.43632285613619526,15.046256546128532
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,0,4,288,-16.27701245962382,8.885578499675464,25.162590959299283,27.00065377726152,-0.6188533619376929,15.658159097686125
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,1,4,288,-15.615625609142159,9.2629478841107,24.87857349325286,27.05464144030664,-0.2674367171836973,15.348188891958461
Kodak-PCD0992,unrestricted public release,0.0,moderate,0.5,1.0,0.02,2,4,288,-13.34309228342819,11.761476249963382,25.10456853339157,26.971841072941316,-0.43632285613619526,12.906769427291994
