dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed_count,repeat_count_per_seed,sample_count_per_seed,mean_psnr_gain_over_fixed_lowres,gain_ci95_half_width,gain_ci_low,gain_ci_high,mean_degradation_vs_clean_db,degradation_ci95_half_width,degradation_ci_low,degradation_ci_high,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,failure_threshold_gain_db,pass_state
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.005,3,4,288,-16.44112665217288,0.5746247453493472,-17.015751397522227,-15.866501906823533,16.000255673753685,0.3823534012724902,15.617902272481194,16.382609075026174,8.613823623708091,25.05495027588097,26.996015768415358,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.01,3,4,288,-16.288963524557207,0.1495542455669026,-16.43851777012411,-16.139409278990303,15.848092546138012,0.19758832022656136,15.650504225911451,16.045680866364574,8.762057465253,25.0510209898102,26.998731881358268,0.0,fail
Kodak-PCD0992,unrestricted public release,0.2,severe,1.0,2.0,0.02,3,4,288,-16.477572852913255,0.392311261902698,-16.869884114815953,-16.085261591010557,16.03670187449406,0.2176883415769484,15.819013532917111,16.25439021607101,8.571004809067984,25.048577661981238,27.009045430169824,0.0,fail
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.0,3,1,72,2.3951466919836326,0.28534508572947365,2.109801606254159,2.6804917777131063,0.0,0.0,0.0,0.0,23.260428580637022,20.86528188865339,23.168884635205547,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.005,3,1,72,2.390313692706509,0.2883284420624097,2.1019852506440992,2.6786421347689187,0.00483299927712381,0.00804854907757209,-0.0032155498004482795,0.0128815483546959,23.251480655121792,20.861166962415282,23.173057446002673,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.01,3,1,72,2.369790575054495,0.29660024356062503,2.07319033149387,2.6663908186151204,0.02535611692913727,0.018304862979812837,0.007051253949324432,0.043660979908950105,23.227625269688176,20.85783469463368,23.179267572076935,0.0,pass
UCID,1338 public citation subset,0.0,clean,0.0,0.0,0.02,3,1,72,2.303680657157361,0.33573691178015114,1.9679437453772097,2.639417568937512,0.09146603482627169,0.06600949894946383,0.025456535876807865,0.15747553377573553,23.154539817562252,20.85085916040489,23.186917276648284,0.0,pass
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.0,3,4,288,-8.305629442203829,2.1266090235001784,-10.432238465704007,-6.179020418703651,10.700776134187462,2.0042482841758953,8.696527850011567,12.705024418363358,12.559652446449556,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.005,3,4,288,-7.01626438118392,2.3507068814096606,-9.36697126259358,-4.665557499774259,9.411411073167551,2.065964766266874,7.345446306900677,11.477375839434426,13.844902581231361,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.01,3,4,288,-8.826003885383265,1.865351451782987,-10.691355337166252,-6.960652433600279,11.221150577366899,1.654443493575899,9.566707083791,12.875594070942798,12.031830809250415,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.0,mild,0.25,0.5,0.02,3,4,288,-7.283046174150809,3.3446971441108557,-10.627743318261665,-3.9383490300399533,9.678192866134443,3.1450235747536466,6.533169291380797,12.823216440888089,13.567812986254081,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.0,3,4,288,-10.618022436611836,1.3337314312918365,-11.951753867903673,-9.28429100532,13.01316912859547,1.118483650244945,11.894685478350524,14.131652778840415,10.24725945204155,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.005,3,4,288,-9.991985940311016,1.2255244536908891,-11.217510394001906,-8.766461486620127,12.387132632294646,1.1452590761946735,11.241873556099973,13.53239170848932,10.869181022104266,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.01,3,4,288,-10.868332878628765,0.917851481367797,-11.786184359996563,-9.950481397260967,13.263479570612398,0.6778436833557483,12.58563588725665,13.941323253968147,9.989501816004912,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.0,moderate,0.5,1.0,0.02,3,4,288,-10.665760722458025,1.7005736183462492,-12.366334340804274,-8.965187104111775,13.060907414441658,1.6212872100337619,11.439620204407897,14.68219462447542,10.185098437946865,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.0,3,4,288,-12.076321190136865,0.35887116809904607,-12.435192358235911,-11.717450022037818,14.471467882120498,0.13713175289774754,14.33433612922275,14.608599635018246,8.788960698516522,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.005,3,4,288,-12.352084420863227,0.619788057304669,-12.971872478167896,-11.732296363558557,14.747231112846857,0.5191477627249348,14.228083350121922,15.26637887557179,8.509082541552056,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.01,3,4,288,-12.123960340102725,0.502958922213212,-12.626919262315937,-11.621001417889513,14.519107032086355,0.5957908885290529,13.923316143557303,15.114897920615407,8.733874354530956,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.0,severe,1.0,2.0,0.02,3,4,288,-12.032675261894449,0.8315145737152569,-12.864189835609706,-11.201160688179192,14.427821953878082,0.5462111052045764,13.881610848673505,14.97403305908266,8.81818389851044,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.0,3,4,288,-4.728884103502328,1.9562465429800056,-6.6851306464823335,-2.772637560522323,7.124030795485962,2.039271108095316,5.084759687390646,9.163301903581278,16.136397785151058,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.005,3,4,288,-5.104749611064047,1.9082266432673305,-7.012976254331377,-3.196522967796717,7.49989630304768,1.9105697321502988,5.589326570897381,9.41046603519798,15.756417351351232,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.01,3,4,288,-5.52720163253871,1.4350446732160371,-6.962246305754747,-4.092156959322673,7.922348324522344,1.6301423087486864,6.292206015773657,9.55249063327103,15.33063306209497,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.05,clean,0.0,0.0,0.02,3,4,288,-5.6067443735446405,1.0136513899875415,-6.620395763532182,-4.593092983557099,8.001891065528275,1.039353329901861,6.962537735626414,9.041244395430136,15.244114786860251,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.05,mild,0.25,0.5,0.0,3,4,288,-9.275097279800702,2.5694943465690288,-11.84459162636973,-6.705602933231674,11.670243971784336,2.48013611732753,9.190107854456805,14.150380089111867,11.590184608852686,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.05,mild,0.25,0.5,0.005,3,4,288,-8.957248449562456,2.0566567605289046,-11.01390521009136,-6.900591689033552,11.352395141546088,1.922825512797928,9.42956962874816,13.275220654344016,11.903918512852826,20.861166962415282,23.173057446002673,0.0,fail
UCID,1338 public citation subset,0.05,mild,0.25,0.5,0.01,3,4,288,-8.476744867748538,1.6487385496203995,-10.125483417368937,-6.828006318128138,10.87189155973217,1.4325137918833248,9.439377767848844,12.304405351615495,12.381089826885145,20.85783469463368,23.179267572076935,0.0,fail
UCID,1338 public citation subset,0.05,mild,0.25,0.5,0.02,3,4,288,-8.574640014431862,2.0406798479509694,-10.615319862382831,-6.5339601664808935,10.969786706415496,1.819857667919879,9.149929038495618,12.789644374335374,12.276219145973029,20.85085916040489,23.186917276648284,0.0,fail
UCID,1338 public citation subset,0.05,moderate,0.5,1.0,0.0,3,4,288,-11.004066970521622,0.43359935796955706,-11.43766632849118,-10.570467612552065,13.399213662505256,0.17646262632670007,13.222751036178556,13.575676288831955,9.861214918131763,20.86528188865339,23.168884635205547,0.0,fail
UCID,1338 public citation subset,0.05,moderate,0.5,1.0,0.005,3,4,288,-11.294712774995887,1.1086422163737137,-12.4033549913696,-10.186070558622173,13.689859466979518,1.119867646440462,12.569991820539057,14.80972711341998,9.566454187419398,20.861166962415282,23.173057446002673,0.0,fail
