model,valley,barrier_Z,btk_eta_meV,alpha_eta_mix,observable,pairing_count,pearson_r,spearman_rho
baseline,K_B,2.0,0.05,0.25,zero_bias_andreev,4,-0.9040314951754133,-0.9486832980505139
baseline,K_B,2.0,0.05,0.5,zero_bias_conductance,4,-0.684607782237492,-0.7378647873726218
baseline,K_B,2.0,0.05,0.5,peak_minus_background,4,-0.5062963754253693,0.316227766016838
baseline,K_B,2.0,0.05,0.5,zero_bias_andreev,4,-0.6846077822374851,-0.7378647873726218
baseline,K_B,2.0,0.05,0.75,zero_bias_conductance,4,-0.47992253518170874,-0.7378647873726218
baseline,K_B,2.0,0.05,0.75,peak_minus_background,4,-0.25616196524505996,0.316227766016838
baseline,K_B,2.0,0.05,0.75,zero_bias_andreev,4,-0.4799225351816986,-0.7378647873726218
baseline,K_B,2.0,0.05,1.0,zero_bias_conductance,4,-0.3409892376757587,-0.7378647873726218
baseline,K_B,2.0,0.05,1.0,peak_minus_background,4,-0.09799819481899522,0.316227766016838
baseline,K_B,2.0,0.05,1.0,zero_bias_andreev,4,-0.34098923767574685,-0.7378647873726218
baseline,K_B,2.0,0.2,0.0,zero_bias_conductance,4,-0.9270951684932247,-0.7745966692414834
baseline,K_B,2.0,0.2,0.0,peak_minus_background,4,-0.9597004552534315,-0.7745966692414834
baseline,K_B,2.0,0.2,0.0,zero_bias_andreev,4,-0.9270951684932244,-0.7745966692414834
baseline,K_B,2.0,0.2,0.25,zero_bias_conductance,4,-0.9064509727674049,-0.9486832980505139
baseline,K_B,2.0,0.2,0.25,peak_minus_background,4,-0.9090492640780996,-0.9486832980505139
baseline,K_B,2.0,0.2,0.25,zero_bias_andreev,4,-0.9064509727674044,-0.9486832980505139
baseline,K_B,2.0,0.2,0.5,zero_bias_conductance,4,-0.6943735228462152,-0.7378647873726218
baseline,K_B,2.0,0.2,0.5,peak_minus_background,4,-0.67079399869217,-0.7378647873726218
baseline,K_B,2.0,0.2,0.5,zero_bias_andreev,4,-0.6943735228462146,-0.7378647873726218
baseline,K_B,2.0,0.2,0.75,zero_bias_conductance,4,-0.49332826574964844,-0.7378647873726218
baseline,K_B,2.0,0.2,0.75,peak_minus_background,4,-0.4556750930153046,-0.7378647873726218
baseline,K_B,2.0,0.2,0.75,zero_bias_andreev,4,-0.49332826574964783,-0.7378647873726218
baseline,K_B,2.0,0.2,1.0,zero_bias_conductance,4,-0.35609393660345745,-0.7378647873726218
baseline,K_B,2.0,0.2,1.0,peak_minus_background,4,-0.3113731538284139,-0.7378647873726218
baseline,K_B,2.0,0.2,1.0,zero_bias_andreev,4,-0.35609393660345684,-0.7378647873726218
baseline,K_B,2.0,0.5,0.0,zero_bias_conductance,4,-0.8887766153010953,-0.7745966692414834
baseline,K_B,2.0,0.5,0.0,peak_minus_background,4,-0.9093829716577658,-0.7745966692414834
baseline,K_B,2.0,0.5,0.0,zero_bias_andreev,4,-0.888776615301096,-0.7745966692414834
baseline,K_B,2.0,0.5,0.25,zero_bias_conductance,4,-0.8933288198258847,-0.9486832980505139
baseline,K_B,2.0,0.5,0.25,peak_minus_background,4,-0.8995238451122645,-0.9486832980505139
baseline,K_B,2.0,0.5,0.25,zero_bias_andreev,4,-0.893328819825885,-0.9486832980505139
baseline,K_B,2.0,0.5,0.5,zero_bias_conductance,4,-0.7055793957041858,-0.7378647873726218
baseline,K_B,2.0,0.5,0.5,peak_minus_background,4,-0.6981408541296535,-0.7378647873726218
baseline,K_B,2.0,0.5,0.5,zero_bias_andreev,4,-0.7055793957041853,-0.7378647873726218
baseline,K_B,2.0,0.5,0.75,zero_bias_conductance,4,-0.5186657768232655,-0.7378647873726218
baseline,K_B,2.0,0.5,0.75,peak_minus_background,4,-0.5034216758006809,-0.7378647873726218
baseline,K_B,2.0,0.5,0.75,zero_bias_andreev,4,-0.5186657768232649,-0.7378647873726218
baseline,K_B,2.0,0.5,1.0,zero_bias_conductance,4,-0.388966828304155,-0.7378647873726218
baseline,K_B,2.0,0.5,1.0,peak_minus_background,4,-0.36960451997342936,-0.7378647873726218
baseline,K_B,2.0,0.5,1.0,zero_bias_andreev,4,-0.38896682830415424,-0.7378647873726218
baseline,K_T,0.0,0.05,0.0,zero_bias_conductance,4,-0.9544630626707925,-0.7745966692414834
baseline,K_T,0.0,0.05,0.0,peak_minus_background,4,-0.9582727967668001,-0.7745966692414834
baseline,K_T,0.0,0.05,0.0,zero_bias_andreev,4,-0.9544630626707937,-0.7745966692414834
baseline,K_T,0.0,0.05,0.25,zero_bias_conductance,4,-0.9026217459233192,-0.9486832980505139
baseline,K_T,0.0,0.05,0.25,peak_minus_background,4,-0.9025059020503553,-0.9486832980505139
baseline,K_T,0.0,0.05,0.25,zero_bias_andreev,4,-0.9026217459233193,-0.9486832980505139
baseline,K_T,0.0,0.05,0.5,zero_bias_conductance,4,-0.6647291590272653,-0.7378647873726218
baseline,K_T,0.0,0.05,0.5,peak_minus_background,4,-0.6612864473136946,-0.7378647873726218
baseline,K_T,0.0,0.05,0.5,zero_bias_andreev,4,-0.6647291590272643,-0.7378647873726218
baseline,K_T,0.0,0.05,0.75,zero_bias_conductance,4,-0.45043347732583416,-0.7378647873726218
baseline,K_T,0.0,0.05,0.75,peak_minus_background,4,-0.44524602759459725,-0.7378647873726218
baseline,K_T,0.0,0.05,0.75,zero_bias_andreev,4,-0.450433477325833,-0.7378647873726218
baseline,K_T,0.0,0.05,1.0,zero_bias_conductance,4,-0.30680679009283424,-0.7378647873726218
baseline,K_T,0.0,0.05,1.0,peak_minus_background,4,-0.30076142810864726,-0.7378647873726218
baseline,K_T,0.0,0.05,1.0,zero_bias_andreev,4,-0.30680679009283274,-0.7378647873726218
baseline,K_T,0.0,0.2,0.0,zero_bias_conductance,4,-0.9097536981476768,-0.7745966692414834
baseline,K_T,0.0,0.2,0.0,peak_minus_background,4,-0.9106650321234,-0.7745966692414834
baseline,K_T,0.0,0.2,0.0,zero_bias_andreev,4,-0.9097536981476773,-0.7745966692414834
baseline,K_T,0.0,0.2,0.25,zero_bias_conductance,4,-0.895114487794229,-0.9486832980505139
baseline,K_T,0.0,0.2,0.25,peak_minus_background,4,-0.8953440679512982,-0.9486832980505139
baseline,K_T,0.0,0.2,0.25,zero_bias_andreev,4,-0.8951144877942289,-0.9486832980505139
baseline,K_T,0.0,0.2,0.5,zero_bias_conductance,4,-0.6905960797868533,-0.7378647873726218
baseline,K_T,0.0,0.2,0.5,peak_minus_background,4,-0.6901943187483509,-0.7378647873726218
baseline,K_T,0.0,0.2,0.5,zero_bias_andreev,4,-0.6905960797868527,-0.7378647873726218
baseline,K_T,0.0,0.2,0.75,zero_bias_conductance,4,-0.4946552452318881,-0.7378647873726218
baseline,K_T,0.0,0.2,0.75,peak_minus_background,4,-0.49389765750995784,-0.7378647873726218
baseline,K_T,0.0,0.2,0.75,zero_bias_andreev,4,-0.49465524523188714,-0.7378647873726218
baseline,K_T,0.0,0.2,1.0,zero_bias_conductance,4,-0.36041797467332315,-0.7378647873726218
baseline,K_T,0.0,0.2,1.0,peak_minus_background,4,-0.3594748572544869,-0.7378647873726218
baseline,K_T,0.0,0.2,1.0,zero_bias_andreev,4,-0.36041797467332215,-0.7378647873726218
baseline,K_T,0.0,0.5,0.0,zero_bias_conductance,4,-0.8089243591184788,-0.7745966692414834
baseline,K_T,0.0,0.5,0.0,peak_minus_background,4,-0.808851952378334,-0.7745966692414834
baseline,K_T,0.0,0.5,0.0,zero_bias_andreev,4,-0.8089243591184785,-0.7745966692414834
baseline,K_T,0.0,0.5,0.25,zero_bias_conductance,4,-0.8499165342991662,-0.9486832980505139
baseline,K_T,0.0,0.5,0.25,peak_minus_background,4,-0.8498313174583048,-0.9486832980505139
baseline,K_T,0.0,0.5,0.25,zero_bias_andreev,4,-0.849916534299166,-0.9486832980505139
baseline,K_T,0.0,0.5,0.5,zero_bias_conductance,4,-0.7025928829450637,-0.7378647873726218
baseline,K_T,0.0,0.5,0.5,peak_minus_background,4,-0.7025150092909157,-0.7378647873726218
baseline,K_T,0.0,0.5,0.5,zero_bias_andreev,4,-0.7025928829450634,-0.7378647873726218
baseline,K_T,0.0,0.5,0.75,zero_bias_conductance,4,-0.5412855873619536,-0.7378647873726218
baseline,K_T,0.0,0.5,0.75,peak_minus_background,4,-0.5412199661106595,-0.7378647873726218
baseline,K_T,0.0,0.5,0.75,zero_bias_andreev,4,-0.5412855873619534,-0.7378647873726218
baseline,K_T,0.0,0.5,1.0,zero_bias_conductance,4,-0.4260598918120614,-0.7378647873726218
baseline,K_T,0.0,0.5,1.0,peak_minus_background,4,-0.4260038847540157,-0.7378647873726218
baseline,K_T,0.0,0.5,1.0,zero_bias_andreev,4,-0.42605989181206133,-0.7378647873726218
baseline,K_T,0.5,0.05,0.0,zero_bias_conductance,4,-0.9544630626707933,-0.7745966692414834
baseline,K_T,0.5,0.05,0.0,peak_minus_background,4,-0.9592471146893236,-0.7745966692414834
baseline,K_T,0.5,0.05,0.0,zero_bias_andreev,4,-0.9544630626707928,-0.7745966692414834
baseline,K_T,0.5,0.05,0.25,zero_bias_conductance,4,-0.9026217459233202,-0.9486832980505139
baseline,K_T,0.5,0.05,0.25,peak_minus_background,4,-0.9024499608274034,-0.9486832980505139
baseline,K_T,0.5,0.05,0.25,zero_bias_andreev,4,-0.9026217459233188,-0.9486832980505139
