dataset_name,dataset_version,phase_noise_sigma_rad,misalignment_label,shift_sigma_px,rotation_sigma_deg,wavelength_drift_fraction,seed,repeat_count,sample_count,mean_psnr_gain_over_fixed_lowres,mean_method_psnr_lowres,mean_fixed_psnr_lowres,mean_guided_psnr_lowres,clean_mean_psnr_gain_over_fixed_lowres,degradation_vs_clean_db
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,0,4,288,-15.536026279911747,9.632638470829283,25.16866475074103,26.980283997320132,-1.13114415126351,14.404882128648236
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,1,4,288,-16.229378673862787,8.661426767231353,24.89080544109414,27.03340698845976,-0.9246579978410665,15.30472067602172
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.0,2,4,288,-16.16011812392037,8.95195886181745,25.11207698573782,26.961102505543174,-1.2693915232595672,14.890726600660802
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,0,4,288,-15.756245439068383,9.412219625964665,25.16846506503305,26.98510807508084,-1.13114415126351,14.625101287804874
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,1,4,288,-14.696758463975279,10.189679001312543,24.88643746528782,27.0400859033449,-0.9246579978410665,13.772100466134212
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.005,2,4,288,-14.88152774620981,10.228420551112231,25.109948297322042,26.962853326820326,-1.2693915232595672,13.612136222950243
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,0,4,288,-15.840661761334978,9.322472460055021,25.163134221390003,26.988302005397998,-1.13114415126351,14.709517610071469
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,1,4,288,-16.001462326002624,8.881591157985483,24.883053483988103,27.04264427004224,-0.9246579978410665,15.076804328161558
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.01,2,4,288,-15.599548402086135,9.507326861966375,25.10687526405251,26.96524936863457,-1.2693915232595672,14.330156878826568
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,0,4,288,-15.274110826559207,9.888480132740078,25.162590959299283,27.00065377726152,-1.13114415126351,14.142966675295696
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,1,4,288,-15.622201040622453,9.256372452630407,24.87857349325286,27.05464144030664,-0.9246579978410665,14.697543042781387
Kodak-PCD0992,unrestricted public release,0.1,severe,1.0,2.0,0.02,2,4,288,-15.184864832834693,9.919703700556878,25.10456853339157,26.971841072941316,-1.2693915232595672,13.915473309575125
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,0,4,288,-13.500561684441832,11.668103066299198,25.16866475074103,26.980283997320132,-1.13114415126351,12.369417533178321
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,1,4,288,-14.859357493693889,10.031447947400247,24.89080544109414,27.03340698845976,-0.9246579978410665,13.934699495852822
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.0,2,4,288,-13.77856745824695,11.333509527490868,25.11207698573782,26.961102505543174,-1.2693915232595672,12.509175934987383
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,0,4,288,-13.583411741500559,11.58505332353249,25.16846506503305,26.98510807508084,-1.13114415126351,12.45226759023705
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,1,4,288,-15.140942503234918,9.745494962052904,24.88643746528782,27.0400859033449,-0.9246579978410665,14.216284505393851
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.005,2,4,288,-14.069156082402312,11.04079221491973,25.109948297322042,26.962853326820326,-1.2693915232595672,12.799764559142744
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,0,4,288,-13.496538502456302,11.6665957189337,25.163134221390003,26.988302005397998,-1.13114415126351,12.36539435119279
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,1,4,288,-15.087071374069094,9.795982109919011,24.883053483988103,27.04264427004224,-0.9246579978410665,14.162413376228027
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.01,2,4,288,-14.094377011125243,11.012498252927267,25.10687526405251,26.96524936863457,-1.2693915232595672,12.824985487865675
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,0,4,288,-12.747163727136407,12.415427232162877,25.162590959299283,27.00065377726152,-1.13114415126351,11.616019575872897
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,1,4,288,-14.542298081974755,10.336275411278105,24.87857349325286,27.05464144030664,-0.9246579978410665,13.617640084133688
Kodak-PCD0992,unrestricted public release,0.2,clean,0.0,0.0,0.02,2,4,288,-14.121272345449691,10.98329618794188,25.10456853339157,26.971841072941316,-1.2693915232595672,12.851880822190124
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,0,4,288,-13.882267621416835,11.286397129324195,25.16866475074103,26.980283997320132,-1.13114415126351,12.751123470153324
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,1,4,288,-15.157318245890629,9.73348719520351,24.89080544109414,27.03340698845976,-0.9246579978410665,14.232660248049562
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.0,2,4,288,-14.718406899410414,10.393670086327404,25.11207698573782,26.961102505543174,-1.2693915232595672,13.449015376150847
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,0,4,288,-14.40785081819694,10.76061424683611,25.16846506503305,26.98510807508084,-1.13114415126351,13.276706666933428
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,1,4,288,-15.390569329148187,9.495868136139634,24.88643746528782,27.0400859033449,-0.9246579978410665,14.46591133130712
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.005,2,4,288,-14.199642764672365,10.910305532649677,25.109948297322042,26.962853326820326,-1.2693915232595672,12.930251241412797
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,0,4,288,-14.17272525145618,10.99040896993382,25.163134221390003,26.988302005397998,-1.13114415126351,13.04158110019267
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,1,4,288,-15.677692759907712,9.205360724080391,24.883053483988103,27.04264427004224,-0.9246579978410665,14.753034762066646
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.01,2,4,288,-14.955381230591481,10.151494033461027,25.10687526405251,26.96524936863457,-1.2693915232595672,13.685989707331913
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,0,4,288,-14.301580352604061,10.861010606695224,25.162590959299283,27.00065377726152,-1.13114415126351,13.17043620134055
Kodak-PCD0992,unrestricted public release,0.2,mild,0.25,0.5,0.02,1,4,288,-15.298869486838337,9.579704006414522,24.87857349325286,27.05464144030664,-0.9246579978410665,14.37421148899727
