ac1_pattern,bc1_pattern,ac2_pattern,bc2_pattern,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
cyc,const,const,const,10.90801225725135,18.97242689250041,18.02073898177952,8.928492095867202,14.930564946518023,18.893231439143413,3.090174035261496
anti,cyc,const,cyc,10.9593883408189,1.6725877341388475,15.85574726336368,5.121196057097643,17.173008710664252,18.982217426176316,1.317261447300572
const,anti,cyc,anti,11.571329719542772,17.11225481242387,18.020220165708157,5.378948476594294,14.960153691349749,20.04213098537981,3.0600664743584076
anti,const,cyc,cyc,11.576561802707023,16.37329358732604,15.064654413837697,2.655774026536348,17.064807379132844,20.051193219249715,2.000152965295147
anti,const,cyc,anti,11.577108015909845,16.426220238686973,15.10046270168627,2.639378339521865,17.16520501749513,20.05213928826877,2.064742315808859
const,anti,cyc,cyc,11.660535383767174,17.130265032433066,17.903557533572652,5.396156362382418,15.23687038206973,20.196639728139402,2.666687151502922
const,anti,cyc,const,11.663372200534193,16.20622969638864,18.020131704253266,6.139755733662202,15.238386053781708,20.201553238911643,2.7817456504715583
const,cyc,cyc,anti,11.681842391651566,17.05710344030182,15.091358195859181,3.7484287281158264,17.166095392155256,20.233544548352437,2.0747371962960752
anti,const,const,cyc,11.687601091377156,15.518786391434794,15.062432110964703,3.4763457091247645,17.176045101296918,20.243518908862697,2.1136129903322143
anti,const,const,anti,11.69756697378599,15.573492404073143,15.097911284640748,3.4589417083934935,17.296065293082417,20.260780323537055,2.1981540084416693
anti,const,anti,anti,11.77612542201967,16.392308156698434,15.26180600111147,2.6271231912729465,17.29565418481364,20.396847547241556,2.033848183702169
anti,const,anti,cyc,11.778852118928247,16.339315160337684,15.210976959758888,2.6433614594347077,17.176211862499102,20.401570324824053,1.9652349027402138
const,anti,anti,anti,11.825059401755096,17.217540985994667,17.903340377915868,5.358816685394368,14.991596407515361,20.48160368635986,2.911743970400506
anti,const,cyc,const,11.848808893353658,19.700861358835887,15.100280111351307,3.4620985188026934,17.06403412294921,20.522739012462498,1.9637540115979029
const,cyc,cyc,cyc,11.886802472555555,17.074812591067534,14.927995808398455,3.768722287062522,17.062718747085647,20.588545822001574,2.134722938687192
const,cyc,cyc,const,11.887544282914048,16.172067787777976,15.08892125310463,4.704156647080805,17.06192270999293,20.58983067523207,1.9730014568883014
const,anti,anti,const,11.893657068335964,16.315120450003157,17.902520865870084,6.119243512204398,15.298979650799128,20.600418330158593,2.6035412150709565
const,cyc,anti,anti,11.900155939264469,17.16259500111802,15.056161081412567,3.730454108709468,17.294543369738033,20.611674704798595,2.2383822883254663
const,anti,anti,cyc,11.91465758512064,17.23548450450634,17.741804845510995,5.375930291131829,15.29732192693047,20.63679229221485,2.4444829185805244
anti,const,const,const,11.948656870795398,18.945416836476586,15.097730730162581,4.294840873663564,17.17514262788888,20.695680782424585,2.0774118977263
const,anti,const,anti,11.948828116698444,20.44898275147674,18.020528879961844,6.524535351031606,14.992180898810613,20.69597738902925,3.0283479811512315
const,cyc,const,anti,12.013276349454904,20.399708036794415,15.091736765045288,4.827122444277882,17.294889266624857,20.80760500262146,2.2031525015795683
const,anti,const,const,12.016557855630165,19.64487193698566,18.02047332302617,7.305221850305789,15.299748670208452,20.813288738042363,2.7207246528177187
const,anti,const,cyc,12.041486470215366,20.465082749603205,17.905281666052343,6.54247483179682,15.298089341948396,20.856466365066236,2.6071923241039467
anti,const,anti,const,12.045316515661202,19.67062370141766,15.261559401638324,3.4489077669782517,17.175312797340084,20.863100198373722,1.9137533957017592
const,cyc,anti,const,12.086377002033664,16.28110370619173,15.053983412870114,4.685974882904714,17.17126638636867,20.934219046954315,2.1172829734985577
const,cyc,anti,cyc,12.110651047348373,17.180238016079937,14.920572007267554,3.750631591896751,17.172186031760322,20.97626292674462,2.2516140244927687
const,cyc,const,const,12.167716983571863,19.614760261395876,15.089297984023824,5.78085641585519,17.17104025106452,21.075104027665187,2.0817422670406973
const,cyc,const,cyc,12.187001215348202,20.415525740518166,14.928272793547826,4.84761777577648,17.17196319366938,21.108505296886744,2.2436904001215545
const,const,cyc,anti,12.914966432598323,24.367194737384615,18.02047193825131,5.851939969946931,17.165828955629546,22.369378039306866,0.8546429826217619
const,const,cyc,cyc,13.04189357297246,24.329014454307767,17.90904414216137,5.871748997927868,17.06535551330507,22.589222295294302,0.8436886288562988
const,const,anti,anti,13.057773636483407,24.44473650404578,17.905836782920282,5.830923430383076,17.294698617922993,22.616727372122682,0.6111381649972891
const,const,anti,cyc,13.182745982074936,24.406612014773224,17.748558880073148,5.850650814383103,17.175208582375916,22.833185824228263,0.5733502976972318
const,const,const,anti,13.29891039676672,26.86882981460061,18.020675286475505,7.0507861069621205,17.29506116651807,23.034388492505936,0.7256141199574344
const,const,const,cyc,13.395651032657769,26.832385287424543,17.910764456717605,7.070778842647691,17.174995821248174,23.201948189025753,0.7357686354694302
const,const,cyc,const,13.475837602082857,26.776316558031915,18.020398233395117,6.752820320386014,17.064582166105545,23.340835401354656,0.9558160672895717
const,const,anti,const,13.592484518150671,26.850468589899016,17.905079452663298,6.731811804240869,17.174310576850793,23.542873786530333,0.7307688758125046
const,const,const,const,13.801063370245055,29.17253241785952,18.02063435013962,7.948207066690877,17.17409443920525,23.904142955742195,0.8465399109343714
