ac7_first_pattern,bc7_first_pattern,ac7_second_pattern,bc7_second_pattern,ac7_second_conjugated,bc7_second_conjugated,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV,valley_window_gap_meV
anti,cyc,anti,cyc,True,False,8.758444479377511,0.01691553199649931,16.348657169826744,5.581583309718102,14.922545929876849,15.170070833552995,1.4261112399498952
anti,const,anti,anti,False,False,8.762298994557854,5.597590843339853,15.049095508958779,3.353963053464297,15.038674142418445,15.176747049683891,0.01042136654033321
anti,cyc,cyc,const,True,True,8.76280204405276,5.546532815183378,15.048114908400164,3.5647140983357475,14.920275242139898,15.177618356967793,0.12783966626026633
anti,cyc,const,const,True,True,8.764033993441041,8.00690909063308,14.946343061646703,4.275127580482818,15.64403481459391,15.179752155900648,0.6976917529472075
cyc,cyc,cyc,cyc,True,True,8.764314138254903,0.01119006272509182,16.361575247188462,8.22910102789164,14.919781877309639,15.180237380951734,1.4417933698788232
cyc,cyc,const,cyc,False,False,8.766487070911673,5.5810512614200505,15.706712388388036,8.157611138662318,15.693173953427607,15.184001010714683,0.013538434960429058
const,const,anti,anti,True,False,8.767053181766682,7.872260519566119,14.88119054176008,4.991856954445128,14.983676484851726,15.184981543478276,0.10248594309164538
anti,cyc,const,const,False,True,8.768623403435043,7.980724032418358,14.943388829781503,4.272843355879981,15.715166831363197,15.187701247187023,0.7717780015816942
cyc,cyc,const,cyc,True,True,8.770300767265184,5.519490659105619,15.698024194794398,8.077939311254624,15.617297405771382,15.19060652656361,0.08072678902301611
anti,const,anti,anti,True,False,8.771759142779311,5.608282616704322,15.029003745400217,3.909689824587723,14.995520958443937,15.193132507050587,0.03348278695628082
const,cyc,cyc,cyc,False,True,8.778018537567073,5.753689690686315,15.696071120530853,7.170512755511317,15.133925225969715,15.203974096847624,0.5621458945611373
cyc,const,anti,anti,False,True,8.783000261260321,5.716056127458206,15.051480685960836,5.373698225984772,15.04060091022299,15.212602695393599,0.010879775737846487
cyc,const,anti,anti,True,False,8.783317907106184,5.718725550298686,15.030958947288534,5.434493979965267,14.989510593391037,15.21315287413745,0.041448353897497014
anti,const,anti,anti,False,True,8.787263281700078,5.605790686141274,15.049600467798138,3.7334617923807008,15.048779906802405,15.219986463388963,0.0008205609957325777
const,const,anti,anti,True,True,8.789923621164045,7.877982253916805,14.881170866172884,5.404868294539526,14.991126914783658,15.224594306505935,0.10995604861077446
cyc,cyc,cyc,cyc,False,True,8.793617950412775,0.013209629790473798,16.434597110608838,8.536797942088931,14.92142978310822,15.230993072464624,1.5131673275006179
anti,const,anti,anti,True,True,8.79896810021904,5.616538119938976,15.029455279176437,4.301015170114187,15.004990392290757,15.240259803757182,0.024464886885679604
anti,cyc,cyc,const,False,False,8.803246201921437,5.490838451125475,15.068858999251622,3.936115330801837,14.923980733541129,15.247669693265676,0.1448782657104939
const,cyc,cyc,cyc,False,False,8.804503969414645,5.763358106219512,15.691800912464455,7.3775856312531145,15.132620209555755,15.24984821046802,0.5591807029086997
cyc,cyc,cyc,cyc,True,False,8.80609210793451,0.013856737101075822,16.35205461099876,8.439031449494456,14.91972418048856,15.252598947073885,1.4323304305102003
cyc,cyc,const,cyc,True,False,8.813702749494155,5.525198959837624,15.685222795133926,8.258862801681595,15.62030445209725,15.265780964933382,0.06491834303667687
anti,cyc,cyc,anti,False,True,8.815783885052797,0.01542910870196934,15.0545084302989,2.605133623455174,14.989680542118238,15.26938559745839,0.06482788818066254
anti,cyc,cyc,anti,False,False,8.82156673654835,0.012558741163580578,15.054010393361867,2.096986337830563,14.944078345336631,15.279401790061316,0.10993204802523593
anti,cyc,cyc,const,False,True,8.821713875447983,5.537216245352456,15.069505496010303,4.136606693330108,14.924098958315229,15.27965664211125,0.14540653769507372
cyc,const,anti,anti,True,True,8.836069094252306,5.72693124525604,15.031415108335457,5.845469747658753,14.998959909532621,15.304520610434102,0.032455198802836094
cyc,cyc,cyc,cyc,False,False,8.836698770995675,0.01622173439040253,16.426110329959673,8.745976214436565,14.921567835136827,15.305611242545963,1.5045424948228465
cyc,const,cyc,anti,True,False,8.840537987043058,5.610075487997179,15.031023533165632,6.604047987373156,14.97372057101774,15.312260959801268,0.05730296214789199
cyc,const,cyc,anti,False,False,8.868241994765736,5.5976368261965135,15.050674330778449,6.887784704544203,15.011219851133374,15.360245708750224,0.03945447964507487
const,cyc,const,const,False,False,8.888105988403975,14.33362474487992,14.89697838592667,5.601871207182895,15.109186153907505,15.394651154972879,0.21220776798083563
const,cyc,const,const,True,False,8.888392461522944,14.222930448045751,14.904162797502657,5.654826245259252,15.033937820270038,15.395147340969935,0.1297750227673813
cyc,const,cyc,anti,True,True,8.889827701047102,5.618227678536067,15.031474978395392,7.045537573567224,14.982782934211478,15.39763324874681,0.04869204418391426
anti,cyc,const,anti,True,False,8.899988631034212,5.5273956454205795,14.94343415997015,2.252111840214252,15.926637223365935,15.415232495736632,0.9832030633957842
anti,cyc,const,anti,False,False,8.90499071107326,5.584012885364299,14.940062401791854,2.2520774170505504,16.00996003401208,15.423896352507793,1.0698976322202274
anti,cyc,const,anti,True,True,8.914738439916626,5.5192641297579215,14.943418710501978,2.7559628439574593,16.118203601794775,15.440779914122903,1.1747848912927967
anti,cyc,const,anti,False,True,8.915175616209218,5.580459560890695,14.940061435638407,2.755814375274307,16.209399584263853,15.441537125673541,1.2693381486254456
const,const,anti,cyc,False,True,8.920096962496755,7.667249039108974,15.682918942397583,7.463676163865284,14.96334592337544,15.450061147485194,0.7195730190221425
cyc,const,cyc,anti,False,True,8.92052276256521,5.605843668077696,15.051177546859092,7.331738175395441,15.02089489965387,15.450798654837623,0.030282647205222446
const,const,cyc,anti,True,False,8.92324182601021,8.00712312609442,14.881663808743575,5.187974921481759,14.999312977148579,15.455508210873369,0.11764916840500383
const,cyc,const,const,True,True,8.933537482069028,14.229181420280426,14.90432355252053,5.871854794841284,15.033678409739993,15.473340810264494,0.12935485721946272
const,const,anti,const,False,False,8.934363693058552,14.131376088458225,14.890201913310296,6.208060986610934,14.96235720069378,15.474771849676122,0.07215528738348453
const,cyc,const,const,False,True,8.9351520366521,14.288345121167659,14.897079293960001,5.818726513602871,15.108832876960827,15.476137300833969,0.21175358300082614
