path_mode,k_b_label,m_label,k_t_label,overall_rmse_meV,gamma_end_max_abs_delta_meV,k_b_window_rmse_meV,m_window_rmse_meV,k_t_window_rmse_meV,rowwise_sum_rmse_meV
duplicated_150,K_2b1+b2,M_b1+b2,K_-b1+b2,9.825396616946579,7.105427357601002e-15,15.028551054220966,6.491488579094616,15.49756642743747,17.018086145066835
duplicated_150,K_-b1+b2,M_b1+b2,K_2b1+b2,9.825396616946579,7.105427357601002e-15,15.49756642743746,6.491488579094616,15.028551054220973,17.018086145066835
exclusive_150,K_-b1+b2,M_b1,K_-2b1-b2,9.860347949000133,0.0137221227123554,15.493723981124734,7.1816941405829375,15.856165024739921,17.0786236279758
exclusive_150,K_-2b1-b2,M_b1,K_-b1+b2,9.865656101327529,0.016537941410557977,15.873012500792468,7.191030536047246,15.508405027739679,17.087817617501162
duplicated_150,K_-b1+b2,M_b1,K_-2b1-b2,9.869027757580495,7.105427357601002e-15,15.49756642743746,7.2002094625400686,15.879394816573773,17.093657497436965
duplicated_150,K_-2b1-b2,M_b1,K_-b1+b2,9.869027757580495,7.105427357601002e-15,15.879394816573765,7.2002094625400686,15.49756642743747,17.093657497436965
exclusive_150,K_b1-b2,M_b1,K_-2b1-b2,9.906642583941341,0.0137221227123554,15.690483272189773,7.204243975656823,15.856165024739921,17.15880828781183
exclusive_150,K_-2b1-b2,M_b1,K_b1-b2,9.9178223266271,0.01574718326429192,15.873012500792468,7.191030536047246,15.71643467563211,17.178172170159108
duplicated_150,K_-2b1-b2,M_b1,K_b1-b2,9.921342185593849,7.105427357601002e-15,15.879394816573765,7.2002094625400686,15.724691021354818,17.184268744724996
duplicated_150,K_b1-b2,M_b1,K_-2b1-b2,9.92134218559385,7.105427357601002e-15,15.724691021354815,7.2002094625400686,15.879394816573773,17.184268744724996
exclusive_150,K_-b1-2b2,M_b2,K_b1-b2,9.922933460244842,0.01574718326429192,16.1183028195511,8.159395885043244,15.662990463637518,17.187024913269312
exclusive_150,K_b1-b2,M_b2,K_-b1-2b2,9.923360073577982,0.019176343654002892,15.690483272189773,8.091824711642497,16.095037552619587,17.1877638292375
duplicated_150,K_-b1-2b2,M_b2,K_b1-b2,9.931083664939147,7.105427357601002e-15,16.100469408921473,8.21556512224462,15.724691021354818,17.201141481891938
duplicated_150,K_b1-b2,M_b2,K_-b1-2b2,9.931083664939148,7.105427357601002e-15,15.724691021354815,8.21556512224462,16.100469408921484,17.201141481891938
exclusive_150,K_-b1-2b2,M_b1,K_-b1+b2,9.936476839346788,0.016537941410557977,16.1183028195511,7.201896357053216,15.508405027739679,17.21048273398005
exclusive_150,K_-b1+b2,M_b1,K_-b1-2b2,9.943229749697409,0.019176343654002892,15.493723981124734,7.1816941405829375,16.176599502056998,17.22217911780628
duplicated_150,K_-b1+b2,M_b1,K_-b1-2b2,9.946874274583882,7.105427357601002e-15,15.49756642743746,7.2002094625400686,16.100469408921484,17.228491620079105
duplicated_150,K_-b1-2b2,M_b1,K_-b1+b2,9.946874274583882,7.105427357601002e-15,16.100469408921473,7.2002094625400686,15.49756642743747,17.228491620079105
exclusive_150,K_-b1-2b2,M_b1,K_b1-b2,9.988273192687364,0.01574718326429192,16.1183028195511,7.201896357053216,15.71643467563211,17.300196649612715
exclusive_150,K_b1-b2,M_b1,K_-b1-2b2,9.989140276614222,0.019176343654002892,15.690483272189773,7.204243975656823,16.176599502056998,17.301698483028463
duplicated_150,K_b1-b2,M_b1,K_-b1-2b2,9.998781411658547,7.105427357601002e-15,15.724691021354815,7.2002094625400686,16.100469408921484,17.318397418767866
duplicated_150,K_-b1-2b2,M_b1,K_b1-b2,9.998781411658547,7.105427357601002e-15,16.100469408921473,7.2002094625400686,15.724691021354818,17.318397418767866
exclusive_150,K_b1-b2,M_b1,K_-b1+b2,10.100969624652326,0.016537941410557977,15.690483272189773,7.204243975656823,15.508405027739679,17.49539259560776
exclusive_150,K_-b1+b2,M_b1,K_b1-b2,10.106755717856348,0.01574718326429192,15.493723981124734,7.1816941405829375,15.71643467563211,17.505414403014456
duplicated_150,K_-b1+b2,M_b1,K_b1-b2,10.110867824557298,7.105427357601002e-15,15.49756642743746,7.2002094625400686,15.724691021354818,17.512536780746643
duplicated_150,K_b1-b2,M_b1,K_-b1+b2,10.110867824557298,7.105427357601002e-15,15.724691021354815,7.2002094625400686,15.49756642743747,17.512536780746643
exclusive_150,K_b1-b2,M_b1+b2,K_-b1-2b2,10.12206951065467,0.019176343654002892,15.690483272189773,6.555080352624297,16.160796861262902,17.531938670197732
exclusive_150,K_-b1-2b2,M_b1+b2,K_b1-b2,10.129764642016706,0.01574718326429192,16.1183028195511,6.622004751339416,15.69049891016178,17.545267028687697
duplicated_150,K_b1-b2,M_b1+b2,K_-b1-2b2,10.132722535405247,7.105427357601002e-15,15.724691021354815,6.491488579094616,16.100469408921484,17.55039025032002
duplicated_150,K_-b1-2b2,M_b1+b2,K_b1-b2,10.132722535405247,7.105427357601002e-15,16.100469408921473,6.491488579094616,15.724691021354818,17.55039025032002
exclusive_150,K_b1+2b2,M_b1+b2,K_-2b1-b2,10.194688803580203,0.0137221227123554,15.502970690681785,6.489360272716046,15.869678781796958,17.65771897515448
exclusive_150,K_-b1+b2,M_b2,K_-2b1-b2,10.206172086207804,0.0137221227123554,15.493723981124734,8.248466254528571,15.884380933392691,17.67760860410316
exclusive_150,K_-2b1-b2,M_b2,K_-b1+b2,10.211487306644496,0.016537941410557977,15.873012500792468,8.237155612555235,15.51969879534148,17.68681483595294
duplicated_150,K_b1+2b2,M_b1+b2,K_-2b1-b2,10.212196181041357,7.105427357601002e-15,15.513734042694217,6.491488579094616,15.879394816573773,17.688042642424488
