K_B_choice,M_choice,K_T_choice,rmse_meV,delta_KB_1,delta_KB_2,delta_KB_3,delta_M_1,delta_M_2,delta_M_3,delta_KT_1,delta_KT_2,delta_KT_3
K3,M1,K6,13.284032942747885,-4.48172270140311,21.241622773280497,-16.55387732588231,-7.348533953892682,-1.0910685311936206,8.439602485086183,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M1,K3,13.288631733588756,-15.623901381208915,21.241618988112208,-5.41169486090822,-7.348533953892682,-1.0910685311936206,8.439602485086183,-4.390988263145959,21.126497265571892,-16.512496804789322
K1,M2,K4,13.288858791461351,-12.644509294594847,21.241620347544746,-8.391088306954828,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M2,K1,13.290720844892961,-17.157148126205364,21.24162217201002,-3.8784512998095906,-8.22286789553474,-1.0898021683991743,9.312670063933922,-12.553774856337697,21.12649483983614,-8.349707785861838
K3,M1,K2,13.292438671710238,-4.48172270140311,21.241622773280497,-16.55387732588231,-7.348533953892682,-1.0910685311936206,8.439602485086183,-5.272308121502944,21.12648128397113,-15.631167114071289
K2,M1,K3,13.292802234675115,-5.363042559760095,21.241606791679736,-15.672547635164278,-7.348533953892682,-1.0910685311936206,8.439602485086183,-4.390988263145959,21.126497265571892,-16.512496804789322
K2,M2,K6,13.323221836926313,-5.363042559760095,21.241606791679736,-15.672547635164278,-8.22286789553474,-1.0898021683991743,9.312670063933922,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M2,K2,13.32744449749746,-15.623901381208915,21.241618988112208,-5.41169486090822,-8.22286789553474,-1.0898021683991743,9.312670063933922,-5.272308121502944,21.12648128397113,-15.631167114071289
K1,M3,K6,13.335146636124712,-12.644509294594847,21.241620347544746,-8.391088306954828,-9.577479592857198,-0.9075027285230561,10.484982321380137,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M3,K1,13.336371783699475,-15.623901381208915,21.241618988112208,-5.41169486090822,-9.577479592857198,-0.9075027285230561,10.484982321380137,-12.553774856337697,21.12649483983614,-8.349707785861838
K2,M3,K1,13.340527360351883,-5.363042559760095,21.241606791679736,-15.672547635164278,-9.577479592857198,-0.9075027285230561,10.484982321380137,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M3,K2,13.343520166137385,-12.644509294594847,21.241620347544746,-8.391088306954828,-9.577479592857198,-0.9075027285230561,10.484982321380137,-5.272308121502944,21.12648128397113,-15.631167114071289
K6,M1,K4,13.34720875700153,-15.623901381208915,21.241618988112208,-5.41169486090822,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M1,K6,13.347838688504728,-17.157148126205364,21.24162217201002,-3.8784512998095906,-7.348533953892682,-1.0910685311936206,8.439602485086183,-15.533166942951764,21.126493480403603,-5.370314339815231
K2,M1,K4,13.351360960674382,-5.363042559760095,21.241606791679736,-15.672547635164278,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.066413687948213,21.126496664301413,-3.837070778716601
K4,M1,K2,13.356204261372707,-17.157148126205364,21.24162217201002,-3.8784512998095906,-7.348533953892682,-1.0910685311936206,8.439602485086183,-5.272308121502944,21.12648128397113,-15.631167114071289
K1,M2,K5,13.377079745298266,-12.644509294594847,21.241620347544746,-8.391088306954828,-8.22286789553474,-1.0898021683991743,9.312670063933922,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M2,K1,13.379239752026034,-17.91406578141446,21.241612212134285,-3.1215298339644377,-8.22286789553474,-1.0898021683991743,9.312670063933922,-12.553774856337697,21.12649483983614,-8.349707785861838
K3,M2,K6,13.40522517533081,-4.48172270140311,21.241622773280497,-16.55387732588231,-8.22286789553474,-1.0898021683991743,9.312670063933922,-15.533166942951764,21.126493480403603,-5.370314339815231
K6,M2,K3,13.409782404209771,-15.623901381208915,21.241618988112208,-5.41169486090822,-8.22286789553474,-1.0898021683991743,9.312670063933922,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M2,K2,13.413554958268511,-4.48172270140311,21.241622773280497,-16.55387732588231,-8.22286789553474,-1.0898021683991743,9.312670063933922,-5.272308121502944,21.12648128397113,-15.631167114071289
K2,M2,K3,13.413915238568329,-5.363042559760095,21.241606791679736,-15.672547635164278,-8.22286789553474,-1.0898021683991743,9.312670063933922,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M3,K1,13.422424972324112,-4.48172270140311,21.241622773280497,-16.55387732588231,-9.577479592857198,-0.9075027285230561,10.484982321380137,-12.553774856337697,21.12649483983614,-8.349707785861838
K1,M3,K3,13.425759483861377,-12.644509294594847,21.241620347544746,-8.391088306954828,-9.577479592857198,-0.9075027285230561,10.484982321380137,-4.390988263145959,21.126497265571892,-16.512496804789322
K3,M1,K4,13.433192524027664,-4.48172270140311,21.241622773280497,-16.55387732588231,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.066413687948213,21.126496664301413,-3.837070778716601
K6,M1,K5,13.435046562466681,-15.623901381208915,21.241618988112208,-5.41169486090822,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M1,K6,13.435981297235607,-17.91406578141446,21.241612212134285,-3.1215298339644377,-7.348533953892682,-1.0910685311936206,8.439602485086183,-15.533166942951764,21.126493480403603,-5.370314339815231
K4,M1,K3,13.438365955944535,-17.157148126205364,21.24162217201002,-3.8784512998095906,-7.348533953892682,-1.0910685311936206,8.439602485086183,-4.390988263145959,21.126497265571892,-16.512496804789322
K2,M1,K5,13.439171627555377,-5.363042559760095,21.241606791679736,-15.672547635164278,-7.348533953892682,-1.0910685311936206,8.439602485086183,-17.82333134315731,21.12648670442568,-3.0801493128714483
K5,M1,K2,13.4442920243809,-17.91406578141446,21.241612212134285,-3.1215298339644377,-7.348533953892682,-1.0910685311936206,8.439602485086183,-5.272308121502944,21.12648128397113,-15.631167114071289
