point_index,d_a_meV,d_b_meV,d_c_meV,v3_ab_common_meV,v3_ab_orbital_selective_meV,v3_c_meV,solver_iterations,solver_residual_norm_meV,compressed_v3_ab_common_meV,compressed_v3_ab_orbital_selective_meV,compressed_v3_c_meV,compressed_d_a_meV,compressed_d_b_meV,compressed_d_c_meV
323,12.422348316158466,-4.383680029015315,-7.675089047787408,4.019334143571576,8.40301417258689,-7.675089047787408,4,5.219134703883541e-13,4.639164348093043,6.517490785340306,-8.666018749320472,11.15665513343335,-1.8783264372472628,-8.666018749320472
324,12.452655224750048,-4.335279699066283,-7.727478701297759,4.058687762841883,8.393967461908165,-7.727478701297759,4,2.692865571311281e-13,4.649325606137098,6.586485428119602,-8.684763385693984,11.235811034256699,-1.9371598219825037,-8.684763385693984
325,12.487845609046424,-4.305038706238247,-7.766428171597606,4.091403451404089,8.396442157642335,-7.766428171597606,4,1.4175283058122548e-13,4.64684827366696,6.633931144484023,-8.679858883561414,11.280779418150983,-1.9870828708170638,-8.679858883561414
326,12.527999974544707,-4.293474061077463,-7.791599906297909,4.117262956733622,8.410737017811085,-7.791599906297909,5,7.87429153323469e-14,4.631668819344293,6.660191450907394,-8.651182884311146,11.291860270251687,-2.028522631563101,-8.651182884311146
327,12.573155783973451,-4.301037211578986,-7.802679062448576,4.136059286197233,8.43709649777622,-7.802679062448576,5,4.925988372357199e-14,4.603813396760456,6.665793902135045,-8.598780122683651,11.269607298895501,-2.0619805053745885,-8.598780122683651
328,12.623300168291909,-4.328105260374747,-7.799374627336976,4.14759745395858,8.475702714333327,-7.799374627336976,4,3.275440170573378e-14,4.56339706849813,6.651439395449719,-8.522860913025927,11.214836463947849,-2.088042326951589,-8.522860913025927
329,12.678363804472117,-4.374973009379001,-7.781420879897867,4.151695397546558,8.526668406925559,-7.781420879897867,5,2.9777166713245526e-14,4.5106218816668555,6.618012769643594,-8.423797484095664,11.128634651310449,-2.107390887976739,-8.423797484095664
330,12.738216216226933,-4.441846069000487,-7.748579213237956,4.148185073613222,8.590031142613709,-7.748579213237956,3,8.702335715267317e-15,4.445773825106342,6.566595024895581,-8.302118219002034,11.012368850001923,-2.1208211997892388,-8.302118219002034
331,12.802662720715997,-4.52883525180456,-7.700640322861836,4.136913734455717,8.665748986260278,-7.700640322861836,5,1.8882932218273133e-14,4.369218717900281,6.498477469844987,-8.158499893340297,10.867696187745267,-2.1292587519447066,-8.158499893340297
332,12.871443196283364,-4.635952440199111,-7.637426747498555,4.117745378042127,8.753697818241237,-7.637426747498555,4,1.3873790429220374e-14,4.281397097265455,6.415178047357064,-7.993758039146678,10.69657514462252,-2.1337809500916087,-7.993758039146678
333,12.944232785516403,-4.763108075468888,-7.558795730892672,4.090562355023758,8.853670430492647,-7.558795730892672,3,8.881784197001252e-15,4.1828181908836815,6.3184599928142795,-7.808835594234304,10.501278183697961,-2.135641801930598,-7.808835594234304
334,13.020644577806458,-4.910110363642123,-7.464642354623843,4.055267107082168,8.96537747072429,-7.464642354623843,5,6.4047456679787536e-15,4.07405307397357,6.210352830875326,-7.604790025108684,10.284405904848896,-2.1362997569017566,-7.604790025108684
335,13.10023424061851,-5.076666235588177,-7.354902875101388,4.011784002515167,9.088450238103343,-7.354902875101388,3,5.024295867788081e-15,3.9557271245487784,6.093175512603754,-7.382779136428461,10.048902637152532,-2.1374483880549753,-7.382779136428461
336,13.182506493886782,-5.262384038366003,-7.229558183425082,3.9600612277603897,9.222445266126392,-7.229558183425082,3,1.3873790429220374e-14,3.82851190112766,5.96956123120369,-7.144045800401981,9.79807313233135,-2.14104933007603,-7.144045800401981
337,13.266923252379872,-5.466777876306738,-7.088637295727161,3.900072688036567,9.366850564343306,-7.088637295727161,5,1.3293037379376718e-14,3.6931165754547206,5.842483131395663,-6.889901855233274,9.535599706850384,-2.1493665559409423,-6.889901855233274
338,13.352913200991374,-5.689273467459886,-6.932220774523404,3.831819866765744,9.521093334225627,-6.932220774523404,5,1.5587468005037626e-14,3.5502790584402604,5.715279749536421,-6.621711432511737,9.265558807976682,-2.165000691096161,-6.621711432511737
339,13.43988252114084,-5.9292153370127485,-6.760443978800591,3.7553335920640456,9.684548929076794,-6.760443978800591,3,1.004859173557616e-14,3.4007569604595287,5.591678599599628,-6.340873979160151,8.992435560059157,-2.190921639140099,-6.340873979160151
340,13.52722645490638,-6.185875136278677,-6.573500041954655,3.670675659313852,9.85655079559253,-6.573500041954655,3,7.32410687763558e-15,3.245318527381267,5.475815871547865,-6.048807240219134,8.72113439892913,-2.230497344166598,-6.048807240219134
341,13.614341377804404,-6.458460854908985,-6.3716424818715724,3.5779402614477096,10.036401116356696,-6.3716424818715724,4,1.6758116906701664e-14,3.0847336912850745,5.3722497582963245,-5.746930464473669,8.456983449581399,-2.28751606701125,-5.746930464473669
342,13.700637050575605,-6.746126685085999,-6.155187355713349,3.477255182744803,10.223381867830804,-6.155187355713349,3,7.944109290391274e-15,2.9197653699046047,5.285964507751223,-5.436648085949724,8.205729877655827,-2.3661991378466185,-5.436648085949724
343,13.785548733107431,-7.047983298638851,-5.9245148824893406,3.368782717234291,10.416766015873142,-5.9245148824893406,3,1.464821375527116e-14,2.7511611415794004,5.22236194659546,-5.119334120956304,7.97352308817486,-2.4712008050160597,-5.119334120956304
344,13.868548867129812,-7.3631083096307535,-5.680070468319925,3.2527202787495293,10.615828588380282,-5.680070468319925,3,1.020439314654103e-14,2.5796454131393802,5.187236987450945,-4.796317503036893,7.766882400590326,-2.607591574311565,-4.796317503036893
345,13.94915806558266,-7.690556713914438,-5.42236508153362,3.129300675834111,10.819857389748549,-5.42236508153362,3,2.6407442894293542e-14,2.4059121869475555,5.186733558921458,-4.4688685574115405,7.592645745869014,-2.7808213719739023,-4.4688685574115405
346,14.02695518253973,-8.029371121225806,-5.15197493657339,2.998792030656962,11.028163151882769,-5.15197493657339,4,2.161031364628563e-14,2.2306185205837714,5.227277537047182,-4.138186792779313,7.457896057630953,-2.9966590164634104,-4.138186792779313
347,14.101586275519283,-8.378591622460235,-4.86954045647653,2.861497326529525,11.24008894898976,-4.86954045647653,3,8.140289677804162e-15,2.054378758679912,5.315483651134104,-3.805390162290267,7.369862409814017,-3.2611048924541923,-3.805390162290267
348,14.172772309601733,-8.737265162983972,-4.575764492987583,2.71775357330888,11.455018736292852,-4.575764492987583,3,8.702335715267317e-15,1.8777596015413913,5.458034022277806,-3.4715059176867284,7.335793623819197,-3.5802744207364148,-3.4715059176867284
349,14.240315488261404,-9.104454320690778,-4.271409790908913,2.567930583785314,11.672384904476091,-4.271409790908913,4,1.5587468005037626e-14,1.7012760597384806,5.661526990835566,-3.137463151659303,7.362803050574047,-3.960250931097085,-3.137463151659303
350,14.304104128067658,-9.479245413931585,-3.9572956890327657,2.4124293570680377,11.891674770999622,-3.9572956890327657,4,1.637720085286689e-14,1.525388328145088,5.932296202299388,-2.8040870939551077,7.457684530444476,-4.4069078741542995,-2.8040870939551077
351,14.364116022840689,-9.8607558887439,-3.634294054042716,2.251680067048394,12.112435955792291,-3.634294054042716,3,1.6280579355608324e-14,1.3504995972482186,6.276201528645031,-2.472095197278896,7.62670112589325,-4.925701931396812,-2.472095197278896
352,14.42042026738843,-10.248140956653565,-3.3033244463747446,2.0861396553674325,12.334280612020995,-3.3033244463747446,3,5.024295867788081e-15,1.1769548042332683,6.698395256470441,-2.1420950200681785,7.87535006070371,-5.521440452237172,-2.1420950200681785
353,14.473177531912334,-10.64059947366854,-2.9653485185538417,1.9162890291218977,12.556888502790436,-2.9653485185538417,4,2.017553536077896e-14,1.0050403116261963,7.203068997574691,-1.8145838852777232,8.208109309200887,-6.198028685948495,-1.8145838852777232
354,14.522638796162866,-11.03737906809922,-2.621363647405775,1.742629864031823,12.780008932131045,-2.621363647405775,4,1.811535637441176e-14,0.8349844873698048,7.793188867333566,-1.4899502677971508,8.628173354703371,-6.958204379963761,-1.4899502677971508
355,14.569142568225423,-11.437780539831667,-2.272395802265688,1.565681014196878,13.003461554028544,-2.272395802265688,4,2.040878629308206e-14,0.6669591473198486,8.47022850148712,-1.168476838405981,9.13718764880697,-7.803269354167272,-1.168476838405981
356,14.613110627301944,-11.841161567036115,-1.9194916523369128,1.3859745301329136,13.22713609716903,-1.9194916523369128,4,1.5587468005037626e-14,0.501081809423567,9.233911293858199,-0.8503450695369728,9.734993103281766,-8.732829484434632,-0.8503450695369728
