point_index,E_tb_1_source,E_tb_2_source,E_tb_3_source,E_tb_1_baseline,E_tb_2_baseline,E_tb_3_baseline,E_tb_1_compressed,E_tb_2_compressed,E_tb_3_compressed
46,-11.4918799544593,-27.45291095004486,-39.5091285572565,-3.667692234491828,-32.049944368334906,-41.494738400382154,-4.284247071192128,-33.47166337682377,-39.79580959365077
47,-11.21332088301143,-27.40157074998832,-39.76160208008599,-3.3670331776490134,-31.943162905188856,-41.78689010728145,-4.028616881455236,-33.490579284327545,-39.94324293738264
48,-10.93232371743852,-27.34558631353488,-40.02023426405642,-3.075022419027104,-31.83117486687097,-42.07512221686247,-3.7848870080550463,-33.50614793519883,-40.08523908801298
49,-10.64898665107846,-27.28550686816483,-40.28441909290642,-2.791813666864339,-31.714272477877675,-42.35908772852159,-3.5534011952098594,-33.518880932096366,-40.22141812831275
50,-10.36341185248792,-27.22186592676591,-40.55356257771921,-2.51754331636272,-31.592698258382686,-42.638506051466614,-3.3344362720926237,-33.528965186188195,-40.35178009722823
51,-10.07570532669654,-27.15517880879373,-40.82708534354175,-2.252330332875872,-31.466653323646575,-42.91315470060478,-3.128182698685733,-33.53621241209369,-40.476761695890076
52,-9.785976764061292,-27.08594098633862,-41.10442440338716,-1.9962761696061768,-31.33630423481143,-43.18286240822823,-2.9347262680198147,-33.540012222701385,-40.59728662537719
53,-9.49433937778497,-27.01462709910441,-41.38503427457849,-1.749464720608251,-31.201788682098677,-43.44750336985858,-2.7540333266483117,-33.5392960750636,-40.714800314345084
54,-9.200909731073164,-26.94169049757965,-41.66838757720501,-1.5119623097879096,-31.063220229898928,-43.70699239424519,-2.5859421767072686,-33.53252255437648,-40.83127639512342
55,-8.905807554835395,-26.86756319200221,-41.95397523621232,-1.2838177164902402,-30.920692309233214,-43.96128077161305,-2.4301633311449784,-33.51769727855964,-40.94917961582488
56,-8.609155556785039,-26.79265610375182,-42.24130638966322,-1.0650622381833943,-30.774281606494807,-44.210352710910165,-2.2862909082412988,-33.49244173509322,-41.071369349873365
57,-8.311079222753989,-26.71735953404764,-42.52990808750331,-0.8557097906662772,-30.62405096748343,-44.454222226774746,-2.153826611390992,-33.454122819096014,-41.20093133888181
58,-8.011706611010347,-26.64204378140158,-42.81932484861941,-0.6557570461550505,-30.47005191153398,-44.692930381221345,-2.032216450718065,-33.400047081321674,-41.34093440974005
59,-7.711168140346263,-26.56705985376427,-43.1091181295134,-0.4651836095351999,-30.312326831034124,-44.926542804617135,-1.9208987167326999,-33.32771046213299,-41.494123794788436
60,-7.40959637268736,-26.49274023359382,-43.39886574563616,-0.2839522330000399,-30.150910935936924,-45.15514743626643,-1.8193598977671253,-33.235078045194285,-41.66258069978412
61,-7.107125790962131,-26.41939966426112,-43.68816127625627,-0.11200906923479984,-29.985833990256886,-45.37885243759882,-1.7271935035199224,-33.12085452871045,-41.84739322573152
62,-6.803892572958921,-26.34733593447213,-43.97661347548166,0.05071603675779921,-29.817121877371125,-45.597784241177095,-1.6441554142246975,-32.984701086780454,-42.04838995437448
63,-6.500034361886447,-26.2768306439812,-44.26384570546995,0.20430921715439893,-29.644798022739263,-45.81208570700686,-1.5702086944360056,-32.82736175264379,-42.263980506600674
64,-6.195690034342666,-26.20814993904179,-44.54949540270257,0.34887221215627634,-29.468884696007166,-46.02191436433222,-1.5055509832656313,-32.65068043424901,-42.491128959577615
65,-5.890999466383378,-26.14154521003709,-44.83321358421462,0.4845219622722348,-29.289404209064813,-46.227440722554206,-1.4506186564156571,-32.45751119330042,-42.725463094201594
66,-5.586103298366355,-26.07725374676922,-45.11466439765027,0.6113901621922098,-29.106380022242,-46.42884663935395,-1.4060638537750472,-32.251541557767816,-42.96150307530248
67,-5.281142699230543,-26.01549934915628,-45.39352471676128,0.7296227764731184,-28.919837767261086,-46.62632373772695,-1.372702948836928,-32.03705683620985,-43.192982151947774
68,-4.976259130849042,-25.95649289275013,-45.66948378232094,0.839379517329223,-28.72980619267508,-46.820071866592784,-1.3514377870294012,-31.81867291087856,-43.41322939084946
