k2_reduced,energy_meV,baseline_weight,corrected_weight,delta_weight,baseline_iterations,corrected_iterations,baseline_final_hopping_norm,corrected_final_hopping_norm
0.0,-51.666666666666664,0.10025043337002074,0.1344570143653494,0.03420658099532867,81.0,51.0,9.885456162338735e-11,7.155735118642593e-11
0.0,-50.83333333333333,0.0895603966436705,0.12235936091400662,0.032798964270336115,88.0,62.0,7.417949951214531e-11,7.678194212778134e-11
0.0,-50.0,0.08034984380177648,0.10848530914738451,0.028135465345608027,92.0,70.0,9.177513259276031e-11,7.12901296344964e-11
0.0,-49.166666666666664,0.07272395460248858,0.09591907375760639,0.023195119155117808,96.0,75.0,7.980888095279126e-11,9.996381675114903e-11
0.0,-48.33333333333333,0.06666641379313293,0.08540478851149186,0.01873837471835893,99.0,80.0,8.065276499400661e-11,9.189245455143917e-11
0.0,-47.5,0.062096422670712324,0.07710541219095729,0.015008989520244966,104.0,86.0,9.056285566563119e-11,8.323696991592705e-11
0.0,-46.666666666666664,0.0588955515536524,0.07096581526600892,0.012070263712356526,110.0,93.0,8.744332936182776e-11,8.109326893340087e-11
0.0,-45.83333333333333,0.05692541601293948,0.06682144542230345,0.009896029409363967,115.0,99.0,8.75381117564416e-11,8.136367678987378e-11
0.0,-45.0,0.056041925737217245,0.06445587090666394,0.008413945169446692,119.0,104.0,9.077162930755436e-11,7.77396047339773e-11
0.0,-44.166666666666664,0.056107704660231676,0.06364119227768199,0.0075334876174503115,122.0,107.0,9.741660738790168e-11,9.012007445619259e-11
0.0,-43.33333333333333,0.05700382228352896,0.06416699540210584,0.007163173118576879,125.0,109.0,8.646821963323926e-11,9.728830427917591e-11
0.0,-42.5,0.058643106020593305,0.06586214382057412,0.007219037799980815,126.0,110.0,9.54660177955296e-11,9.789093300778916e-11
0.0,-41.666666666666664,0.06099017421548688,0.06861704001744393,0.007626865801957046,127.0,110.0,8.336582300315338e-11,9.242933917438654e-11
0.0,-40.83333333333333,0.06410095539837216,0.0724221873826755,0.008321231984303346,126.0,109.0,8.454969755030038e-11,8.366079844707762e-11
0.0,-40.0,0.06821907208988802,0.0774669031913911,0.009247831101503082,123.0,106.0,9.488892290609967e-11,9.783961106769376e-11
0.0,-39.166666666666664,0.07406269722181705,0.08445327130128898,0.010390574079471929,119.0,103.0,8.766623483631365e-11,9.386597734794634e-11
0.0,-38.33333333333333,0.08384699939011656,0.09563713388935445,0.011790134499237895,112.0,99.0,8.97649069611616e-11,8.816867818406427e-11
0.0,-37.5,0.1023913506042056,0.1120897104400896,0.009698359835884005,102.0,92.0,7.751539404720912e-11,9.087491589950064e-11
0.0,-36.666666666666664,0.1177441313904504,0.11558696745101661,-0.0021571639394337844,91.0,86.0,8.584028429982289e-11,9.091922212756802e-11
0.0,-35.83333333333333,0.1297507562791351,0.12319038272611109,-0.00656037355302401,84.0,82.0,6.80435232410759e-11,9.086502518518416e-11
0.0,-35.0,0.13627639562819688,0.12490473556523815,-0.011371660062958727,96.0,94.0,7.786543431107737e-11,7.927484987763925e-11
0.0,-34.166666666666664,0.1264031108940719,0.11610324812185178,-0.010299862772220128,105.0,101.0,7.964610508930746e-11,9.316765316597189e-11
